epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
37,1511.74,1.51876,1.18869,1.02759,0.00982,0.34532,0.27217,0.25425,0.14249,1.44783,1.10492,0.9949,0,0.006436,0.006436,0.006436,0.003218
38,1550.91,1.52291,1.18788,1.02579,0.00983,0.36819,0.27618,0.26257,0.14679,1.44325,1.10272,0.99217,0,0.006337,0.006337,0.006337,0.0031685
39,1589.91,1.51076,1.17097,1.02151,0.00982,0.35376,0.2788,0.26261,0.14704,1.42845,1.09215,0.99107,0,0.006238,0.006238,0.006238,0.003119
40,1630.1,1.50886,1.17574,1.02462,0.00982,0.36619,0.27834,0.26337,0.1471,1.43407,1.0877,0.98945,0,0.006139,0.006139,0.006139,0.0030695
41,1668.95,1.49911,1.16025,1.02015,0.00983,0.35271,0.27927,0.2635,0.14691,1.43014,1.08719,0.99042,0,0.00604,0.00604,0.00604,0.00302
42,1708.03,1.49746,1.16413,1.02312,0.00982,0.36469,0.2787,0.26491,0.14945,1.42673,1.07756,0.98783,0,0.005941,0.005941,0.005941,0.0029705
43,1747.75,1.50113,1.16029,1.01786,0.00983,0.34654,0.28405,0.26221,0.1476,1.42507,1.08262,0.98766,0,0.005842,0.005842,0.005842,0.002921
44,1787.27,1.49579,1.15303,1.01774,0.00982,0.36195,0.2817,0.26756,0.15125,1.42,1.08211,0.98566,0,0.005743,0.005743,0.005743,0.0028715
45,1826.28,1.48398,1.14525,1.01548,0.00983,0.3742,0.2816,0.26882,0.15157,1.41422,1.07046,0.98397,0,0.005644,0.005644,0.005644,0.002822
46,1865.74,1.49339,1.14667,1.01846,0.00982,0.36311,0.28497,0.2702,0.15297,1.41335,1.07209,0.98428,0,0.005545,0.005545,0.005545,0.0027725
47,1904.85,1.48112,1.14025,1.01485,0.00982,0.36279,0.28958,0.27197,0.15236,1.41453,1.06945,0.98222,0,0.005446,0.005446,0.005446,0.002723
48,1944.97,1.48239,1.13941,1.01485,0.00981,0.37223,0.28755,0.27398,0.15463,1.40573,1.06333,0.9825,0,0.005347,0.005347,0.005347,0.0026735
49,1984.9,1.47388,1.13072,1.0119,0.00983,0.37889,0.28243,0.27733,0.15678,1.40722,1.06017,0.98344,0,0.005248,0.005248,0.005248,0.002624
50,2024.18,1.47106,1.1307,1.01459,0.00982,0.37414,0.29142,0.27794,0.15748,1.40436,1.05487,0.98066,0,0.005149,0.005149,0.005149,0.0025745
51,2063.82,1.46826,1.12584,1.01011,0.00983,0.36911,0.29686,0.27866,0.15781,1.39918,1.0523,0.98053,0,0.00505,0.00505,0.00505,0.002525
52,2103.29,1.46642,1.11997,1.01016,0.00982,0.37999,0.28819,0.27706,0.15663,1.40467,1.05099,0.98031,0,0.004951,0.004951,0.004951,0.0024755
53,2142.98,1.46808,1.12466,1.01251,0.00982,0.37523,0.29685,0.28172,0.1577,1.39886,1.04822,0.97978,0,0.004852,0.004852,0.004852,0.002426
54,2181.95,1.46081,1.11433,1.00696,0.00981,0.38761,0.29135,0.28382,0.15878,1.39635,1.04186,0.97912,0,0.004753,0.004753,0.004753,0.0023765
55,2221.28,1.45568,1.1085,1.00929,0.00982,0.37748,0.29403,0.28064,0.15819,1.39673,1.04151,0.97904,0,0.004654,0.004654,0.004654,0.002327
56,2260.62,1.4571,1.10337,1.00456,0.00982,0.37428,0.29698,0.28276,0.15961,1.3914,1.03597,0.97612,0,0.004555,0.004555,0.004555,0.0022775
57,2300.05,1.4505,1.10373,1.0046,0.00982,0.38253,0.29396,0.28381,0.16026,1.38602,1.0362,0.97524,0,0.004456,0.004456,0.004456,0.002228
58,2339.65,1.44243,1.09408,1.00263,0.00982,0.3811,0.29691,0.28555,0.16049,1.38429,1.03191,0.97592,0,0.004357,0.004357,0.004357,0.0021785
59,2378.94,1.44496,1.09563,1.00539,0.00982,0.37578,0.29947,0.28438,0.16093,1.38503,1.03435,0.97507,0,0.004258,0.004258,0.004258,0.002129
60,2418.13,1.4475,1.09816,1.00223,0.00982,0.38849,0.30156,0.28793,0.16276,1.38506,1.03,0.97503,0,0.004159,0.004159,0.004159,0.0020795
61,2457.44,1.43695,1.08916,1.00154,0.00982,0.38751,0.29745,0.2869,0.16185,1.38177,1.0286,0.9736,0,0.00406,0.00406,0.00406,0.00203
62,2497.04,1.43949,1.08846,1.00031,0.00982,0.37481,0.30143,0.28815,0.16294,1.38269,1.02499,0.97439,0,0.003961,0.003961,0.003961,0.0019805
63,2536.3,1.43242,1.08349,1.00053,0.00983,0.38335,0.30155,0.28818,0.16364,1.37496,1.02519,0.9728,0,0.003862,0.003862,0.003862,0.001931
64,2575.8,1.43584,1.08294,0.99981,0.00982,0.39018,0.30114,0.29042,0.16383,1.37766,1.02241,0.97291,0,0.003763,0.003763,0.003763,0.0018815
65,2615.5,1.43269,1.07557,0.99688,0.00982,0.38309,0.30507,0.28964,0.16376,1.37834,1.02229,0.97419,0,0.003664,0.003664,0.003664,0.001832
66,2655.02,1.43068,1.07802,0.99948,0.00982,0.38878,0.3056,0.29005,0.16436,1.37657,1.02004,0.97245,0,0.003565,0.003565,0.003565,0.0017825
67,2695.84,1.4313,1.07329,0.99929,0.00982,0.39356,0.29924,0.29163,0.1652,1.37253,1.01765,0.9712,0,0.003466,0.003466,0.003466,0.001733
68,2735.61,1.42804,1.06806,0.99568,0.00982,0.3844,0.30404,0.28896,0.16423,1.36917,1.01939,0.97084,0,0.003367,0.003367,0.003367,0.0016835
69,2774.92,1.41376,1.06004,0.996,0.00981,0.39757,0.30118,0.29278,0.16571,1.3689,1.01402,0.97244,0,0.003268,0.003268,0.003268,0.001634
70,2814.13,1.41516,1.05918,0.9963,0.00982,0.3896,0.30691,0.29338,0.16617,1.36758,1.01134,0.97106,0,0.003169,0.003169,0.003169,0.0015845
71,2854.15,1.41666,1.05722,0.99304,0.00982,0.38805,0.31458,0.29621,0.16814,1.36309,1.0072,0.96837,0,0.00307,0.00307,0.00307,0.001535
72,2893.91,1.41949,1.05964,0.99405,0.00959,0.38993,0.30997,0.29582,0.16807,1.36472,1.00662,0.96958,0,0.002971,0.002971,0.002971,0.0014855
73,2933.9,1.41892,1.05556,0.99404,0.00915,0.39728,0.30523,0.29572,0.16879,1.36203,1.00807,0.96829,0,0.002872,0.002872,0.002872,0.001436
74,2973.53,1.42315,1.05993,0.99088,0.0085,0.40257,0.30831,0.29906,0.17003,1.36382,1.00606,0.96944,0,0.002773,0.002773,0.002773,0.0013865
75,3013.51,1.40152,1.04261,0.99206,0.00771,0.39512,0.31011,0.2973,0.16926,1.36297,1.00427,0.96941,0,0.002674,0.002674,0.002674,0.001337
76,3053.02,1.40319,1.04122,0.99333,0.00681,0.40162,0.30504,0.29911,0.17042,1.36063,1.00264,0.96822,0,0.002575,0.002575,0.002575,0.0012875
77,3092.7,1.40799,1.04596,0.98823,0.00586,0.40092,0.30477,0.29756,0.1695,1.35925,1.00336,0.96818,0,0.002476,0.002476,0.002476,0.001238
78,3132,1.40735,1.04735,0.98946,0.0049,0.39452,0.31064,0.29836,0.16996,1.35684,1.00223,0.96774,0,0.002377,0.002377,0.002377,0.0011885
79,3171.39,1.39543,1.03631,0.98869,0.00399,0.38996,0.30815,0.29736,0.17034,1.35608,1.00125,0.967,0,0.002278,0.002278,0.002278,0.001139
80,3211.17,1.40116,1.03951,0.98962,0.00315,0.39046,0.31041,0.29878,0.17034,1.35619,0.99969,0.96692,0,0.002179,0.002179,0.002179,0.0010895
81,3250.7,1.39656,1.03252,0.98804,0.00241,0.39606,0.30971,0.29934,0.17063,1.35578,1.0005,0.96731,0,0.00208,0.00208,0.00208,0.00104
82,3290.46,1.39925,1.03399,0.98691,0.0018,0.39942,0.31047,0.30055,0.1711,1.35652,0.999,0.96837,0,0.001981,0.001981,0.001981,0.0009905
83,3330.22,1.39087,1.02806,0.98529,0.00129,0.39983,0.31332,0.3014,0.17215,1.35546,0.99782,0.96828,0,0.001882,0.001882,0.001882,0.000941
84,3370.72,1.39046,1.0302,0.98745,0.0009,0.40298,0.31167,0.30349,0.1738,1.35421,0.99538,0.96727,0,0.001783,0.001783,0.001783,0.0008915
85,3410.46,1.39143,1.02751,0.98573,0.00061,0.39591,0.31478,0.30288,0.17337,1.35334,0.9962,0.96642,0,0.001684,0.001684,0.001684,0.000842
86,3449.84,1.38671,1.0197,0.98444,0.00039,0.40066,0.31227,0.30339,0.17336,1.35016,0.99484,0.96526,0,0.001585,0.001585,0.001585,0.0007925
87,3489.35,1.3847,1.01908,0.98299,0.00025,0.4011,0.31501,0.30387,0.17356,1.34837,0.99215,0.96515,0,0.001486,0.001486,0.001486,0.000743
88,3528.82,1.37381,1.00846,0.98105,0.00015,0.40149,0.31556,0.30385,0.17398,1.34822,0.99215,0.96453,0,0.001387,0.001387,0.001387,0.0006935
89,3568.85,1.38384,1.01778,0.98375,9e-05,0.40324,0.31343,0.30372,0.17352,1.34912,0.98983,0.96494,0,0.001288,0.001288,0.001288,0.000644
90,3607.89,1.38367,1.02017,0.98467,5e-05,0.39455,0.31854,0.30348,0.17374,1.34791,0.98956,0.96438,0,0.001189,0.001189,0.001189,0.0005945
91,3646.91,1.352,0.99047,0.99214,3e-05,0.41027,0.30847,0.30197,0.17347,1.35081,0.99102,0.96589,0,0.00109,0.00109,0.00109,0.000545
92,3685.15,1.34213,0.9741,0.98513,1e-05,0.40191,0.31078,0.30234,0.17338,1.35287,0.99196,0.96609,0,0.000991,0.000991,0.000991,0.0004955
93,3723.24,1.33948,0.97319,0.98412,1e-05,0.40361,0.30914,0.30205,0.17294,1.35258,0.99189,0.9658,0,0.000892,0.000892,0.000892,0.000446
94,3762.38,1.33222,0.96521,0.98607,0,0.39905,0.30996,0.30238,0.17347,1.35248,0.9919,0.96613,0,0.000793,0.000793,0.000793,0.0003965
95,3800.93,1.3284,0.96183,0.98233,0,0.4012,0.307,0.30212,0.17327,1.3525,0.99101,0.96586,0,0.000694,0.000694,0.000694,0.000347
96,3839,1.32491,0.95609,0.98163,0,0.4094,0.30555,0.3019,0.17301,1.35142,0.98933,0.96578,0,0.000595,0.000595,0.000595,0.0002975
97,3876.44,1.3236,0.95497,0.98145,0,0.40216,0.30903,0.30238,0.17316,1.35059,0.9889,0.96528,0,0.000496,0.000496,0.000496,0.000248
98,3914.04,1.32074,0.95076,0.97861,0,0.40445,0.30841,0.30307,0.17351,1.35046,0.98816,0.9649,0,0.000397,0.000397,0.000397,0.0001985
99,3951.17,1.3226,0.9535,0.97944,0,0.40427,0.30997,0.30317,0.1733,1.35036,0.98796,0.96479,0,0.000298,0.000298,0.000298,0.000149
100,3988.52,1.31942,0.94919,0.97944,0,0.40214,0.31085,0.30367,0.17375,1.34991,0.98794,0.96494,0,0.000199,0.000199,0.000199,9.95e-05
