epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
37,1374.14,1.49131,1.1507,1.01802,0.00982,0.19112,0.01261,0.09988,0.051,2.75507,5.31949,1.51385,0,0.006436,0.006436,0.006436,0.003218
38,1410.27,1.49413,1.15044,1.01638,0.00982,0.22068,0.00892,0.11298,0.05943,2.73173,5.53093,1.50237,0,0.006337,0.006337,0.006337,0.0031685
39,1446.55,1.48429,1.13211,1.01242,0.00982,0.27783,0.00622,0.1413,0.08201,2.67822,5.49442,1.45608,0,0.006238,0.006238,0.006238,0.003119
40,1483.05,1.4794,1.13792,1.01499,0.00982,0.35569,0.00523,0.17928,0.10995,2.77153,5.51663,1.50668,0,0.006139,0.006139,0.006139,0.0030695
41,1519.2,1.47202,1.12186,1.01089,0.00982,0.33034,0.00515,0.16689,0.10742,2.80106,5.5409,1.51101,0,0.00604,0.00604,0.00604,0.00302
42,1555.39,1.47132,1.12688,1.01385,0.00982,0.30764,0.00664,0.15609,0.09745,2.83324,5.51733,1.52674,0,0.005941,0.005941,0.005941,0.0029705
43,1591.44,1.4722,1.12222,1.00831,0.00982,0.18881,0.0113,0.09803,0.05163,2.59274,5.37513,1.44328,0,0.005842,0.005842,0.005842,0.002921
44,1627.89,1.46886,1.11689,1.00841,0.00982,0.20241,0.01258,0.10519,0.05625,2.71614,5.46271,1.49791,0,0.005743,0.005743,0.005743,0.0028715
45,1663.88,1.45573,1.10631,1.00644,0.00982,0.37187,0.00575,0.18737,0.12825,2.73126,5.57222,1.5041,0,0.005644,0.005644,0.005644,0.002822
46,1701.29,1.46445,1.10751,1.00942,0.00982,0.20877,0.01208,0.10818,0.05874,2.79757,5.41327,1.51112,0,0.005545,0.005545,0.005545,0.0027725
47,1737.39,1.45494,1.10162,1.00653,0.00982,0.21041,0.01037,0.10829,0.05676,2.88523,5.56624,1.54903,0,0.005446,0.005446,0.005446,0.002723
48,1773.48,1.45541,1.10228,1.00575,0.00982,0.16237,0.0085,0.08351,0.04096,2.78717,5.52112,1.51877,0,0.005347,0.005347,0.005347,0.0026735
49,1809.55,1.44511,1.09403,1.00292,0.00982,0.19981,0.01578,0.10463,0.053,2.85388,5.45543,1.56013,0,0.005248,0.005248,0.005248,0.002624
50,1846.1,1.44477,1.09509,1.00604,0.00982,0.15299,0.0138,0.08045,0.0378,2.93536,5.51867,1.56484,0,0.005149,0.005149,0.005149,0.0025745
51,1882.56,1.44094,1.08768,1.00138,0.00982,0.1903,0.01128,0.09879,0.04631,2.85651,5.54548,1.55737,0,0.00505,0.00505,0.00505,0.002525
52,1919.32,1.43809,1.08262,1.00082,0.00982,0.18483,0.01417,0.0964,0.04651,2.85232,5.53662,1.57861,0,0.004951,0.004951,0.004951,0.0024755
53,1955.99,1.442,1.0874,1.00399,0.00982,0.16897,0.01354,0.08804,0.03881,2.92576,5.6097,1.58381,0,0.004852,0.004852,0.004852,0.002426
54,1992.02,1.43313,1.07744,0.99796,0.00982,0.19586,0.01579,0.1023,0.04679,3.06034,5.63177,1.67247,0,0.004753,0.004753,0.004753,0.0023765
55,2028.54,1.43016,1.07209,1.00094,0.00982,0.21501,0.01791,0.11267,0.05852,2.89075,5.41791,1.55369,0,0.004654,0.004654,0.004654,0.002327
56,2064.82,1.43038,1.06921,0.99567,0.00982,0.21516,0.01743,0.11245,0.05325,2.89526,5.44971,1.57209,0,0.004555,0.004555,0.004555,0.0022775
57,2100.9,1.42417,1.06813,0.9962,0.00982,0.18013,0.01798,0.09431,0.03612,2.92775,5.51854,1.5865,0,0.004456,0.004456,0.004456,0.002228
58,2137.01,1.41621,1.0567,0.9941,0.00982,0.18151,0.01753,0.09555,0.04307,3.02516,5.48987,1.65462,0,0.004357,0.004357,0.004357,0.0021785
59,2173.86,1.41933,1.06106,0.99655,0.00982,0.16235,0.01586,0.08466,0.03274,3.09034,5.59621,1.64726,0,0.004258,0.004258,0.004258,0.002129
60,2210.57,1.42247,1.06452,0.99442,0.00982,0.22665,0.01412,0.11716,0.05895,2.93142,5.55806,1.62016,0,0.004159,0.004159,0.004159,0.0020795
61,2246.86,1.41193,1.05555,0.99394,0.00982,0.26759,0.01245,0.13724,0.06006,3.09064,5.63515,1.65227,0,0.00406,0.00406,0.00406,0.00203
62,2283.32,1.41331,1.05609,0.99215,0.00982,0.16642,0.01417,0.08702,0.03766,3.14223,5.65072,1.66369,0,0.003961,0.003961,0.003961,0.0019805
63,2319.54,1.40666,1.04951,0.99211,0.00982,0.1991,0.01153,0.10275,0.04389,3.12127,5.68324,1.67631,0,0.003862,0.003862,0.003862,0.001931
64,2355.52,1.40917,1.04875,0.99155,0.00982,0.21043,0.01369,0.10899,0.04153,3.16791,5.70604,1.75564,0,0.003763,0.003763,0.003763,0.0018815
65,2391.77,1.40601,1.04291,0.98908,0.00982,0.24415,0.0108,0.12511,0.05151,3.17541,5.82931,1.74039,0,0.003664,0.003664,0.003664,0.001832
66,2428.02,1.40607,1.04369,0.99183,0.00982,0.25354,0.01039,0.12956,0.05303,3.13793,5.86452,1.72128,0,0.003565,0.003565,0.003565,0.0017825
67,2464.23,1.40781,1.04227,0.99246,0.00982,0.15281,0.01224,0.0795,0.03413,3.07168,5.70997,1.71271,0,0.003466,0.003466,0.003466,0.001733
68,2500.28,1.40322,1.03457,0.98817,0.00982,0.16218,0.01249,0.08413,0.04059,3.21884,5.79655,1.79067,0,0.003367,0.003367,0.003367,0.0016835
69,2536.56,1.38912,1.02762,0.98881,0.00982,0.26209,0.01204,0.13412,0.06075,3.18572,5.80658,1.76284,0,0.003268,0.003268,0.003268,0.001634
70,2572.58,1.3907,1.0274,0.98885,0.00982,0.20181,0.01453,0.10476,0.04354,3.21311,5.73168,1.77787,0,0.003169,0.003169,0.003169,0.0015845
71,2609.5,1.39263,1.02549,0.98584,0.00982,0.23936,0.00929,0.12231,0.04751,3.26799,5.85806,1.78821,0,0.00307,0.00307,0.00307,0.001535
72,2645.77,1.39563,1.02989,0.98687,0.00959,0.24099,0.01074,0.12328,0.03802,3.28349,5.82047,1.82054,0,0.002971,0.002971,0.002971,0.0014855
73,2681.87,1.39347,1.02262,0.98617,0.00914,0.23266,0.00865,0.11874,0.0492,3.36715,5.90508,1.90044,0,0.002872,0.002872,0.002872,0.001436
