layer,images,router_oracle_accuracy,mean_router_regret,mean_oracle_gain_over_natural,selected
model.14.m.0,16,0.5,0.014068201184272766,0.02157900482416153,true
model.14.m.1,16,0.5,0.012469995766878128,0.02515929564833641,false
model.20.m.0,16,0.4375,0.007050864398479462,0.010058846324682236,false
model.20.m.1,16,0.5,0.008035894483327866,0.007350180298089981,false
model.23.m.0,16,0.875,0.00000003725290298461914,0.00000003725290298461914,false
model.23.m.1,16,0.0,0.00002810731530189514,0.00002810731530189514,false
