epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2
1,6031.53,4.49648,4.5238,3.177,0.00087,0.3212,0.026,0.0174,0.00562,3.45474,3.49159,1.84866,0.00167,0.000237706,0.000237706,0.000237706
3,4669.69,2.63288,2.50294,1.40198,0.00192,0.18233,0.10557,0.06215,0.02631,2.40954,2.1577,1.29208,0.00245,0.000431078,0.000431078,0.000431078
4,7847.87,2.43018,2.28098,1.31208,0.00223,0.22763,0.0921,0.06843,0.03039,2.29221,2.0163,1.22966,0.00253,0.000289884,0.000289884,0.000289884
5,12113.5,2.327,2.1616,1.26768,0.00234,0.19117,0.12517,0.07454,0.03282,2.25856,1.97281,1.20824,0.00259,0.000148512,0.000148512,0.000148512
