epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,304.1,4.1837,4.1642,2.90722,2.0667,0.03493,0.07146,0.01289,0.0042,3.13523,2.7507,1.65395,0,0.000237706,0.000237706,0.000237706,0.000118853,0.000475412
2,592.405,3.09832,2.69575,1.59652,1.88137,0.16253,0.08856,0.03116,0.01167,2.74795,2.34282,1.40458,0,0.000318723,0.000318723,0.000318723,0.000159361,0.000637446
3,875.465,2.77757,2.42454,1.39933,1.99077,0.18173,0.09966,0.04069,0.01672,2.65403,2.26021,1.28811,0,0.00024266,0.00024266,0.00024266,0.00012133,0.00048532
