layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.17/m.0/m/m.0/cv1/act/Mul,Mul,/model.17/m.0/m/m.0/cv1/act/Mul_output_0,9.2093,5.6846,1.62,4.6,2.9207
/model.7/m.1/m.1.0/attn/Mul,Mul,/model.7/m.1/m.1.0/attn/Mul_output_0,34.8641,11.8325,2.946,1.5,2.8936
/model.11/routing/router/router.0/Conv,Conv,/model.11/routing/router/router.0/Conv_output_0,4.2459,2.5813,1.645,4.5,2.8863
/model.8/routing/router/router.2/Mul,Mul,/model.8/routing/router/router.2/Mul_output_0,3.9608,2.8753,1.378,6.7,2.8855
/model.17/m.0/m/m.1/cv1/conv/Conv,Conv,/model.17/m.0/m/m.1/cv1/conv/Conv_output_0,11.1788,5.8965,1.896,3.2,2.866
/model.17/m.0/cv3/conv/Conv,Conv,/model.17/m.0/cv3/conv/Conv_output_0,10.6978,5.8517,1.828,3.4,2.8501
/model.10/cv2/conv/Conv,Conv,/model.10/cv2/conv/Conv_output_0,7.014,4.5478,1.542,4.8,2.8211
/model.7/m.1/m.1.1/attn/proj/conv/Conv,Conv,/model.7/m.1/m.1.1/attn/proj/conv/Conv_output_0,9.1464,4.8497,1.886,3.1,2.7839
/model.17/m.0/cv2/conv/Conv,Conv,/model.17/m.0/cv2/conv/Conv_output_0,10.2414,5.8548,1.749,3.5,2.7641
/model.14/m.0/cv1/conv/Conv,Conv,/model.14/m.0/cv1/conv/Conv_output_0,7.3399,4.0278,1.822,3.3,2.7615
/model.7/m.1/m.1.1/Add_1,Add,/model.7/m.1/m.1.1/Add_1_output_0,23.9014,12.8673,1.858,3.0,2.7492
/model.20/m.0/cv1/conv/Conv,Conv,/model.20/m.0/cv1/conv/Conv_output_0,10.3054,6.1358,1.68,3.7,2.7155
/model.24/cv3.2/cv3.2.1/cv3.2.1.1/conv/Conv,Conv,/model.24/cv3.2/cv3.2.1/cv3.2.1.1/conv/Conv_output_0,5.9844,3.4559,1.732,3.4,2.6618
/model.7/cv2/conv/Conv,Conv,/model.7/cv2/conv/Conv_output_0,12.1171,7.6025,1.594,3.8,2.6397
/model.17/m.0/m/m.1/Add,Add,/model.17/m.0/m/m.1/Add_output_0,16.3471,10.4324,1.567,3.9,2.6299
/model.17/cv1/conv/Conv,Conv,/model.17/cv1/conv/Conv_output_0,7.9608,4.8974,1.626,3.7,2.6214
/model.24/cv3.1/cv3.1.2/Conv,Conv,/model.24/cv3.1/cv3.1.2/Conv_output_0,45.229,19.2372,2.351,1.7,2.5051
/model.17/m.0/cv1/conv/Conv,Conv,/model.17/m.0/cv1/conv/Conv_output_0,5.3542,3.6982,1.448,4.0,2.4203
/model.17/m.0/m/m.0/cv2/conv/Conv,Conv,/model.17/m.0/m/m.0/cv2/conv/Conv_output_0,9.9122,6.2,1.599,3.0,2.3534
/model.17/m.0/m/m.0/cv1/conv/Conv,Conv,/model.17/m.0/m/m.0/cv1/conv/Conv_output_0,9.2103,5.8866,1.565,2.8,2.1994
/model.8/routing/router/router.3/Conv,Conv,/model.8/routing/router/router.3/Conv_output_0,5.8481,2.9965,1.952,1.9,2.1826
/model.5/routing/router/router.0/Conv,Conv,/model.5/routing/router/router.0/Conv_output_0,5.449,3.2904,1.656,2.5,2.1786
/model.11/routing/router/router.3/Conv,Conv,/model.11/routing/router/router.3/Conv_output_0,2.9783,1.9115,1.558,2.5,2.0265
/model.5/routing/router/router.3/Conv,Conv,/model.5/routing/router/router.3/Conv_output_0,6.0921,3.2851,1.854,1.8,2.0008
/model.8/routing/router/router.0/Conv,Conv,/model.8/routing/router/router.0/Conv_output_0,4.3165,3.2707,1.32,2.9,1.8637
/model.24/cv3.2/cv3.2.2/Conv,Conv,/model.24/cv3.2/cv3.2.2/Conv_output_0,15.0709,13.683,1.101,1.1,0.9502
/model.24/Mul_2,Mul,/model.24/Mul_2_output_0,642.1661,637.1073,1.008,0.0,0.3233
/model.24/Concat_5,Concat,output0,642.1661,636.1445,1.009,0.0,0.3233
/model.10/m.0/m.0.0/attn/Concat,Concat,/model.10/m.0/m.0.0/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.10/m.0/m.0.1/attn/Concat,Concat,/model.10/m.0/m.0.1/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.10/m.1/m.1.0/attn/Concat,Concat,/model.10/m.1/m.1.0/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.10/m.1/m.1.1/attn/Concat,Concat,/model.10/m.1/m.1.1/attn/Concat_output_0,384.0,383.234,1.002,0.0,0.2977
/model.7/m.0/m.0.0/attn/Concat,Concat,/model.7/m.0/m.0.0/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.7/m.0/m.0.1/attn/Concat,Concat,/model.7/m.0/m.0.1/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.7/m.1/m.1.0/attn/Concat,Concat,/model.7/m.1/m.1.0/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.7/m.1/m.1.1/attn/Concat,Concat,/model.7/m.1/m.1.1/attn/Concat_output_0,192.0,191.618,1.002,0.0,0.2631
/model.24/Add_2,Add,/model.24/Add_2_output_0,160.5415,159.2853,1.008,0.0,0.2542
/model.24/Add_1,Add,/model.24/Add_1_output_0,84.6208,82.5063,1.026,0.0,0.2225
/model.24/Concat_4,Concat,/model.24/Concat_4_output_0,80.2708,79.6383,1.008,0.0,0.2199
/model.24/Concat_3,Concat,/model.24/Concat_3_output_0,54.8128,19.3151,2.838,0.0,0.2011
/model.8/Concat,Concat,/model.8/Concat_output_0,17.4602,8.994,1.941,0.0,0.1458
/model.11/Concat,Concat,/model.11/Concat_output_0,15.9153,8.4518,1.883,0.0,0.1414
/model.24/dfl/conv/Conv,Conv,/model.24/dfl/conv/Conv_output_0,13.2603,9.7913,1.354,0.0,0.1329
/model.5/Concat,Concat,/model.5/Concat_output_0,8.8367,3.6128,2.446,0.0,0.1143
/model.24/Add,Add,/model.24/Add_output_0,5.0,5.0,1.0,0.0,0.0896
/model.24/Mul_1,Mul,/model.24/Mul_1_output_0,4.0,4.0,1.0,0.0,0.0805
/model.24/Mul,Mul,/model.24/Mul_output_0,2.0,2.0,1.0,0.0,0.0549
/model.5/routing/Add,Add,/model.5/routing/Add_output_0,1.0,1.0,1.0,0.0,0.0347
/model.5/Mul,Mul,/model.5/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.5/Mul_2,Mul,/model.5/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.8/Mul,Mul,/model.8/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.8/Mul_2,Mul,/model.8/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.11/Mul,Mul,/model.11/Mul_output_0,1.0,1.0,1.0,0.0,0.0347
/model.11/Mul_2,Mul,/model.11/Mul_2_output_0,1.0,1.0,1.0,0.0,0.0347
/model.8/routing/Add,Add,/model.8/routing/Add_output_0,0.9356,0.781,1.198,0.0,0.033
/model.11/routing/Add,Add,/model.11/routing/Add_output_0,0.839,0.5926,1.416,0.0,0.0305
