epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
33,9644.52,1.84995,1.45437,0.98577,0.99997,0.28488,0.24047,0.18151,0.09593,1.71464,1.31994,0.96524,0,0.00026161,0.00026161,0.00026161,0.000130805,0.000523219
34,9923.2,1.84322,1.45207,0.98267,1,0.28059,0.23537,0.18068,0.09589,1.70549,1.31157,0.96494,0,0.000247472,0.000247472,0.000247472,0.000123736,0.000494945
35,10205.8,1.8238,1.43757,0.98312,0.99999,0.29687,0.23432,0.18376,0.0978,1.70298,1.30738,0.96452,0,0.000233335,0.000233335,0.000233335,0.000116668,0.00046667
36,10493.8,1.82048,1.42836,0.98263,1.00002,0.28997,0.22857,0.18157,0.09681,1.70402,1.30782,0.96112,0,0.000219198,0.000219198,0.000219198,0.000109599,0.000438396
37,10772.7,1.82001,1.42776,0.97862,0.99997,0.29977,0.23558,0.18681,0.0998,1.69788,1.29873,0.96029,0,0.000205061,0.000205061,0.000205061,0.00010253,0.000410122
38,11064.5,1.82187,1.42467,0.97881,1.00002,0.30328,0.23653,0.18809,0.10088,1.68681,1.29089,0.95707,0,0.000190924,0.000190924,0.000190924,9.54618e-05,0.000381847
42,12254.9,1.74561,1.36911,0.97089,0.99998,0.29966,0.24058,0.19298,0.10312,1.6881,1.28767,0.95912,0,0.000134375,0.000134375,0.000134375,6.71874e-05,0.00026875
43,12545.2,1.74376,1.35861,0.97016,0.99999,0.3149,0.2403,0.19181,0.10234,1.68928,1.28585,0.95951,0,0.000120238,0.000120238,0.000120238,6.01188e-05,0.000240475
44,12827.6,1.73614,1.3501,0.96987,1,0.31315,0.23802,0.19479,0.10426,1.68439,1.28371,0.95717,0,0.0001061,0.0001061,0.0001061,5.30502e-05,0.000212201
45,13138.9,1.7251,1.33854,0.96678,1.00003,0.32602,0.23889,0.19676,0.10542,1.68024,1.2784,0.95634,0,9.19632e-05,9.19632e-05,9.19632e-05,4.59816e-05,0.000183926
46,13429.8,1.72259,1.33366,0.96547,0.99998,0.31071,0.24016,0.19513,0.10488,1.68171,1.28047,0.95519,0,7.7826e-05,7.7826e-05,7.7826e-05,3.8913e-05,0.000155652
47,13712,1.7207,1.33185,0.96558,0.99998,0.32874,0.23759,0.19598,0.10569,1.67492,1.27391,0.95553,0,6.36888e-05,6.36888e-05,6.36888e-05,3.18444e-05,0.000127378
48,14017.7,1.71787,1.32879,0.9647,1.00001,0.31359,0.24337,0.19826,0.10659,1.67531,1.26949,0.95663,0,4.95516e-05,4.95516e-05,4.95516e-05,2.47758e-05,9.91032e-05
49,14317.3,1.71567,1.325,0.96537,0.99999,0.31724,0.24229,0.19772,0.1063,1.67781,1.27067,0.95594,0,3.54144e-05,3.54144e-05,3.54144e-05,1.77072e-05,7.08288e-05
50,14637.6,1.71439,1.32083,0.96294,0.99997,0.31697,0.24216,0.19818,0.10654,1.67495,1.27057,0.95463,0,2.12772e-05,2.12772e-05,2.12772e-05,1.06386e-05,4.25544e-05
