layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.7/m.1/m.1.0/mlp/mlp.0/conv/Conv,Conv,/model.7/m.1/m.1.0/mlp/mlp.0/conv/Conv_output_0,9.6251,4.5182,2.13,4.8,3.8626
/model.7/cv1/conv/Conv,Conv,/model.7/cv1/conv/Conv_output_0,13.7582,5.845,2.354,3.8,3.8399
/model.11/shared_expert/shared_expert.1/Mul,Mul,/model.11/shared_expert/shared_expert.1/Mul_output_0,8.4024,4.5068,1.864,6.3,3.8206
/model.10/m.0/m.0.1/attn/Mul,Mul,/model.10/m.0/m.0.1/attn/Mul_output_0,30.0008,11.1579,2.689,2.9,3.8181
/model.11/shared_expert/shared_expert.1/Add,Add,/model.11/shared_expert/shared_expert.1/Add_output_0,8.3887,4.5139,1.858,6.3,3.8113
/model.20/cv2/conv/Conv,Conv,/model.20/cv2/conv/Conv_output_0,9.0058,4.1405,2.175,4.5,3.806
/model.10/m.0/m.0.0/attn/proj/conv/Conv,Conv,/model.10/m.0/m.0.0/attn/proj/conv/Conv_output_0,7.6594,3.8979,1.965,5.5,3.798
/model.11/shared_expert/shared_expert.0/Conv,Conv,/model.11/shared_expert/shared_expert.0/Conv_output_0,2.3259,1.1854,1.962,5.7,3.7897
/model.17/m.0/cv3/act/Mul,Mul,/model.17/m.0/cv3/act/Mul_output_0,7.3581,3.8258,1.923,5.7,3.7776
/model.17/cv2/conv/Conv,Conv,/model.17/cv2/conv/Conv_output_0,8.5693,4.1831,2.049,4.9,3.7648
/model.7/m.1/m.1.0/attn/pe/conv/Conv,Conv,/model.7/m.1/m.1.0/attn/pe/conv/Conv_output_0,7.7737,3.7334,2.082,4.8,3.7549
/model.10/m.1/m.1.0/mlp/mlp.0/conv/Conv,Conv,/model.10/m.1/m.1.0/mlp/mlp.0/conv/Conv_output_0,7.5018,3.8824,1.932,5.6,3.7454
/model.20/m.0/m/m.1/cv1/conv/Conv,Conv,/model.20/m.0/m/m.1/cv1/conv/Conv_output_0,9.5829,4.1342,2.318,3.8,3.7434
/model.10/m.0/m.0.0/mlp/mlp.0/conv/Conv,Conv,/model.10/m.0/m.0.0/mlp/mlp.0/conv/Conv_output_0,7.9267,4.2187,1.879,5.9,3.7392
/model.14/m.0/m/m.0/cv2/conv/Conv,Conv,/model.14/m.0/m/m.0/cv2/conv/Conv_output_0,9.6444,4.0198,2.399,3.5,3.7375
/model.24/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv,Conv,/model.24/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv_output_0,7.1036,4.0378,1.759,6.8,3.7263
/model.24/cv2.1/cv2.1.0/conv/Conv,Conv,/model.24/cv2.1/cv2.1.0/conv/Conv_output_0,7.8742,3.3947,2.32,3.7,3.7036
/model.20/cv1/conv/Conv,Conv,/model.20/cv1/conv/Conv_output_0,9.9891,4.7187,2.117,4.4,3.6941
/model.10/m.1/m.1.1/Add,Add,/model.10/m.1/m.1.1/Add_output_0,17.6344,8.6237,2.045,4.6,3.6779
/model.10/m.0/m.0.1/attn/proj/conv/Conv,Conv,/model.10/m.0/m.0.1/attn/proj/conv/Conv_output_0,6.8499,3.49,1.963,5.2,3.6736
/model.7/m.1/m.1.0/mlp/mlp.1/conv/Conv,Conv,/model.7/m.1/m.1.0/mlp/mlp.1/conv/Conv_output_0,7.4748,3.4613,2.16,4.1,3.6353
/model.10/m.0/m.0.1/Add_1,Add,/model.10/m.0/m.0.1/Add_1_output_0,13.2805,6.7171,1.977,4.9,3.6264
/model.2/m.0/Add,Add,/model.2/m.0/Add_output_0,18.0365,6.5991,2.733,2.5,3.5911
/model.5/experts.0/conv/conv.4/Mul,Mul,/model.5/experts.0/conv/conv.4/Mul_output_0,5.3278,2.6816,1.987,4.6,3.5197
/model.10/m.1/m.1.1/attn/proj/conv/Conv,Conv,/model.10/m.1/m.1.1/attn/proj/conv/Conv_output_0,7.4362,3.8952,1.909,5.0,3.5182
/model.17/m.0/m/m.0/cv2/conv/Conv,Conv,/model.17/m.0/m/m.0/cv2/conv/Conv_output_0,9.3404,4.0245,2.321,3.3,3.5121
/model.23/m.0/cv2/conv/Conv,Conv,/model.23/m.0/cv2/conv/Conv_output_0,7.1464,3.975,1.798,5.6,3.4939
/model.7/m.1/m.1.1/mlp/mlp.1/conv/Conv,Conv,/model.7/m.1/m.1.1/mlp/mlp.1/conv/Conv_output_0,7.3019,3.3451,2.183,3.7,3.4911
/model.3/conv/Conv,Conv,/model.3/conv/Conv_output_0,7.255,3.2164,2.256,3.5,3.4834
/model.23/m.0/cv3/conv/Conv,Conv,/model.23/m.0/cv3/conv/Conv_output_0,7.0515,3.7917,1.86,5.1,3.4653
/model.24/cv2.0/cv2.0.2/Conv,Conv,/model.24/cv2.0/cv2.0.2/Conv_output_0,20.0219,13.0477,1.535,7.6,3.4616
/model.5/experts.1/conv/conv.4/Mul,Mul,/model.5/experts.1/conv/conv.4/Mul_output_0,5.2188,2.6949,1.937,4.6,3.4369
/model.7/m.1/m.1.0/attn/MatMul_1,MatMul,/model.7/m.1/m.1.0/attn/MatMul_1_output_0,9.7362,3.6415,2.674,2.5,3.4325
/model.10/m.0/m.0.1/Add,Add,/model.10/m.0/m.0.1/Add_output_0,13.3906,7.037,1.903,4.7,3.4286
/model.7/m.1/m.1.0/attn/proj/conv/Conv,Conv,/model.7/m.1/m.1.0/attn/proj/conv/Conv_output_0,7.4168,3.4495,2.15,3.7,3.4263
/model.10/m.0/m.0.1/mlp/mlp.1/conv/Conv,Conv,/model.10/m.0/m.0.1/mlp/mlp.1/conv/Conv_output_0,6.2035,3.3178,1.87,4.9,3.4248
/model.10/m.1/m.1.0/Add_1,Add,/model.10/m.1/m.1.0/Add_1_output_0,13.4898,7.2749,1.854,4.9,3.4145
/model.5/experts.0/conv/conv.4/Add,Add,/model.5/experts.0/conv/conv.4/Add_output_0,5.3426,2.6887,1.987,4.2,3.383
/model.17/m.0/cv1/act/Mul,Mul,/model.17/m.0/cv1/act/Mul_output_0,2.6712,1.6236,1.645,6.5,3.3786
/model.5/Add_1,Add,/model.5/Add_1_output_0,4.8667,2.6791,1.817,5.1,3.3762
/model.17/m.0/m/m.0/cv2/act/Mul,Mul,/model.17/m.0/m/m.0/cv2/act/Mul_output_0,6.0204,2.8699,2.098,3.7,3.3652
/model.4/m.0/cv1/conv/Conv,Conv,/model.4/m.0/cv1/conv/Conv_output_0,6.6381,2.6524,2.503,2.7,3.3639
/model.5/Mul_1,Mul,/model.5/Mul_1_output_0,2.6754,1.346,1.988,4.2,3.3569
/model.5/Add,Add,/model.5/Add_output_0,2.6754,1.346,1.988,4.2,3.3569
/model.24/cv2.1/cv2.1.2/Conv,Conv,/model.24/cv2.1/cv2.1.2/Conv_output_0,13.4886,10.015,1.347,9.9,3.3563
/model.18/conv/Conv,Conv,/model.18/conv/Conv_output_0,11.1611,5.3162,2.099,3.7,3.3536
/model.7/m.1/m.1.1/attn/proj/conv/Conv,Conv,/model.7/m.1/m.1.1/attn/proj/conv/Conv_output_0,7.9834,3.5085,2.275,3.1,3.337
/model.10/m.1/m.1.0/attn/proj/conv/Conv,Conv,/model.10/m.1/m.1.0/attn/proj/conv/Conv_output_0,6.878,3.6238,1.898,4.5,3.3358
/model.10/m.1/m.1.0/Add,Add,/model.10/m.1/m.1.0/Add_output_0,14.5415,7.6703,1.896,4.4,3.322
/model.5/experts.1/conv/conv.4/Add,Add,/model.5/experts.1/conv/conv.4/Add_output_0,5.2285,2.7235,1.92,4.3,3.3071
/model.10/m.1/m.1.1/mlp/mlp.1/conv/Conv,Conv,/model.10/m.1/m.1.1/mlp/mlp.1/conv/Conv_output_0,6.9783,3.9695,1.758,5.2,3.3044
/model.7/m.1/m.1.1/Add,Add,/model.7/m.1/m.1.1/Add_output_0,18.325,8.5121,2.153,3.3,3.2984
/model.10/m.0/m.0.0/mlp/mlp.1/conv/Conv,Conv,/model.10/m.0/m.0.0/mlp/mlp.1/conv/Conv_output_0,6.0868,3.1847,1.911,4.3,3.2782
/model.23/m.0/m/m.1/cv2/conv/Conv,Conv,/model.23/m.0/m/m.1/cv2/conv/Conv_output_0,7.0195,3.6232,1.937,4.1,3.2767
/model.5/Mul_3,Mul,/model.5/Mul_3_output_0,2.6115,1.3593,1.921,4.3,3.2756
/model.7/m.1/m.1.0/attn/MatMul,MatMul,/model.7/m.1/m.1.0/attn/MatMul_output_0,128.9238,51.1324,2.521,2.3,3.2522
/model.10/m.1/m.1.0/attn/MatMul,MatMul,/model.10/m.1/m.1.0/attn/MatMul_output_0,165.0469,65.9625,2.502,2.3,3.2518
/model.7/m.1/m.1.0/Add,Add,/model.7/m.1/m.1.0/Add_output_0,16.2092,8.1901,1.979,3.8,3.2476
/model.5/experts.2/conv/conv.4/Add,Add,/model.5/experts.2/conv/conv.4/Add_output_0,5.1657,2.7367,1.888,4.3,3.2248
/model.14/m.0/cv2/conv/Conv,Conv,/model.14/m.0/cv2/conv/Conv_output_0,8.9359,4.6001,1.943,4.0,3.2229
