mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.936,2.955,0.3386,0.19864,0.0,154.8,26.6,0,1.0,0.0
int8,2.394,2.729,0.21224,0.11391,-0.08473,498.3,14.2,169,1.23,18.5
