threshold,kept_experts,params_M,dParams_pct,GFLOPs,mAP50,mAP50_95,dmAP50_95
0.05,"{""6"": 2, ""9"": 2, ""12"": 2}",3.3321,55.89,10.336,0.59312,0.42915,-1e-05
0.1,"{""6"": 2, ""9"": 2, ""12"": 2}",3.3321,55.89,10.336,0.59312,0.42915,-1e-05
0.15,"{""6"": 2, ""9"": 2, ""12"": 2}",3.3321,55.89,10.336,0.59312,0.42915,-1e-05
0.2,"{""6"": 2, ""9"": 2, ""12"": 2}",3.3321,55.89,10.336,0.59312,0.42915,-1e-05
0.3,"{""6"": 2, ""9"": 2, ""12"": 2}",3.3321,55.89,10.336,0.59312,0.42915,-1e-05
