epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
19,3578.03,1.68798,2.59762,0.0234,0.99737,14.5136,0.33959,0.30756,0.26336,0.14628,1.70672,2.3828,0.0303,0,0,14.5136,0,14.5136,0,0.0756721,0.172644,3.00161,3.00161,0,1,15.49,15.3111,12.7396,0.0095545,0.0095545,0.0095545,0.00477725,0.019109
20,3765.19,1.67001,2.5456,0.02316,0.99625,14.286,0.3767,0.32625,0.28468,0.1591,1.66254,2.33531,0.0294,0,0,14.286,0,14.286,0,0.0744739,0.172583,3.00161,3.00161,0,1,15.2315,15.0352,12.5914,0.00952975,0.00952975,0.00952975,0.00476488,0.0190595
21,3951.39,1.67406,2.5444,0.02319,0.99878,14.5203,0.39025,0.31187,0.28664,0.16001,1.69712,2.33478,0.0299,0,0,14.5203,0,14.5203,0,0.0756985,0.175674,3.00161,3.00161,0,1,15.4836,15.2608,12.8165,0.009505,0.009505,0.009505,0.0047525,0.01901
22,4137.91,1.66676,2.50755,0.02293,0.99682,14.3583,0.38593,0.33217,0.30069,0.17194,1.64717,2.24792,0.02874,0,0,14.3583,0,14.3583,0,0.0748591,0.176139,3.00161,3.00161,0,1,15.2985,15.1089,12.6675,0.00948025,0.00948025,0.00948025,0.00474013,0.0189605
23,4323.95,1.65589,2.47484,0.02274,0.99662,14.2451,0.40932,0.3362,0.31494,0.1815,1.64983,2.21953,0.02871,0,0,14.2451,0,14.2451,0,0.0742707,0.176353,3.00161,3.00161,0,1,15.2275,14.9816,12.5261,0.0094555,0.0094555,0.0094555,0.00472775,0.018911
24,4509.63,1.64798,2.44706,0.02261,0.99696,14.1387,0.41813,0.35282,0.3276,0.18926,1.63058,2.19076,0.02829,0,0,14.1387,0,14.1387,0,0.0737101,0.176654,3.00161,3.00161,0,1,15.0987,14.8703,12.447,0.00943075,0.00943075,0.00943075,0.00471537,0.0188615
25,4694.28,1.63553,2.4129,0.02254,0.99697,14.1575,0.42745,0.36815,0.33841,0.19963,1.59889,2.13672,0.0276,0,0,14.1575,0,14.1575,0,0.0738093,0.179077,3.00161,3.00161,0,1,15.1355,14.8851,12.4517,0.009406,0.009406,0.009406,0.004703,0.018812
26,4878.07,1.63639,2.42411,0.02238,0.99802,14.0721,0.45136,0.35476,0.34194,0.20172,1.60301,2.13163,0.02778,0,0,14.0721,0,14.0721,0,0.0733613,0.177417,3.00161,3.00161,0,1,15.0334,14.77,12.4128,0.00938125,0.00938125,0.00938125,0.00469063,0.0187625
27,5064.01,1.62482,2.37224,0.02214,0.99725,13.9666,0.45004,0.37334,0.3513,0.20636,1.59198,2.0936,0.0274,0,0,13.9666,0,13.9666,0,0.0728158,0.17897,3.00161,3.00161,0,1,14.9233,14.6837,12.2929,0.0093565,0.0093565,0.0093565,0.00467825,0.018713
28,5249.62,1.62669,2.36953,0.02224,0.99762,13.9343,0.44553,0.3646,0.35374,0.20767,1.57974,2.10181,0.02721,0,0,13.9343,0,13.9343,0,0.0726446,0.178673,3.00161,3.00161,0,1,14.8941,14.6375,12.2713,0.00933175,0.00933175,0.00933175,0.00466587,0.0186635
29,5435.73,1.62296,2.35162,0.02207,0.99745,13.8243,0.44595,0.38197,0.37281,0.22186,1.5764,2.04824,0.02696,0,0,13.8243,0,13.8243,0,0.0720692,0.178307,3.00161,3.00161,0,1,14.783,14.5426,12.1472,0.009307,0.009307,0.009307,0.0046535,0.018614
