epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
72,13350.5,1.49854,1.98547,0.01976,0.99971,12.7516,0.57903,0.49061,0.52445,0.33886,1.41987,1.63999,0.02325,0,0,12.7516,0,12.7516,0,0.0664783,0.188689,3.00161,3.00161,0,1,13.5152,13.4747,11.2648,0.00824275,0.00824275,0.00824275,0.00412138,0.0164855
73,13535.2,1.50335,1.9847,0.01974,0.99951,12.6939,0.57696,0.4916,0.52521,0.33973,1.41883,1.63763,0.02322,0,0,12.6939,0,12.6939,0,0.0661794,0.187632,3.00161,3.00161,0,1,13.449,13.3963,11.2365,0.008218,0.008218,0.008218,0.004109,0.016436
74,13718,1.49951,1.97164,0.01967,0.99966,12.6769,0.58169,0.49099,0.5269,0.34056,1.41868,1.63443,0.0232,0,0,12.6769,0,12.6769,0,0.0660836,0.188495,3.00161,3.00161,0,1,13.4364,13.3775,11.2166,0.00819325,0.00819325,0.00819325,0.00409662,0.0163865
75,13903.8,1.50661,1.96995,0.01989,0.99986,12.7526,0.58395,0.49307,0.52754,0.34082,1.41721,1.63284,0.02316,0,0,12.7526,0,12.7526,0,0.066489,0.189424,3.00161,3.00161,0,1,13.5154,13.4577,11.2847,0.0081685,0.0081685,0.0081685,0.00408425,0.016337
76,14087.3,1.50144,1.97182,0.01959,0.99956,12.6943,0.58856,0.49207,0.52794,0.34119,1.4163,1.63085,0.02315,0,0,12.6943,0,12.6943,0,0.0661762,0.188888,3.00161,3.00161,0,1,13.4302,13.4147,11.2381,0.00814375,0.00814375,0.00814375,0.00407187,0.0162875
77,14270.6,1.49374,1.95762,0.01958,0.9995,12.6193,0.58591,0.49411,0.52852,0.34191,1.41585,1.62795,0.02313,0,0,12.6193,0,12.6193,0,0.0657907,0.188608,3.00161,3.00161,0,1,13.3874,13.338,11.1326,0.008119,0.008119,0.008119,0.0040595,0.016238
78,14453.5,1.48939,1.94411,0.01963,0.99968,12.642,0.58402,0.49471,0.52959,0.34271,1.41544,1.62528,0.02312,0,0,12.642,0,12.642,0,0.0659109,0.189931,3.00161,3.00161,0,1,13.4001,13.359,11.1669,0.00809425,0.00809425,0.00809425,0.00404712,0.0161885
79,14636.4,1.49243,1.97021,0.01963,0.99973,12.639,0.58903,0.49328,0.53063,0.34351,1.41558,1.62223,0.02312,0,0,12.639,0,12.639,0,0.0658906,0.188437,3.00161,3.00161,0,1,13.3845,13.3447,11.188,0.0080695,0.0080695,0.0080695,0.00403475,0.016139
80,14818.9,1.4883,1.9459,0.01953,0.99958,12.6238,0.59471,0.49038,0.53161,0.34429,1.41464,1.62015,0.02311,0,0,12.6238,0,12.6238,0,0.0658203,0.189778,3.00161,3.00161,0,1,13.3773,13.3358,11.1583,0.00804475,0.00804475,0.00804475,0.00402237,0.0160895
81,15002.7,1.48938,1.93716,0.01958,0.99995,12.6792,0.59127,0.49404,0.53231,0.3449,1.41393,1.61828,0.0231,0,0,12.6793,0,12.6793,0,0.0661019,0.190894,3.00161,3.00161,0,1,13.4173,13.38,11.2404,0.00802,0.00802,0.00802,0.00401,0.01604
82,15186.5,1.47659,1.93788,0.0195,0.99977,12.6424,0.58648,0.49682,0.53306,0.34553,1.41346,1.61606,0.02307,0,0,12.6423,0,12.6423,0,0.0659094,0.190466,3.00161,3.00161,0,1,13.3876,13.3444,11.195,0.00799525,0.00799525,0.00799525,0.00399763,0.0159905
83,15370.4,1.48941,1.9338,0.01953,0.99979,12.6134,0.59318,0.49386,0.53386,0.34621,1.41282,1.61339,0.02308,0,0,12.6134,0,12.6134,0,0.065759,0.189696,3.00161,3.00161,0,1,13.3656,13.3232,11.1513,0.0079705,0.0079705,0.0079705,0.00398525,0.015941
84,15555,1.47994,1.93948,0.01929,0.99953,12.5985,0.59012,0.49459,0.53367,0.34657,1.41076,1.61258,0.02302,0,0,12.5985,0,12.5985,0,0.0656805,0.190048,3.00161,3.00161,0,1,13.3473,13.2911,11.157,0.00794575,0.00794575,0.00794575,0.00397287,0.0158915
85,15741.3,1.49434,1.92326,0.01945,0.99972,12.5222,0.59623,0.49429,0.53486,0.34728,1.40933,1.61159,0.02297,0,0,12.5222,0,12.5222,0,0.0652802,0.188969,3.00161,3.00161,0,1,13.2591,13.2275,11.0799,0.007921,0.007921,0.007921,0.0039605,0.015842
86,15925.3,1.48502,1.92753,0.01941,0.99987,12.5945,0.58947,0.49808,0.53546,0.34774,1.40954,1.60811,0.02297,0,0,12.5945,0,12.5945,0,0.0656618,0.190438,3.00161,3.00161,0,1,13.3568,13.3118,11.115,0.00789625,0.00789625,0.00789625,0.00394813,0.0157925
87,16109,1.48094,1.92024,0.01941,0.99978,12.5711,0.58674,0.49907,0.53623,0.34851,1.40753,1.60791,0.02293,0,0,12.5711,0,12.5711,0,0.0655361,0.190404,3.00161,3.00161,0,1,13.3014,13.2831,11.1288,0.0078715,0.0078715,0.0078715,0.00393575,0.015743
88,16293.1,1.47018,1.91047,0.01934,0.99955,12.5197,0.58625,0.50094,0.5376,0.34955,1.4061,1.60696,0.0229,0,0,12.5197,0,12.5197,0,0.0652714,0.190643,3.00161,3.00161,0,1,13.2701,13.2089,11.0802,0.00784675,0.00784675,0.00784675,0.00392337,0.0156935
89,16476,1.47804,1.91366,0.01934,0.99969,12.5455,0.5859,0.50149,0.53852,0.35011,1.40478,1.60573,0.02286,0,0,12.5455,0,12.5455,0,0.0654059,0.190656,3.00161,3.00161,0,1,13.2634,13.2594,11.1136,0.007822,0.007822,0.007822,0.003911,0.015644
90,16659.2,1.47934,1.91084,0.01941,0.99986,12.5369,0.58959,0.49986,0.53972,0.35081,1.40412,1.60404,0.02285,0,0,12.5369,0,12.5369,0,0.0653577,0.190392,3.00161,3.00161,0,1,13.2652,13.2434,11.1022,0.00779725,0.00779725,0.00779725,0.00389863,0.0155945
91,16846.3,1.47583,1.91015,0.01932,0.99984,12.5312,0.58504,0.50292,0.54033,0.35121,1.40357,1.60193,0.02284,0,0,12.5312,0,12.5312,0,0.0653326,0.190755,3.00161,3.00161,0,1,13.2701,13.2296,11.0939,0.0077725,0.0077725,0.0077725,0.00388625,0.015545
92,17030.7,1.468,1.89543,0.01916,0.99976,12.4991,0.58377,0.50786,0.54052,0.35162,1.40229,1.60093,0.02281,0,0,12.4991,0,12.4991,0,0.0651634,0.191365,3.00161,3.00161,0,1,13.216,13.2122,11.0691,0.00774775,0.00774775,0.00774775,0.00387388,0.0154955
93,17218,1.47222,1.89559,0.01932,0.99966,12.4833,0.58823,0.5059,0.54106,0.35202,1.40152,1.59907,0.02279,0,0,12.4834,0,12.4834,0,0.0650819,0.190863,3.00161,3.00161,0,1,13.2193,13.193,11.0378,0.007723,0.007723,0.007723,0.0038615,0.015446
94,17403.3,1.48393,1.9087,0.01924,0.99992,12.4744,0.58951,0.50485,0.54177,0.35278,1.40043,1.59825,0.02275,0,0,12.4744,0,12.4744,0,0.0650425,0.189443,3.00161,3.00161,0,1,13.2129,13.1833,11.0268,0.00769825,0.00769825,0.00769825,0.00384913,0.0153965
95,17591,1.4655,1.88446,0.01915,0.99978,12.47,0.59049,0.50487,0.54252,0.35339,1.39958,1.59704,0.02274,0,0,12.47,0,12.47,0,0.0650089,0.191534,3.00161,3.00161,0,1,13.1904,13.1721,11.0474,0.0076735,0.0076735,0.0076735,0.00383675,0.015347
96,17775.2,1.47012,1.88403,0.01915,0.99984,12.4454,0.59206,0.50551,0.54308,0.35402,1.39878,1.59593,0.02272,0,0,12.4454,0,12.4454,0,0.0648828,0.190985,3.00161,3.00161,0,1,13.1659,13.1501,11.0201,0.00764875,0.00764875,0.00764875,0.00382438,0.0152975
97,17959.8,1.47709,1.89541,0.01915,0.99982,12.4362,0.59228,0.50612,0.54343,0.3546,1.39809,1.59417,0.02269,0,0,12.4362,0,12.4362,0,0.0648388,0.190113,3.00161,3.00161,0,1,13.1565,13.1373,11.0148,0.007624,0.007624,0.007624,0.003812,0.015248
98,18144.2,1.46765,1.88346,0.01918,0.99973,12.4879,0.59303,0.50827,0.5439,0.35504,1.39716,1.59235,0.02267,0,0,12.4879,0,12.4879,0,0.0651015,0.191639,3.00161,3.00161,0,1,13.214,13.1908,11.059,0.00759925,0.00759925,0.00759925,0.00379963,0.0151985
99,18326.6,1.46365,1.88433,0.01904,0.99987,12.4182,0.59043,0.50905,0.54475,0.35551,1.39554,1.59239,0.02265,0,0,12.4182,0,12.4182,0,0.0647412,0.190749,3.00161,3.00161,0,1,13.1421,13.1278,10.9847,0.0075745,0.0075745,0.0075745,0.00378725,0.015149
100,18511,1.46719,1.87074,0.01922,0.99988,12.4099,0.59095,0.50982,0.54511,0.35584,1.39522,1.59073,0.02264,0,0,12.4099,0,12.4099,0,0.0646992,0.191162,3.00161,3.00161,0,1,13.1325,13.1204,10.9767,0.00754975,0.00754975,0.00754975,0.00377488,0.0150995
101,18695.8,1.47108,1.86642,0.01901,0.99988,12.4412,0.59785,0.50832,0.5455,0.35636,1.3939,1.5898,0.02261,0,0,12.4412,0,12.4412,0,0.0648636,0.191695,3.00161,3.00161,0,1,13.1842,13.1439,10.9956,0.007525,0.007525,0.007525,0.0037625,0.01505
102,18880.6,1.46747,1.87036,0.01921,0.99989,12.4299,0.59895,0.50789,0.54603,0.35686,1.39333,1.58751,0.02259,0,0,12.4298,0,12.4298,0,0.0647998,0.191169,3.00161,3.00161,0,1,13.1633,13.1161,11.0101,0.00750025,0.00750025,0.00750025,0.00375013,0.0150005
103,19065.9,1.47051,1.86669,0.01917,0.99979,12.4766,0.60025,0.50848,0.5465,0.35738,1.39287,1.58569,0.02259,0,0,12.4766,0,12.4766,0,0.0650474,0.192221,3.00161,3.00161,0,1,13.2403,13.1921,10.9974,0.0074755,0.0074755,0.0074755,0.00373775,0.014951
104,19250.4,1.46024,1.87017,0.01893,0.99979,12.3808,0.59801,0.509,0.54737,0.35813,1.3917,1.5849,0.02257,0,0,12.3807,0,12.3807,0,0.0645506,0.191051,3.00161,3.00161,0,1,13.1032,13.0704,10.9686,0.00745075,0.00745075,0.00745075,0.00372537,0.0149015
105,19435,1.46228,1.86584,0.01892,0.99979,12.3205,0.59735,0.50944,0.5477,0.35851,1.39081,1.58405,0.02253,0,0,12.3205,0,12.3205,0,0.0642328,0.190234,3.00161,3.00161,0,1,13.0481,13.0153,10.898,0.007426,0.007426,0.007426,0.003713,0.014852
106,19618.9,1.45894,1.86299,0.01898,0.99993,12.3326,0.59281,0.51423,0.54837,0.35895,1.38935,1.5834,0.02249,0,0,12.3326,0,12.3326,0,0.0642995,0.190639,3.00161,3.00161,0,1,13.0457,13.0439,10.9083,0.00740125,0.00740125,0.00740125,0.00370063,0.0148025
107,19804.8,1.4597,1.84834,0.01905,0.99973,12.3411,0.59658,0.51337,0.54919,0.35959,1.38866,1.58199,0.02249,0,0,12.3411,0,12.3411,0,0.0643472,0.191597,3.00161,3.00161,0,1,13.0746,13.0302,10.9185,0.0073765,0.0073765,0.0073765,0.00368825,0.014753
108,19988.6,1.46311,1.85574,0.01898,0.99992,12.3368,0.60053,0.51208,0.54962,0.36019,1.38871,1.57955,0.02249,0,0,12.3368,0,12.3368,0,0.0643141,0.191206,3.00161,3.00161,0,1,13.0678,13.0458,10.8969,0.00735175,0.00735175,0.00735175,0.00367587,0.0147035
109,20173.7,1.46775,1.86237,0.01909,0.99978,12.3508,0.59801,0.51405,0.55015,0.36023,1.38888,1.57701,0.0225,0,0,12.3508,0,12.3508,0,0.064391,0.190425,3.00161,3.00161,0,1,13.054,13.0512,10.9471,0.007327,0.007327,0.007327,0.0036635,0.014654
110,20357.3,1.46185,1.85038,0.01884,0.9999,12.2781,0.59587,0.51675,0.55062,0.36081,1.38819,1.57578,0.02249,0,0,12.278,0,12.278,0,0.0640118,0.190491,3.00161,3.00161,0,1,12.9994,12.9781,10.8565,0.00730225,0.00730225,0.00730225,0.00365113,0.0146045
111,20541.7,1.45634,1.84313,0.0189,1,12.3211,0.59719,0.51797,0.55155,0.36163,1.3877,1.5735,0.02249,0,0,12.3211,0,12.3211,0,0.0642337,0.191581,3.00161,3.00161,0,1,13.0361,13.0147,10.9126,0.0072775,0.0072775,0.0072775,0.00363875,0.014555
112,20725.9,1.4551,1.84683,0.01881,0.99991,12.3638,0.59457,0.51791,0.55209,0.36213,1.3869,1.57234,0.02247,0,0,12.3638,0,12.3638,0,0.0644623,0.19251,3.00161,3.00161,0,1,13.0957,13.0555,10.9402,0.00725275,0.00725275,0.00725275,0.00362637,0.0145055
113,20910.8,1.4612,1.84756,0.019,0.9998,12.3252,0.5956,0.51967,0.55259,0.36267,1.38646,1.57062,0.02246,0,0,12.3252,0,12.3252,0,0.064259,0.191009,3.00161,3.00161,0,1,13.0459,13.0186,10.9112,0.007228,0.007228,0.007228,0.003614,0.014456
114,21093.5,1.45154,1.83773,0.01889,0.99986,12.3871,0.59623,0.51806,0.55332,0.36334,1.38604,1.56912,0.02244,0,0,12.387,0,12.387,0,0.0645771,0.193028,3.00161,3.00161,0,1,13.1274,13.0893,10.9444,0.00720325,0.00720325,0.00720325,0.00360163,0.0144065
115,21279,1.45014,1.83489,0.01884,0.9999,12.2783,0.59721,0.51863,0.55402,0.36383,1.38555,1.56744,0.02244,0,0,12.2783,0,12.2783,0,0.0640124,0.191688,3.00161,3.00161,0,1,12.9847,12.9778,10.8725,0.0071785,0.0071785,0.0071785,0.00358925,0.014357
116,21462.4,1.44877,1.82929,0.01875,0.99985,12.2725,0.59867,0.52125,0.55467,0.36433,1.3844,1.56657,0.02241,0,0,12.2725,0,12.2725,0,0.0639776,0.192255,3.00161,3.00161,0,1,12.9812,12.9836,10.8526,0.00715375,0.00715375,0.00715375,0.00357688,0.0143075
117,21645.4,1.45535,1.836,0.01886,0.99995,12.2826,0.59809,0.52112,0.55477,0.3647,1.38271,1.56659,0.02238,0,0,12.2826,0,12.2826,0,0.064035,0.191621,3.00161,3.00161,0,1,12.9996,12.9748,10.8734,0.007129,0.007129,0.007129,0.0035645,0.014258
118,21828.4,1.44878,1.8267,0.01878,0.99986,12.2316,0.59839,0.52042,0.55514,0.36517,1.38188,1.5651,0.02236,0,0,12.2316,0,12.2316,0,0.0637743,0.191335,3.00161,3.00161,0,1,12.9386,12.9268,10.8294,0.00710425,0.00710425,0.00710425,0.00355212,0.0142085
119,22011.5,1.44718,1.82817,0.01891,0.99983,12.2521,0.60074,0.51806,0.55576,0.36574,1.38128,1.5629,0.02235,0,0,12.2521,0,12.2521,0,0.0638774,0.191621,3.00161,3.00161,0,1,12.9767,12.9394,10.8401,0.0070795,0.0070795,0.0070795,0.00353975,0.014159
120,22195,1.43038,1.80917,0.01874,1.00008,12.2495,0.59855,0.52027,0.5561,0.36632,1.38065,1.56061,0.02233,0,0,12.2495,0,12.2495,0,0.0638649,0.193591,3.00161,3.00161,0,1,12.9649,12.9529,10.8308,0.00705475,0.00705475,0.00705475,0.00352737,0.0141095
121,22377.8,1.45411,1.82767,0.01874,0.9997,12.2378,0.59893,0.52062,0.55672,0.3668,1.37995,1.55885,0.02231,0,0,12.2378,0,12.2378,0,0.0638022,0.191181,3.00161,3.00161,0,1,12.968,12.9393,10.8062,0.00703,0.00703,0.00703,0.003515,0.01406
122,22560.4,1.45101,1.81687,0.01873,0.99991,12.1933,0.60485,0.51847,0.55766,0.36747,1.37854,1.55781,0.02228,0,0,12.1933,0,12.1933,0,0.0635682,0.191363,3.00161,3.00161,0,1,12.8939,12.8954,10.7905,0.00700525,0.00700525,0.00700525,0.00350263,0.0140105
123,22743.4,1.45205,1.80983,0.01862,0.99985,12.17,0.60698,0.51767,0.55837,0.36788,1.37766,1.55608,0.02226,0,0,12.17,0,12.17,0,0.0634458,0.191376,3.00161,3.00161,0,1,12.8844,12.8663,10.7593,0.0069805,0.0069805,0.0069805,0.00349025,0.013961
124,22926,1.44056,1.79816,0.01866,0.99995,12.1864,0.59933,0.52344,0.55866,0.36818,1.37695,1.5535,0.02225,0,0,12.1864,0,12.1864,0,0.0635346,0.19272,3.00161,3.00161,0,1,12.9038,12.8793,10.7761,0.00695575,0.00695575,0.00695575,0.00347788,0.0139115
125,23108.8,1.44654,1.80488,0.01868,0.99997,12.2421,0.60204,0.52138,0.55889,0.36839,1.3754,1.55278,0.02222,0,0,12.2421,0,12.2421,0,0.0638251,0.192687,3.00161,3.00161,0,1,12.9474,12.9466,10.8322,0.006931,0.006931,0.006931,0.0034655,0.013862
126,23291.1,1.44534,1.80957,0.01874,0.99999,12.2068,0.59916,0.52386,0.55942,0.36897,1.37477,1.54998,0.0222,0,0,12.2068,0,12.2068,0,0.063639,0.192154,3.00161,3.00161,0,1,12.9191,12.9077,10.7936,0.00690625,0.00690625,0.00690625,0.00345313,0.0138125
127,23472.7,1.44361,1.80765,0.01861,1.00012,12.1676,0.60482,0.52094,0.5602,0.36974,1.37314,1.54887,0.02217,0,0,12.1676,0,12.1676,0,0.0634404,0.191615,3.00161,3.00161,0,1,12.8842,12.8486,10.7699,0.0068815,0.0068815,0.0068815,0.00344075,0.013763
128,23655,1.44955,1.81057,0.01855,0.99981,12.1744,0.60508,0.51905,0.56109,0.37052,1.37225,1.54676,0.02215,0,0,12.1744,0,12.1744,0,0.063476,0.191345,3.00161,3.00161,0,1,12.8819,12.8602,10.7811,0.00685675,0.00685675,0.00685675,0.00342838,0.0137135
129,23838.1,1.44253,1.79832,0.01861,0.99986,12.19,0.60644,0.52033,0.56203,0.37141,1.37186,1.54452,0.02214,0,0,12.19,0,12.19,0,0.0635474,0.192273,3.00161,3.00161,0,1,12.9064,12.8732,10.7903,0.006832,0.006832,0.006832,0.003416,0.013664
130,24021,1.44504,1.78265,0.01868,0.99993,12.1447,0.61242,0.51636,0.56258,0.37202,1.37122,1.54255,0.02212,0,0,12.1447,0,12.1447,0,0.0633173,0.192489,3.00161,3.00161,0,1,12.8353,12.8392,10.7597,0.00680725,0.00680725,0.00680725,0.00340363,0.0136145
131,24203,1.44149,1.79525,0.01868,0.99989,12.1626,0.60823,0.52218,0.56303,0.37276,1.37004,1.54119,0.0221,0,0,12.1626,0,12.1626,0,0.0634078,0.192195,3.00161,3.00161,0,1,12.8752,12.8527,10.7599,0.0067825,0.0067825,0.0067825,0.00339125,0.013565
132,24385.2,1.43786,1.79924,0.0186,0.99998,12.157,0.61036,0.52241,0.56363,0.37352,1.36968,1.53866,0.0221,0,0,12.157,0,12.157,0,0.0633781,0.192009,3.00161,3.00161,0,1,12.8405,12.8645,10.7661,0.00675775,0.00675775,0.00675775,0.00337887,0.0135155
133,24568.2,1.44406,1.79803,0.01858,1.00001,12.1392,0.61003,0.52217,0.56402,0.37405,1.36899,1.53629,0.02208,0,0,12.1392,0,12.1392,0,0.0632849,0.191488,3.00161,3.00161,0,1,12.813,12.8533,10.7512,0.006733,0.006733,0.006733,0.0033665,0.013466
134,24750.7,1.42727,1.77904,0.01852,0.99997,12.1412,0.60818,0.52418,0.56451,0.37464,1.36819,1.53443,0.02206,0,0,12.1412,0,12.1412,0,0.0632938,0.193302,3.00161,3.00161,0,1,12.83,12.8431,10.7504,0.00670825,0.00670825,0.00670825,0.00335412,0.0134165
135,24933,1.43293,1.78016,0.01852,0.9998,12.0984,0.61125,0.52235,0.56533,0.37534,1.36677,1.53326,0.02203,0,0,12.0985,0,12.0985,0,0.0630711,0.192164,3.00161,3.00161,0,1,12.7852,12.8016,10.7086,0.0066835,0.0066835,0.0066835,0.00334175,0.013367
136,25115.3,1.43367,1.77689,0.01849,0.99997,12.0633,0.61002,0.52298,0.56629,0.37589,1.3661,1.53063,0.02201,0,0,12.0633,0,12.0633,0,0.0628928,0.191989,3.00161,3.00161,0,1,12.7638,12.7449,10.6814,0.00665875,0.00665875,0.00665875,0.00332937,0.0133175
137,25297.9,1.43684,1.77643,0.01849,0.99995,12.1067,0.61246,0.52296,0.56679,0.37644,1.36542,1.52886,0.02199,0,0,12.1067,0,12.1067,0,0.0631127,0.192546,3.00161,3.00161,0,1,12.8127,12.7827,10.7245,0.006634,0.006634,0.006634,0.003317,0.013268
138,25481.4,1.43468,1.78071,0.0184,0.99985,12.1327,0.61824,0.52018,0.56764,0.37715,1.36463,1.52631,0.02197,0,0,12.1327,0,12.1327,0,0.0632545,0.192587,3.00161,3.00161,0,1,12.8359,12.8083,10.7538,0.00660925,0.00660925,0.00660925,0.00330462,0.0132185
139,25664.1,1.43787,1.76965,0.01857,0.99988,12.1233,0.6142,0.52354,0.56824,0.37793,1.36331,1.52407,0.02194,0,0,12.1233,0,12.1233,0,0.0632088,0.192763,3.00161,3.00161,0,1,12.815,12.8341,10.7206,0.0065845,0.0065845,0.0065845,0.00329225,0.013169
140,25847.5,1.43125,1.77086,0.01848,1.00012,12.084,0.61483,0.5256,0.569,0.37879,1.36193,1.52274,0.02191,0,0,12.084,0,12.084,0,0.063004,0.192611,3.00161,3.00161,0,1,12.7959,12.7687,10.6873,0.00655975,0.00655975,0.00655975,0.00327988,0.0131195
141,26031.1,1.43833,1.77907,0.0187,0.99987,12.0865,0.62176,0.52205,0.56957,0.37934,1.36106,1.52107,0.02189,0,0,12.0865,0,12.0865,0,0.0630146,0.191627,3.00161,3.00161,0,1,12.7845,12.7856,10.6895,0.006535,0.006535,0.006535,0.0032675,0.01307
142,26213.6,1.43248,1.75839,0.01848,0.99994,12.0773,0.6212,0.5236,0.57011,0.37988,1.35935,1.52028,0.02186,0,0,12.0773,0,12.0773,0,0.0629634,0.192975,3.00161,3.00161,0,1,12.7701,12.7747,10.6869,0.00651025,0.00651025,0.00651025,0.00325512,0.0130205
143,26398.4,1.43259,1.76452,0.01835,0.99987,12.0407,0.61751,0.52671,0.57103,0.38073,1.35833,1.51809,0.02183,0,0,12.0407,0,12.0407,0,0.0627756,0.192122,3.00161,3.00161,0,1,12.7422,12.7309,10.649,0.0064855,0.0064855,0.0064855,0.00324275,0.012971
144,26582.2,1.43455,1.7633,0.01837,1.00012,12.0678,0.61905,0.52641,0.57161,0.38132,1.35738,1.51646,0.02181,0,0,12.0678,0,12.0678,0,0.0629172,0.192529,3.00161,3.00161,0,1,12.7637,12.7666,10.6731,0.00646075,0.00646075,0.00646075,0.00323038,0.0129215
145,26766.8,1.43339,1.75879,0.01842,0.99996,12.0429,0.6159,0.52755,0.57223,0.38186,1.35603,1.51482,0.02178,0,0,12.0429,0,12.0429,0,0.0627905,0.192635,3.00161,3.00161,0,1,12.7228,12.736,10.6697,0.006436,0.006436,0.006436,0.003218,0.012872
146,26949.7,1.43235,1.7487,0.01835,0.99985,12.0334,0.61759,0.52851,0.57286,0.38246,1.35491,1.51291,0.02177,0,0,12.0334,0,12.0334,0,0.0627376,0.192482,3.00161,3.00161,0,1,12.7215,12.7026,10.6761,0.00641125,0.00641125,0.00641125,0.00320562,0.0128225
147,27132.3,1.42282,1.76414,0.01832,0.99995,12.0174,0.61857,0.52897,0.57376,0.38312,1.35345,1.51156,0.02172,0,0,12.0174,0,12.0174,0,0.0626527,0.192178,3.00161,3.00161,0,1,12.72,12.724,10.6081,0.0063865,0.0063865,0.0063865,0.00319325,0.012773
148,27315.5,1.42984,1.75021,0.01837,1.00001,12.0369,0.62088,0.52862,0.57435,0.38373,1.35226,1.51026,0.02169,0,0,12.0369,0,12.0369,0,0.0627539,0.192822,3.00161,3.00161,0,1,12.722,12.7302,10.6584,0.00636175,0.00636175,0.00636175,0.00318088,0.0127235
149,27499.2,1.42433,1.74338,0.01843,0.99992,12.0366,0.62125,0.53009,0.57569,0.38467,1.35154,1.50827,0.02167,0,0,12.0366,0,12.0366,0,0.06275,0.193425,3.00161,3.00161,0,1,12.7384,12.7246,10.6469,0.006337,0.006337,0.006337,0.0031685,0.012674
150,27682.7,1.43035,1.75908,0.01831,0.99991,12.0271,0.62067,0.53146,0.57672,0.38549,1.35083,1.50618,0.02166,0,0,12.0271,0,12.0271,0,0.0627029,0.192302,3.00161,3.00161,0,1,12.7294,12.7144,10.6376,0.00631225,0.00631225,0.00631225,0.00315612,0.0126245
151,27866.1,1.41684,1.75469,0.01848,0.99984,12.014,0.62558,0.52998,0.57755,0.38614,1.35011,1.50476,0.02165,0,0,12.014,0,12.014,0,0.0626329,0.192635,3.00161,3.00161,0,1,12.6942,12.7231,10.6247,0.0062875,0.0062875,0.0062875,0.00314375,0.012575
152,28048.9,1.42928,1.74713,0.01829,1.00008,11.966,0.62303,0.53262,0.57857,0.38686,1.34992,1.50211,0.02164,0,0,11.966,0,11.966,0,0.0623847,0.191992,3.00161,3.00161,0,1,12.6658,12.6554,10.5768,0.00626275,0.00626275,0.00626275,0.00313138,0.0125255
153,28231.1,1.42428,1.74851,0.01823,0.99993,11.971,0.62442,0.53449,0.57923,0.38739,1.34922,1.50034,0.02164,0,0,11.971,0,11.971,0,0.062415,0.1921,3.00161,3.00161,0,1,12.6601,12.6615,10.5913,0.006238,0.006238,0.006238,0.003119,0.012476
154,28414.4,1.41756,1.73918,0.0184,0.99998,11.989,0.62329,0.53618,0.58053,0.38842,1.3482,1.49837,0.02162,0,0,11.989,0,11.989,0,0.0625095,0.193167,3.00161,3.00161,0,1,12.688,12.6636,10.6153,0.00621325,0.00621325,0.00621325,0.00310662,0.0124265
155,28598.4,1.42904,1.73626,0.0183,0.99999,11.9845,0.62025,0.53885,0.58134,0.38915,1.34717,1.49641,0.02159,0,0,11.9845,0,11.9845,0,0.0624789,0.192296,3.00161,3.00161,0,1,12.665,12.6791,10.6094,0.0061885,0.0061885,0.0061885,0.00309425,0.012377
156,28783.5,1.41864,1.73213,0.01827,0.99998,11.9523,0.62316,0.53838,0.58205,0.38978,1.34594,1.495,0.02157,0,0,11.9523,0,11.9523,0,0.0623132,0.192787,3.00161,3.00161,0,1,12.6487,12.6357,10.5725,0.00616375,0.00616375,0.00616375,0.00308187,0.0123275
157,28968.7,1.41565,1.74421,0.01828,0.99995,11.9639,0.62996,0.53448,0.58246,0.39039,1.34546,1.49245,0.02156,0,0,11.9639,0,11.9639,0,0.0623704,0.192143,3.00161,3.00161,0,1,12.656,12.6504,10.5853,0.006139,0.006139,0.006139,0.0030695,0.012278
158,29151.2,1.41513,1.73392,0.01829,0.99999,11.9437,0.63222,0.53373,0.58333,0.39112,1.34396,1.49186,0.02152,0,0,11.9437,0,11.9437,0,0.0622701,0.19267,3.00161,3.00161,0,1,12.6261,12.6312,10.5737,0.00611425,0.00611425,0.00611425,0.00305712,0.0122285
159,29332.8,1.42267,1.73774,0.01826,1.00008,11.9532,0.6336,0.53475,0.58408,0.39187,1.34399,1.48914,0.02152,0,0,11.9532,0,11.9532,0,0.0623192,0.192131,3.00161,3.00161,0,1,12.6548,12.6443,10.5605,0.0060895,0.0060895,0.0060895,0.00304475,0.012179
160,29515.4,1.4218,1.72759,0.01824,0.99983,11.9385,0.63247,0.53565,0.58483,0.39257,1.34355,1.48697,0.0215,0,0,11.9385,0,11.9385,0,0.0622403,0.192492,3.00161,3.00161,0,1,12.6175,12.6419,10.556,0.00606475,0.00606475,0.00606475,0.00303237,0.0121295
