mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.668,2.674,0.44023,0.19576,0.0,154.7,25.2,0,1.0,0.0
int8,2.266,2.367,0.42379,0.18515,-0.01061,254.1,12.9,578,1.18,15.1
