domain,effective_experts_mean,effective_experts_std,expert,layer,mean_probability_mean,mean_probability_std,n_images,normalized_entropy_mean,normalized_entropy_std,top1_margin_mean,top1_margin_std,top1_share_mean,top1_share_std
higher_occlusion,2.9812074756622313,0.0027858115984944827,DeformableTransformer,model.14.m.0,0.31640408635139466,0.0019857268383126304,25,0.9942797827720642,0.0008506411438148416,0.054034633338451384,0.004323599164027446,0.005775,0.005596804333724737
higher_occlusion,2.9812074756622313,0.0027858115984944827,LocalConvTransformer,model.14.m.0,0.3370374643802643,0.0016593811489531427,25,0.9942797827720642,0.0008506411438148416,0.054034633338451384,0.004323599164027446,0.5039000000000001,0.03880887664246416
higher_occlusion,2.9812074756622313,0.0027858115984944827,WindowTransformer,model.14.m.0,0.34655842542648313,0.0027358745581632614,25,0.9942797827720642,0.0008506411438148416,0.054034633338451384,0.004323599164027446,0.490325,0.03870339939850245
higher_occlusion,2.9980725955963137,0.0005243067201261666,DeformableTransformer,model.14.m.1,0.3375029981136322,0.0010615594702505745,25,0.9994150114059448,0.0001591608795211808,0.013579469807446003,0.0020824758860583004,0.47775000000000006,0.028529498622770554
higher_occlusion,2.9980725955963137,0.0005243067201261666,LocalConvTransformer,model.14.m.1,0.32987529277801514,0.0007311549984179971,25,0.9994150114059448,0.0001591608795211808,0.013579469807446003,0.0020824758860583004,0.12765,0.029781801979844445
higher_occlusion,2.9980725955963137,0.0005243067201261666,WindowTransformer,model.14.m.1,0.33262168526649477,0.0007213393452368478,25,0.9994150114059448,0.0001591608795211808,0.013579469807446003,0.0020824758860583004,0.3946,0.036214458150946656
higher_occlusion,2.9918746089935304,0.0014087524405112292,DeformableTransformer,model.20.m.0,0.3393936896324158,0.0017591289464084572,25,0.9975312256813049,0.00042859980366073794,0.03223908670246601,0.0029279852704723395,0.523425,0.043480239764748296
higher_occlusion,2.9918746089935304,0.0014087524405112292,LocalConvTransformer,model.20.m.0,0.33592487692832945,0.0015672147955994261,25,0.9975312256813049,0.00042859980366073794,0.03223908670246601,0.0029279852704723395,0.430825,0.04706687120027561
higher_occlusion,2.9918746089935304,0.0014087524405112292,WindowTransformer,model.20.m.0,0.3246814119815826,0.00034037568229918294,25,0.9975312256813049,0.00042859980366073794,0.03223908670246601,0.0029279852704723395,0.04575,0.022125794477261148
higher_occlusion,2.999131669998169,0.0002951130918590736,DeformableTransformer,model.20.m.1,0.3376838171482086,0.0013956520761449118,25,0.9997365021705628,8.95698545076806e-05,0.009144071638584137,0.0017150650722725595,0.5111000000000001,0.05969521110748054
higher_occlusion,2.999131669998169,0.0002951130918590736,LocalConvTransformer,model.20.m.1,0.33057460784912107,0.0006616698618872317,25,0.9997365021705628,8.95698545076806e-05,0.009144071638584137,0.0017150650722725595,0.16524999999999998,0.04440140059727846
higher_occlusion,2.999131669998169,0.0002951130918590736,WindowTransformer,model.20.m.1,0.33174156069755556,0.0007539812791406923,25,0.9997365021705628,8.95698545076806e-05,0.009144071638584137,0.0017150650722725595,0.32365,0.046635387582821694
higher_occlusion,3.0,0.0,DeformableTransformer,model.23.m.0,0.3333495056629181,1.4643629210784244e-07,25,1.0,0.0,7.071108906529844e-05,5.9512665210942505e-08,0.0,0.0
higher_occlusion,3.0,0.0,LocalConvTransformer,model.23.m.0,0.3332302486896515,3.3843683163114526e-07,25,1.0,0.0,7.071108906529844e-05,5.9512665210942505e-08,0.0,0.0
higher_occlusion,3.0,0.0,WindowTransformer,model.23.m.0,0.3334202182292938,1.9284965913264297e-07,25,1.0,0.0,7.071108906529844e-05,5.9512665210942505e-08,1.0,0.0
higher_occlusion,3.0,0.0,DeformableTransformer,model.23.m.1,0.3333258843421936,1.7621213792675117e-07,25,1.0,0.0,4.5947413746034726e-05,2.3536522397901352e-07,0.0,0.0
higher_occlusion,3.0,0.0,LocalConvTransformer,model.23.m.1,0.333371821641922,1.297114484687173e-07,25,1.0,0.0,4.5947413746034726e-05,2.3536522397901352e-07,1.0,0.0
higher_occlusion,3.0,0.0,WindowTransformer,model.23.m.1,0.33330228328704836,1.7483746912874821e-07,25,1.0,0.0,4.5947413746034726e-05,2.3536522397901352e-07,0.0,0.0
lower_occlusion,2.9821981716156007,0.0021016150280185894,DeformableTransformer,model.14.m.0,0.3164158225059509,0.001779788233212454,25,0.9945823884010315,0.0006416384620330718,0.05320021733641624,0.0036109369099409415,0.006275,0.00594703182268264
lower_occlusion,2.9821981716156007,0.0021016150280185894,LocalConvTransformer,model.14.m.0,0.33738440871238706,0.0013785074717493325,25,0.9945823884010315,0.0006416384620330718,0.05320021733641624,0.0036109369099409415,0.49689999999999995,0.03376228557256356
lower_occlusion,2.9821981716156007,0.0021016150280185894,WindowTransformer,model.14.m.0,0.34619974613189697,0.0023487737726995434,25,0.9945823884010315,0.0006416384620330718,0.05320021733641624,0.0036109369099409415,0.49682499999999996,0.03450775501608298
lower_occlusion,2.9980015563964844,0.0005565233981670081,DeformableTransformer,model.14.m.1,0.33748876333236694,0.0012422072920154792,25,0.9993934345245361,0.00016896474983207004,0.013863932266831398,0.0021964416099907254,0.48245,0.038386195435338465
lower_occlusion,2.9980015563964844,0.0005565233981670081,LocalConvTransformer,model.14.m.1,0.32995093703269956,0.0006978409285326638,25,0.9993934345245361,0.00016896474983207004,0.013863932266831398,0.0021964416099907254,0.12165000000000001,0.031260352451894506
lower_occlusion,2.9980015563964844,0.0005565233981670081,WindowTransformer,model.14.m.1,0.3325602674484253,0.0007802339105268312,25,0.9993934345245361,0.00016896474983207004,0.013863932266831398,0.0021964416099907254,0.3959,0.05116325229514507
lower_occlusion,2.992011880874634,0.0011466131226471432,DeformableTransformer,model.20.m.0,0.33947705388069155,0.001859709581104854,25,0.9975730180740356,0.0003488361474779532,0.03189595729112625,0.0027236280880526217,0.5406,0.04009894987714765
lower_occlusion,2.992011880874634,0.0011466131226471432,LocalConvTransformer,model.20.m.0,0.3359096848964691,0.0019104835761313294,25,0.9975730180740356,0.0003488361474779532,0.03189595729112625,0.0027236280880526217,0.41150000000000003,0.0392275678997989
lower_occlusion,2.992011880874634,0.0011466131226471432,WindowTransformer,model.20.m.0,0.3246132302284241,0.00026543441935212095,25,0.9975730180740356,0.0003488361474779532,0.03189595729112625,0.0027236280880526217,0.04789999999999999,0.023823816208785695
lower_occlusion,2.999123601913452,0.00036450050351426747,DeformableTransformer,model.20.m.1,0.3373605716228485,0.001621644109076097,25,0.9997340559959411,0.00011062725237892507,0.008794305231422186,0.0018910490760857335,0.47927499999999995,0.07294173973681552
lower_occlusion,2.999123601913452,0.00036450050351426747,LocalConvTransformer,model.20.m.1,0.33067060947418214,0.0007290124116705562,25,0.9997340559959411,0.00011062725237892507,0.008794305231422186,0.0018910490760857335,0.17397500000000002,0.04211524676903444
lower_occlusion,2.999123601913452,0.00036450050351426747,WindowTransformer,model.20.m.1,0.33196879267692564,0.0009106152007184277,25,0.9997340559959411,0.00011062725237892507,0.008794305231422186,0.0018910490760857335,0.34674999999999995,0.050733230501155094
lower_occlusion,3.0,0.0,DeformableTransformer,model.23.m.0,0.3333494997024536,1.1520566906646654e-07,25,1.0,0.0,7.069893617881463e-05,8.83151975986788e-08,0.0,0.0
lower_occlusion,3.0,0.0,LocalConvTransformer,model.23.m.0,0.3332302784919739,2.919410919251074e-07,25,1.0,0.0,7.069893617881463e-05,8.83151975986788e-08,0.0,0.0
lower_occlusion,3.0,0.0,WindowTransformer,model.23.m.0,0.3334202003479004,1.823145552607115e-07,25,1.0,0.0,7.069893617881463e-05,8.83151975986788e-08,1.0,0.0
lower_occlusion,3.0,0.0,DeformableTransformer,model.23.m.1,0.33332586407661435,1.8381051951777068e-07,25,1.0,0.0,4.597117163939401e-05,2.7573186220448654e-07,0.0,0.0
lower_occlusion,3.0,0.0,LocalConvTransformer,model.23.m.1,0.33337182402610777,1.2136292182277258e-07,25,1.0,0.0,4.597117163939401e-05,2.7573186220448654e-07,1.0,0.0
lower_occlusion,3.0,0.0,WindowTransformer,model.23.m.1,0.33330230593681337,1.4268850680506543e-07,25,1.0,0.0,4.597117163939401e-05,2.7573186220448654e-07,0.0,0.0
higher_occlusion,2.995047725041707,0.000518354377338681,DeformableTransformer,all,0.33294333020846045,0.0005276060325655895,25,0.9984937536716462,0.00015807213816201128,0.018185653331626476,0.001174758937683271,0.25300833333333334,0.015260989039322895
higher_occlusion,2.995047725041707,0.000518354377338681,LocalConvTransformer,all,0.33333571871121725,0.0004474265852445384,25,0.9984937536716462,0.00015807213816201128,0.018185653331626476,0.001174758937683271,0.3712708333333333,0.01477184705031086
higher_occlusion,2.995047725041707,0.000518354377338681,WindowTransformer,all,0.333720930814743,0.000493412384862797,25,0.9984937536716462,0.00015807213816201128,0.018185653331626476,0.001174758937683271,0.37572083333333334,0.012763389676339623
lower_occlusion,2.9952225351333617,0.00042570808744292536,DeformableTransformer,all,0.33290292918682096,0.0006454353216393897,25,0.9985471494992574,0.00012979308148267893,0.01797851370560238,0.0010840769342926374,0.2514333333333333,0.017072619014760093
lower_occlusion,2.9952225351333617,0.00042570808744292536,LocalConvTransformer,all,0.33341962377230333,0.00047289039642378573,25,0.9985471494992574,0.00012979308148267893,0.01797851370560238,0.0010840769342926374,0.3673375,0.012382516481302269
lower_occlusion,2.9952225351333617,0.00042570808744292536,WindowTransformer,all,0.3336774237950643,0.0004138455560291598,25,0.9985471494992574,0.00012979308148267893,0.01797851370560238,0.0010840769342926374,0.3812291666666667,0.01532421721952556
