mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.91,2.946,0.57101,0.41272,0.0,160.1,28.5,0,1.0,0.0
int8,2.355,2.36,0.53782,0.38331,-0.0294,493.1,14.5,169,1.24,19.1
