mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.418,2.423,0.59175,0.42858,0.0,163.7,26.2,0,1.0,0.0
int8,2.116,2.12,0.52211,0.37561,-0.05297,788.8,12.4,150,1.14,12.5
