dominant_expert_agreement,jensen_shannon_divergence,layer_index,layer_name,normalized_route_entropy_a,normalized_route_entropy_b,route_entropy_a,route_entropy_b,seed_a,seed_b,token_top1_agreement
1,3.667859048545078e-06,0,model.14.m.0,0.9999419951472358,0.9999777797651032,1.0985485638240606,1.098587877244995,0,1,0.538125
0,5.7389478528628536e-06,1,model.14.m.1,0.9999902329048549,0.999999357958233,1.0986015584173587,1.0986115833131347,0,1,0.256875
0,0.00013529993503677286,2,model.20.m.0,0.9999777035471425,0.9995741712007342,1.0985877935110069,1.0981444679163677,0,1,0.665625
0,3.019162655107664e-07,3,model.20.m.1,0.9999994179069843,0.9999997863075811,1.0986116491735696,1.0986120539029924,0,1,0.281875
1,1.2896110773341068e-10,4,model.23.m.0,0.9999999751335387,0.9999999764478437,1.0986122613495097,1.0986122627934214,0,1,1.0
0,1.3106258655018593e-08,5,model.23.m.1,0.9999999638009817,1.0000000022864601,1.0986122488994234,1.0986122911800429,0,1,0.0
1,1.3534534969601871e-05,0,model.14.m.0,0.9999368384790345,0.9999865914946896,1.098542898645006,1.0985975579194032,0,1,0.434375
0,6.316740836099415e-06,1,model.14.m.1,0.9999871904080299,0.9999997431966715,1.0985982158929586,1.0986120065408174,0,1,0.2
0,0.00019930962501007955,2,model.20.m.0,0.9999743688797793,0.9994287385260759,1.098584130004463,1.0979846937928142,0,1,0.709375
0,2.302350060993274e-07,3,model.20.m.1,0.9999995598450035,0.9999997896237582,1.0986118051084217,1.0986120575461853,0,1,0.309375
1,1.2986506325496647e-10,4,model.23.m.0,0.999999972278911,0.9999999792505943,1.0986122582133808,1.0986122658725577,0,1,1.0
0,1.3042888008113157e-08,5,model.23.m.1,0.9999999611002229,1.000000002265272,1.0986122459323366,1.0986122911567653,0,1,0.0
1,1.016626116438047e-05,0,model.14.m.0,0.999932486342096,0.9999853657309923,1.0985381173338835,1.0985962112803422,0,1,0.4225
0,4.978598473295815e-06,1,model.14.m.1,0.9999902305696755,0.9999996185064257,1.098601555851902,1.098611869554581,0,1,0.18625
0,0.00021543601328465251,2,model.20.m.0,0.9999808383452533,0.9993507448940648,1.0985912374387339,1.097899009030249,0,1,0.708125
0,2.7415062033188517e-07,3,model.20.m.1,0.9999995309060353,0.9999997967339826,1.0986117733157157,1.0986120653575653,0,1,0.3275
1,1.2775305278771885e-10,4,model.23.m.0,0.9999999750798189,0.9999999819307874,1.0986122612904925,1.0986122688170508,0,1,1.0
0,1.304039321500408e-08,5,model.23.m.1,0.9999999637899366,0.9999999995911452,1.0986122488872891,1.0986122882189369,0,1,0.0
1,1.5918453978594482e-05,0,model.14.m.0,0.9999497072069788,0.9999915861198989,1.0985570363876653,1.0986030450760353,0,1,0.448125
0,8.985278778667451e-06,1,model.14.m.1,0.9999891759522189,0.999997108686066,1.0986003972362044,1.0986091122350914,0,1,0.176875
0,8.555098112290643e-05,2,model.20.m.0,0.9999798592674503,0.9996592202985682,1.098590161811828,1.0982379039003882,0,1,0.723125
0,2.676013489916147e-07,3,model.20.m.1,0.9999995002716279,0.9999997778081198,1.0986117396603792,1.0986120445653798,0,1,0.275
1,1.2265356397424873e-10,4,model.23.m.0,0.9999999753079077,0.9999999762192826,1.0986122615410738,1.0986122625423214,0,1,1.0
0,1.3088549708557246e-08,5,model.23.m.1,0.9999999664537793,1.0000000049404392,1.0986122518138195,1.098612294095737,0,1,0.0
1,1.0828848438368226e-05,0,model.14.m.0,0.9999759825891722,0.9999872041402454,1.0985859028454323,1.0985982309793394,0,1,0.5025
0,1.2082600424274167e-05,1,model.14.m.1,0.9999813020774626,0.9999971278872897,1.0985917469006377,1.0986091333297918,0,1,0.139375
0,0.00010351530992355079,2,model.20.m.0,0.9999817255805774,0.9995880118820596,1.0985922121663638,1.0981596734589552,0,1,0.650625
0,2.950823269893654e-07,3,model.20.m.1,0.9999994972136179,0.9999997666516979,1.0986117363008119,1.0986120323087976,0,1,0.26125
1,1.2854940517282954e-10,4,model.23.m.0,0.9999999802500185,0.9999999762945544,1.0986122669705374,1.0986122626250159,0,1,1.0
0,1.312100765192865e-08,5,model.23.m.1,0.9999999610928755,1.0000000022810176,1.0986122459242647,1.0986122911740637,0,1,0.0
1,2.107697230519618e-05,0,model.14.m.0,0.9999005382361748,0.999989397650574,1.0985030187521188,1.0986006407967417,0,1,0.520625
0,1.0754412094337684e-05,1,model.14.m.1,0.9999819412690116,0.9999986308372837,1.0985924491243282,1.0986107844891244,0,1,0.15125
0,0.0001573125776330667,2,model.20.m.0,0.999978987874106,0.9994841425642863,1.0985892044883916,1.098045561350034,0,1,0.724375
1,1.9889005204812315e-07,3,model.20.m.1,0.9999994317608271,0.999999773135305,1.0986116643935715,1.098612039431768,0,1,0.330625
1,1.2642227140622363e-10,4,model.23.m.0,0.9999999745246628,0.9999999761624093,1.0986122606805913,1.0986122624798398,0,1,1.0
0,1.3059614953115527e-08,5,model.23.m.1,0.9999999583989956,1.000000004945348,1.0986122429647351,1.0986122941011298,0,1,0.0
1,8.534025958296693e-06,0,model.14.m.0,0.9999565964741067,0.9999852960398888,1.098564605021192,1.0985961347168396,0,1,0.53875
0,9.863637822445017e-06,1,model.14.m.1,0.9999823950183467,0.9999989100389389,1.0985929476189238,1.0986110912234939,0,1,0.233125
0,0.0001437140898342585,2,model.20.m.0,0.9999812883555405,0.9995101899257616,1.0985917318255654,1.098074177301438,0,1,0.73875
0,2.2720171644774077e-07,3,model.20.m.1,0.9999995755767177,0.9999997923649573,1.0986118223914763,1.0986120605577003,0,1,0.286875
1,1.2890375494514605e-10,4,model.23.m.0,0.9999999748772764,0.9999999815194764,1.098612261067977,1.0986122683651796,0,1,1.0
0,1.3104444851833459e-08,5,model.23.m.1,0.9999999664392977,0.9999999996045332,1.0986122517979098,1.098612288233645,0,1,0.0
1,2.9887307889605067e-06,0,model.14.m.0,0.999965582609936,0.9999822020453812,1.0985744773004416,1.0985927356164524,0,1,0.6
0,7.2508602597966525e-06,1,model.14.m.1,0.9999870119155574,0.9999993329605593,1.098598019798935,1.0986115558503833,0,1,0.14875
0,0.0002572611999593613,2,model.20.m.0,0.9999787956781624,0.9991822706486244,1.098588993339566,1.097713921153884,0,1,0.686875
0,2.7960326720894856e-07,3,model.20.m.1,0.9999996044383965,0.9999997660692409,1.0986118540992713,1.0986120316689032,0,1,0.31375
1,1.3498242944703612e-10,4,model.23.m.0,0.9999999748772764,0.999999976496686,1.098612261067977,1.0986122628470802,0,1,1.0
0,1.3040635091716559e-08,5,model.23.m.1,0.9999999637895247,1.0000000022624052,1.0986122488868366,1.0986122911536158,0,1,0.0
1,1.070620195123544e-06,0,model.14.m.0,0.9999608321937725,0.9999784961177158,1.098569258434868,1.0985886642387783,0,1,0.50375
0,7.106765000350443e-06,1,model.14.m.1,0.9999867067398223,0.9999994918094729,1.098597684529122,1.0986117303637517,0,1,0.16125
0,0.00014111341586592883,2,model.20.m.0,0.9999799758602204,0.9995266507306648,1.0985902899020779,1.098092261343986,0,1,0.75125
1,2.0757218288614768e-07,3,model.20.m.1,0.9999994870759465,0.9999997865716413,1.0986117251634415,1.0986120541930922,0,1,0.389375
1,1.29730130890587e-10,4,model.23.m.0,0.9999999800739857,0.999999973672853,1.0986122667771456,1.0986122597447825,0,1,1.0
0,1.303227437326084e-08,5,model.23.m.1,0.9999999611404253,1.0000000022606395,1.0986122459765035,1.098612291151676,0,1,0.0
1,1.7187505587738772e-05,0,model.14.m.0,0.9998760652700489,0.9999746495212051,1.0984761324507928,1.098584438320582,0,1,0.514375
1,4.19353900789823e-06,1,model.14.m.1,0.9999862194104554,0.9999992826295284,1.098597149143091,1.0986115005560941,0,1,0.231875
1,0.00048276579652528065,2,model.20.m.0,0.9999728605307584,0.9984759343499954,1.098582472913693,1.0969379314162777,0,1,0.725
1,1.928423670454892e-07,3,model.20.m.1,0.9999995572486241,0.9999997919106285,1.0986118022560074,1.0986120600585692,0,1,0.304375
1,1.3805738714031874e-10,4,model.23.m.0,0.9999999721708072,0.9999999742402751,1.0986122580946165,1.0986122603681594,0,1,1.0
0,1.3025765379030192e-08,5,model.23.m.1,0.9999999610559053,0.99999999958749,1.0986122458836487,1.0986122882149212,0,1,0.0
1,8.43945769470419e-06,0,model.14.m.0,0.9999376760500536,0.9999827436255926,1.0985438188108203,1.098593330603128,0,1,0.40625
0,8.7432120732244e-06,1,model.14.m.1,0.9999798001588053,0.9999998115310451,1.098590096874344,1.0986120816137999,0,1,0.251875
0,0.0006962646653396482,2,model.20.m.0,0.9999793087955573,0.9981035898382932,1.0985895570566417,1.0965288691601036,0,1,0.679375
0,2.0892387170364944e-07,3,model.20.m.1,0.9999995882532406,0.9999997920020222,1.0986118363180601,1.0986120601589753,0,1,0.248125
1,1.4726838310596174e-10,4,model.23.m.0,0.9999999775030318,0.9999999744605024,1.098612263952664,1.0986122606101039,0,1,1.0
0,1.3046528660422198e-08,5,model.23.m.1,0.9999999637568899,0.9999999942446015,1.0986122488509837,1.0986122823451583,0,1,0.0
1,2.448205384576372e-06,0,model.14.m.0,0.9999590033375283,0.9999844198987748,1.098567249230924,1.0985951721774452,0,1,0.3975
0,8.254232465961756e-06,1,model.14.m.1,0.9999772134496314,0.9999996017264641,1.0985872550838585,1.098611851119909,0,1,0.274375
0,0.0008189555633602262,2,model.20.m.0,0.9999830352082193,0.9978831554148311,1.0985936509393848,1.0962866971936427,0,1,0.63625
1,1.3928473087548052e-07,3,model.20.m.1,0.9999995870736019,0.9999997822253351,1.0986118350220946,1.0986120494181868,0,1,0.26125
1,1.445081673272238e-10,4,model.23.m.0,0.9999999803175934,0.9999999823130826,1.098612267044776,1.098612269237045,0,1,1.0
0,1.3094364584593574e-08,5,model.23.m.1,0.9999999611002229,0.9999999996107664,1.0986122459323366,1.098612288240493,0,1,0.0
1,7.6009079838541686e-06,0,model.14.m.0,0.999946268516688,0.9999859166663558,1.0985532586002549,1.0985968165447029,0,1,0.52875
0,5.634206521750297e-06,1,model.14.m.1,0.9999843422115297,0.9999997384481703,1.0985950868292829,1.0986120013240555,0,1,0.235
1,0.00047741497651274415,2,model.20.m.0,0.9999765384209285,0.9985208459839074,1.0985865134890302,1.0969872718891978,0,1,0.751875
0,2.27209587084297e-07,3,model.20.m.1,0.9999995768847962,0.9999998074737203,1.0986118238285474,1.098612077156373,0,1,0.25875
1,1.4249768386910162e-10,4,model.23.m.0,0.999999972130154,0.9999999769929455,1.0986122580499544,1.098612263392277,0,1,1.0
0,1.3064146589158098e-08,5,model.23.m.1,0.9999999637201722,0.9999999969207146,1.0986122488106451,1.098612285285169,0,1,0.0
1,2.5181345792596476e-06,0,model.14.m.0,0.9999809836193958,0.9999770553942199,1.098591397038692,1.0985870814422412,0,1,0.364375
1,6.9691531791895005e-06,1,model.14.m.1,0.9999771620350991,0.9999993182605978,1.0985871985992215,1.098611539700825,0,1,0.304375
0,0.0007647618181658034,2,model.20.m.0,0.9999802688701854,0.9980814607982176,1.0985906118064261,1.09650455792474,0,1,0.584375
0,2.5159656866688396e-07,3,model.20.m.1,0.9999995586987496,0.9999997959603367,1.098611803849133,1.0986120645076283,0,1,0.295
1,1.3817754108009836e-10,4,model.23.m.0,0.9999999749585438,0.9999999794588387,1.0986122611572582,1.0986122661013376,0,1,1.0
0,1.2990554616625543e-08,5,model.23.m.1,0.9999999610927447,0.9999999995754407,1.098612245924121,1.0986122882016838,0,1,0.0
1,3.2231492727567864e-06,0,model.14.m.0,0.9999597685934767,0.9999839781647072,1.0985680899505128,1.0985946868829701,0,1,0.48625
1,5.831554782775308e-06,1,model.14.m.1,0.999979724707401,0.9999988672582718,1.0985900139825042,1.0986110442241273,0,1,0.30375
0,0.0006379082924850236,2,model.20.m.0,0.9999774604883716,0.9981919381101396,1.0985875264836542,1.0966259296572367,0,1,0.763125
0,2.555941864342844e-07,3,model.20.m.1,0.9999996135580738,0.9999997882722206,1.0986118641182607,1.0986120560613695,0,1,0.23
1,1.3863927786692118e-10,4,model.23.m.0,0.9999999748908501,0.9999999793415936,1.0986122610828892,1.0986122659725306,0,1,1.0
0,1.303644421990011e-08,5,model.23.m.1,0.9999999584067653,0.9999999995851643,1.098612242973271,1.0986122882123661,0,1,0.0
1,3.966870983924465e-06,0,model.14.m.0,0.9999961990150992,0.9999745226925731,1.0986081128593888,1.0985842989850885,0,1,0.4025
1,4.792414347509175e-06,1,model.14.m.1,0.9999818257944787,0.9999982713410123,1.0985923222625873,1.0986103895421029,0,1,0.33125
0,0.0009024551237871437,2,model.20.m.0,0.999976699522105,0.9977337135487896,1.0985866904767625,1.096122518523168,0,1,0.630625
1,2.0149452360374161e-07,3,model.20.m.1,0.9999994734164502,0.9999998201695752,1.098611710156951,1.0986120911041952,0,1,0.355
1,1.381969716360141e-10,4,model.23.m.0,0.9999999750258225,0.9999999817212604,1.0986122612311715,1.0986122685868618,0,1,1.0
0,1.305084273451236e-08,5,model.23.m.1,0.9999999611327118,0.999999996929133,1.0986122459680294,1.0986122852944176,0,1,0.0
1,7.6009079838541686e-06,0,model.14.m.0,0.999946268516688,0.9999859166663558,1.0985532586002549,1.0985968165447029,0,1,0.52875
0,5.634206521750297e-06,1,model.14.m.1,0.9999843422115297,0.9999997384481703,1.0985950868292829,1.0986120013240555,0,1,0.235
