alpha,bootstrap_ci95_high,bootstrap_ci95_low,comparison_valid,domain_a,domain_b,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,nan,nan,False,irregular_occluded,large_objects,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37624186197916665,0.37966064453125004,0.003418782552083388,top1_share,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,large_objects,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3338686891753847,0.33344877390967065,-0.0004199152657140548,mean_probability,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,large_objects,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3853092447916667,0.37868408203125,-0.006625162760416747,top1_share,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,large_objects,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33334071872135007,0.3333963690092787,5.565028792864357e-05,mean_probability,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,large_objects,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.23844889322916668,0.24165527343749998,0.0032063802083333037,top1_share,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,large_objects,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3327905738648648,0.33315484020082897,0.00036426633596414737,mean_probability,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,large_objects,all_experts,nan,nan,shared_samples_require_paired_or_disjoint_design,0.9985149775942166,0.998592029325664,7.705173144745281e-05,normalized_entropy,128,128,5,nan,0.0390625,False
0.05,nan,nan,False,irregular_occluded,small_objects,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37624186197916665,0.37477701822916665,-0.00146484375,top1_share,128,128,48,nan,0.375,False
0.05,nan,nan,False,irregular_occluded,small_objects,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3338686891753847,0.33359598073487484,-0.0002727084405098612,mean_probability,128,128,48,nan,0.375,False
0.05,nan,nan,False,irregular_occluded,small_objects,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3853092447916667,0.3832210286458333,-0.0020882161458334325,top1_share,128,128,48,nan,0.375,False
0.05,nan,nan,False,irregular_occluded,small_objects,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33334071872135007,0.3333719137202328,3.1194998882710934e-05,mean_probability,128,128,48,nan,0.375,False
0.05,nan,nan,False,irregular_occluded,small_objects,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.23844889322916668,0.242001953125,0.0035530598958333215,top1_share,128,128,48,nan,0.375,False
0.05,nan,nan,False,irregular_occluded,small_objects,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3327905738648648,0.33303208742290735,0.0002415135580425276,mean_probability,128,128,48,nan,0.375,False
0.05,nan,nan,False,irregular_occluded,small_objects,all_experts,nan,nan,shared_samples_require_paired_or_disjoint_design,0.9985149775942166,0.9985654519405216,5.0474346305007245e-05,normalized_entropy,128,128,48,nan,0.375,False
0.05,0.0029240315755207284,-0.00401721191406251,True,irregular_occluded,sparse,LocalConvTransformer,0.7984703059388122,-0.037731240310270135,,0.37624186197916665,0.37570719401041663,-0.0005346679687500133,top1_share,128,128,0,0.7604479104179164,0.0,False
0.05,-0.000546499443589782,-0.0007838235023276796,True,irregular_occluded,sparse,LocalConvTransformer,0.0010497900419916017,-1.346997769967988,,0.3338686891753847,0.33320365931528306,-0.0006650298601016402,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,-0.0011105346679687977,-0.00899108886718743,True,irregular_occluded,sparse,WindowTransformer,0.02519496100779844,-0.31149714448811033,,0.3853092447916667,0.3803206380208333,-0.004988606770833404,top1_share,128,128,0,0.010797840431913617,0.0,True
0.05,0.00025604448649877,3.85556243902574e-05,True,irregular_occluded,sparse,WindowTransformer,0.017321535692861427,0.33493128148943824,,0.33334071872135007,0.3334878294263035,0.0001471107049534348,mean_probability,128,128,0,0.0065986802639472104,0.0,True
0.05,0.01001076253255208,0.0010194905598958492,True,irregular_occluded,sparse,DeformableTransformer,0.03473850684408573,0.2990002357979053,,0.23844889322916668,0.24397216796875004,0.0055232747395833615,top1_share,128,128,0,0.01759648070385923,0.0,True
0.05,0.0006512406020192234,0.00038090856881655143,True,irregular_occluded,sparse,DeformableTransformer,0.0010497900419916017,0.9323120165527136,,0.3327905738648648,0.3333084943393866,0.0005179204745217603,mean_probability,128,128,0,0.0001999600079984003,0.0,True
0.05,0.00013090493545549474,4.4562974168604885e-05,True,irregular_occluded,sparse,all_experts,0.0016796640671865627,0.4994825624055494,,0.9985149775942166,0.9986026333644986,8.765577028202465e-05,normalized_entropy,128,128,0,0.0003999200159968006,0.0,True
0.05,-0.0018462931315104615,-0.007985860188802039,True,large_objects,small_objects,LocalConvTransformer,0.005998800239952009,-0.378654144190393,,0.37966064453125004,0.37477701822916665,-0.004883626302083388,top1_share,128,128,0,0.001999600079984003,0.0,True
0.05,0.0002844506525434913,7.716228719764628e-06,True,large_objects,small_objects,LocalConvTransformer,0.05188962207558488,0.2652799238027729,,0.33344877390967065,0.33359598073487484,0.0001472068252041936,mean_probability,128,128,0,0.03459308138372325,0.0,False
0.05,0.008336669921874967,0.0008501993815103665,True,large_objects,small_objects,WindowTransformer,0.03473850684408573,0.2947548844262128,,0.37868408203125,0.3832210286458333,0.004536946614583315,top1_share,128,128,0,0.018196360727854428,0.0,True
0.05,9.028336789922843e-05,-0.00013559165818147477,True,large_objects,small_objects,WindowTransformer,0.7467874846083414,-0.05316660617872266,,0.3333963690092787,0.3333719137202328,-2.4455289045932638e-05,mean_probability,128,128,0,0.6756648670265947,0.0,False
0.05,0.0047355346679688,-0.0038948771158853986,True,large_objects,small_objects,DeformableTransformer,0.8766246750649869,0.019491650502406234,,0.24165527343749998,0.242001953125,0.00034667968750001776,top1_share,128,128,0,0.876624675064987,0.0,False
0.05,3.196198570855898e-05,-0.0002821429778123288,True,large_objects,small_objects,DeformableTransformer,0.1685262947410518,-0.19142641746244843,,0.33315484020082897,0.33303208742290735,-0.00012275277792161976,mean_probability,128,128,0,0.12037592481503699,0.0,False
0.05,1.6448856331441316e-05,-7.038126156362345e-05,True,large_objects,small_objects,all_experts,0.2840608348918452,-0.1464848248879035,,0.998592029325664,0.9985654519405216,-2.6577385142445564e-05,normalized_entropy,128,128,0,0.22995400919816036,0.0,False
0.05,nan,nan,False,large_objects,sparse,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37966064453125004,0.37570719401041663,-0.003953450520833401,top1_share,128,128,76,nan,0.59375,False
0.05,nan,nan,False,large_objects,sparse,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33344877390967065,0.33320365931528306,-0.00024511459438758543,mean_probability,128,128,76,nan,0.59375,False
0.05,nan,nan,False,large_objects,sparse,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37868408203125,0.3803206380208333,0.0016365559895833437,top1_share,128,128,76,nan,0.59375,False
0.05,nan,nan,False,large_objects,sparse,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3333963690092787,0.3334878294263035,9.146041702479124e-05,mean_probability,128,128,76,nan,0.59375,False
0.05,nan,nan,False,large_objects,sparse,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.24165527343749998,0.24397216796875004,0.0023168945312500577,top1_share,128,128,76,nan,0.59375,False
0.05,nan,nan,False,large_objects,sparse,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33315484020082897,0.3333084943393866,0.0001536541385576129,mean_probability,128,128,76,nan,0.59375,False
0.05,nan,nan,False,large_objects,sparse,all_experts,nan,nan,shared_samples_require_paired_or_disjoint_design,0.998592029325664,0.9986026333644986,1.0604038834571838e-05,normalized_entropy,128,128,76,nan,0.59375,False
0.05,nan,nan,False,small_objects,sparse,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.37477701822916665,0.37570719401041663,0.0009301757812499867,top1_share,128,128,22,nan,0.171875,False
0.05,nan,nan,False,small_objects,sparse,LocalConvTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33359598073487484,0.33320365931528306,-0.000392321419591779,mean_probability,128,128,22,nan,0.171875,False
0.05,nan,nan,False,small_objects,sparse,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3832210286458333,0.3803206380208333,-0.002900390624999971,top1_share,128,128,22,nan,0.171875,False
0.05,nan,nan,False,small_objects,sparse,WindowTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.3333719137202328,0.3334878294263035,0.00011591570607072388,mean_probability,128,128,22,nan,0.171875,False
0.05,nan,nan,False,small_objects,sparse,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.242001953125,0.24397216796875004,0.00197021484375004,top1_share,128,128,22,nan,0.171875,False
0.05,nan,nan,False,small_objects,sparse,DeformableTransformer,nan,nan,shared_samples_require_paired_or_disjoint_design,0.33303208742290735,0.3333084943393866,0.00027640691647923266,mean_probability,128,128,22,nan,0.171875,False
0.05,nan,nan,False,small_objects,sparse,all_experts,nan,nan,shared_samples_require_paired_or_disjoint_design,0.9985654519405216,0.9986026333644986,3.71814239770174e-05,normalized_entropy,128,128,22,nan,0.171875,False
