seed,event_count,opportunity_count,nontrivial_action_count,images_E0_better,images_E1_better,images_tie,best_fixed_expert,mean_F1_E0,mean_F1_E1,mean_F1_oracle,mean_F1_oracle_minus_best_fixed,oracle_new17_AP,best_fixed_new17_AP,oracle_minus_best_fixed_new17_AP,oracle_overall65_AP,best_fixed_overall65_AP,oracle_minus_best_fixed_overall65_AP
0,5000,1277,555,722,555,3723,0,0.5611042501079057,0.5457066281106595,0.5781666352134607,0.017062385105555022,0.2802825652632794,0.278345013834094,0.0019375514291853912,0.27880109535577974,0.27697102245135524,0.0018300729044244957
1,5000,1227,570,657,570,3773,0,0.5725134226031549,0.561146292028783,0.5873666313384509,0.014853208735296053,0.3055835259502345,0.30721518190845915,-0.0016316559582246204,0.28710076899735526,0.2861303099675848,0.000970459029770443
2,5000,1145,584,561,584,3855,0,0.5625038272303396,0.5582214288764011,0.5798730845353303,0.017369257304990615,0.28832262629596916,0.28314185121346863,0.005180775082500533,0.27927626756394364,0.2761217145821458,0.0031545529817978424
