seed,contrast,subset,metric,point_delta,bootstrap_mean,bootstrap_p2_5,bootstrap_p50,bootstrap_p97_5,bootstrap_positive_fraction,bootstrap_replicates
0,GZ-T,new17,AP,-0.00011739407306721183,-0.00012206232061938626,-0.00020693063731968832,-0.00011923362154364625,-4.905278966955973e-05,0.003,1000
0,GZ-T,new17,AP50,-0.0001372329290448837,-0.0001381987705189095,-0.00025590813241985617,-0.00013322524721781637,-4.83016712688772e-05,0.002,1000
0,GW-T,new17,AP,-0.0006864011834511463,-0.0006194075280715372,-0.0008458915036962222,-0.0006175071318693104,-0.00042254225523224585,0.0,1000
0,GW-T,new17,AP50,-0.0008444223811415741,-0.0007972939569941753,-0.001063720234527775,-0.0007937565739374597,-0.0005553323322190357,0.0,1000
0,E1-E0,new17,AP,-0.01874703872052469,-0.01870475254689535,-0.022367952802169962,-0.018716078647837114,-0.01507190350724504,0.0,1000
0,E1-E0,new17,AP50,-0.022314112984728185,-0.022226524955764843,-0.026845292187037222,-0.022196527725340115,-0.017562773165009378,0.0,1000
0,FT-T,new17,AP,-0.01874703943381978,-0.018704753262679993,-0.022367953366292926,-0.018716078977395967,-0.01507190884667702,0.0,1000
0,FT-T,new17,AP50,-0.02231411558267704,-0.022226526496618947,-0.026845292187037222,-0.022196527725340115,-0.017562773165009378,0.0,1000
0,intFZ,new17,AP,-6.406920599139054e-05,-6.124281003212712e-05,-0.00018157135039805484,-5.6844826452184805e-05,4.99873706774831e-05,0.157,1000
0,intFW,new17,AP,-0.00021069457867722852,-0.00027426022807445355,-0.0005321788862551316,-0.00027178241661665603,-1.9514932922172504e-05,0.016,1000
1,GZ-T,new17,AP,0.00025599475062121346,0.00026550839857771605,0.0001647337244211261,0.00026303311689798714,0.00038938001506877705,1.0,1000
1,GZ-T,new17,AP50,0.00031935293617652016,0.0003337658881266458,0.00020742722937274887,0.00032801394049661314,0.00048464484889888516,1.0,1000
1,GW-T,new17,AP,-0.0011978234845805846,-0.0013735980378893266,-0.0017379857103518499,-0.001365789025044306,-0.0010510634580986904,0.0,1000
1,GW-T,new17,AP50,-0.0015117613138850294,-0.0016923932266352927,-0.002107727485998273,-0.0016845299937081615,-0.0013034739170339942,0.0,1000
1,E1-E0,new17,AP,-0.02366841912656814,-0.024365460152149132,-0.029730256923367827,-0.024272431061129918,-0.019930031597560998,0.0,1000
1,E1-E0,new17,AP50,-0.027047817797272444,-0.027784889710711694,-0.034258992490439386,-0.027662590502163853,-0.022372822388401097,0.0,1000
1,FT-T,new17,AP,0.023648352483007395,0.024345247036796577,0.01992965331505877,0.024244055171591478,0.029692793968854346,1.0,1000
1,FT-T,new17,AP50,0.02701910874869906,0.02775230810928843,0.02234100822740819,0.027631926565110154,0.03423011215798927,1.0,1000
1,intFZ,new17,AP,-9.739603732739077e-05,-0.00010532462659739766,-0.0002590309727234827,-0.00010620587693382921,4.134110374421905e-05,0.082,1000
1,intFW,new17,AP,0.0003892975864105974,0.0004887749195287441,-3.198949306364856e-05,0.0004948555361864448,0.0009583439316314071,0.967,1000
2,GZ-T,new17,AP,0.0002053377873647566,0.00021450879529987132,0.00013375594270663844,0.00021045060664703907,0.00031585421953773393,1.0,1000
2,GZ-T,new17,AP50,0.00030959262365420903,0.00028498365345334405,0.00017480530944093825,0.00028146675887721906,0.00042332870557007507,1.0,1000
2,GW-T,new17,AP,-0.00022146831403935252,-0.00020248863331678475,-0.00037992350533031514,-0.00019629997353098894,-6.756054158700842e-05,0.005,1000
2,GW-T,new17,AP50,-0.00029340911533254355,-0.00022074913726339524,-0.0004608933160451092,-0.00020606258429944901,-2.4840363125037966e-05,0.018,1000
2,E1-E0,new17,AP,-0.006843306690216877,-0.0073324519608692655,-0.011090598071511738,-0.00724450591469164,-0.0039283745902270436,0.0,1000
2,E1-E0,new17,AP50,-0.007224734367096863,-0.00800766956915864,-0.012655205678746782,-0.007978497216182157,-0.0038967092984757315,0.0,1000
2,FT-T,new17,AP,0.006843306690216877,0.0073324519608692655,0.0039283745902270436,0.00724450591469164,0.011090598071511736,1.0,1000
2,FT-T,new17,AP50,0.007224734367096863,0.00800766956915864,0.003896709298475731,0.007978497216182157,0.01265520567874678,1.0,1000
2,intFZ,new17,AP,1.0058654030531411e-05,-2.8181808880461956e-06,-0.0001458526774414534,-4.4233129937731874e-06,0.00013502670126531308,0.469,1000
2,intFW,new17,AP,8.149837334581189e-05,6.195833641917631e-05,-0.00010867534466858924,5.8378692547378375e-05,0.00025979569462118154,0.77,1000
