seed,condition,provenance,images,new17_AP,new17_AP50,base48_AP,overall65_AP,expert0_count,expert1_count,wall_time_seconds,throughput_images_per_second,peak_allocated_mib,cold_first_image_seconds,warm_count,warm_p50_seconds,warm_p95_seconds,warm_p99_seconds,latency_scope
0,E0,direct_evaluation,5000,0.278345013834094,0.4062976498495586,0.27648440050330203,0.27697102245135524,5000,0,69.37621466303244,72.07081020902517,122.5068359375,1.278184805996716,4999,0.01244405610486865,0.013778601400554178,0.0212492410838604,experimental_observation_only_no_exclusive_window
0,E1,direct_evaluation,5000,0.2595979751135693,0.3839835368648304,0.2693901212885685,0.2668290984427995,0,5000,68.45134752895683,73.04458101259235,122.5068359375,0.7622682061046362,4999,0.012480697128921747,0.013675439497455952,0.014408810175955286,experimental_observation_only_no_exclusive_window
0,FW,direct_evaluation,5000,0.25870087893399296,0.38282346188028843,0.26914532057113827,0.26641369737373094,2,4998,70.51824520016089,70.90363615554904,122.5068359375,0.7555566253140569,4999,0.01289112912490964,0.01410452015697956,0.014854616150259967,experimental_observation_only_no_exclusive_window
0,FZ,direct_evaluation,5000,0.25941651141706273,0.3837552439281363,0.2693040226921027,0.26671805820478456,2,4998,71.63298565987498,69.80024570999748,122.5068359375,1.297304708044976,4999,0.01293658372014761,0.014205541694536805,0.015496445028111311,experimental_observation_only_no_exclusive_window
0,GW,direct_evaluation,5000,0.27765861294648997,0.40545322896367303,0.2763985768812832,0.2767281247752604,4998,2,69.52407849021256,71.91752999220103,122.5068359375,0.7540597887709737,4999,0.01268873130902648,0.01392070772126317,0.014776583136990663,experimental_observation_only_no_exclusive_window
0,GZ,direct_evaluation,5000,0.2782276200568739,0.4061604184157697,0.2764983940274253,0.2769506531428195,4998,2,70.05266010994092,71.37487701613301,122.5068359375,0.7496110866777599,4999,0.01279428694397211,0.014017306827008724,0.014718016330152744,experimental_observation_only_no_exclusive_window
0,T,direct_evaluation,5000,0.2783450141299411,0.4062976513448146,0.2765220518268953,0.2769988265830765,4998,2,68.23424678435549,73.27698678644141,122.5068359375,0.760500802192837,4999,0.012434445787221193,0.013652505446225403,0.014347589798271653,experimental_observation_only_no_exclusive_window
0,T_NATIVE,direct_evaluation,5000,0.2783450141299411,0.4062976513448146,0.2765220518268953,0.2769988265830765,4998,2,67.84590300731361,73.69641759298293,122.5087890625,0.7523609711788595,4999,0.012366666924208403,0.013573096180334688,0.014305946445092558,experimental_observation_only_no_exclusive_window
1,E0,direct_evaluation,5000,0.30721518190845915,0.4406400851031727,0.2786627511551919,0.2861303099675848,5000,0,67.00627238536254,74.61987993070699,122.5068359375,0.7522451090626419,4999,0.012208329048007727,0.013399642286822201,0.01409722892567515,experimental_observation_only_no_exclusive_window
1,E1,direct_evaluation,5000,0.283546762781891,0.41359226730590026,0.27471474421227254,0.2770246567612497,0,5000,67.48998234933242,74.08506901246,122.5068359375,0.7571504539810121,4999,0.012310999911278486,0.01353015792556107,0.014273674311116336,experimental_observation_only_no_exclusive_window
1,FW,direct_evaluation,5000,0.3063957579451665,0.43985521884657003,0.27827668331749766,0.2856309028355033,4993,7,69.52422910602763,71.91737419158969,122.5068359375,0.7490016361698508,4999,0.012687046546489,0.0139037084300071,0.014614828946068881,experimental_observation_only_no_exclusive_window
1,FZ,direct_evaluation,5000,0.3073628825566303,0.44082704035628406,0.2786245905445947,0.28614075922466553,4993,7,70.26955697918311,71.15456842116163,122.5068359375,0.7617945610545576,4999,0.012840412091463804,0.014048594282940027,0.01478452656418085,experimental_observation_only_no_exclusive_window
1,GW,direct_evaluation,5000,0.2823581078757485,0.41209385505339924,0.27455803896696057,0.27659805698925893,7,4993,69.66066607274115,71.77651724976178,122.5068359375,0.7488722349517047,4999,0.012717605102807283,0.013921441370621322,0.014662298122420899,experimental_observation_only_no_exclusive_window
1,GZ,direct_evaluation,5000,0.2838119261109503,0.4139249693034608,0.2749378867260128,0.2772587893343811,7,4993,69.45274772401899,71.99139218894919,122.5068359375,0.7438021870329976,4999,0.012685526628047228,0.013889900874346493,0.014631682736799118,experimental_observation_only_no_exclusive_window
1,T,direct_evaluation,5000,0.2835559313603291,0.41360561636728427,0.2747838288454869,0.27707807104167637,7,4993,68.21344839083031,73.29932906121972,122.5068359375,0.7460788171738386,4999,0.01244889385998249,0.013654298288747667,0.014366331370547407,experimental_observation_only_no_exclusive_window
1,T_NATIVE,direct_evaluation,5000,0.2835559313603291,0.41360561636728427,0.2747838288454869,0.27707807104167637,7,4993,68.01633871998638,73.51174870767876,122.5087890625,0.7449171431362629,4999,0.012417496182024479,0.013621412590146065,0.014333307063207028,experimental_observation_only_no_exclusive_window
2,E0,direct_evaluation,5000,0.28314185121346863,0.4125348359105225,0.27363541619188564,0.2761217145821458,5000,0,68.06206124275923,73.46236521057352,122.5068359375,0.7486259727738798,4999,0.012421458959579468,0.013628470571711659,0.014311654092743993,experimental_observation_only_no_exclusive_window
2,E1,direct_evaluation,5000,0.27629854452325175,0.4053101015434256,0.2726464105283472,0.2736015840347068,0,5000,68.92065127799287,72.54719604770415,122.5068359375,0.757207331713289,4999,0.012571003753691912,0.013796695414930582,0.014476925618946547,experimental_observation_only_no_exclusive_window
2,FW,direct_evaluation,5000,0.2830018812727751,0.4123481301752212,0.2735868646437822,0.2760492536082881,5000,0,70.06406127195805,71.36326255185503,122.5068359375,0.7479222291149199,4999,0.012815107125788927,0.01401163670234382,0.014741849675774573,experimental_observation_only_no_exclusive_window
2,FZ,direct_evaluation,5000,0.2833572476548639,0.41272820104657915,0.2736849126548453,0.27621460027023476,5000,0,70.11503610108048,71.31138024077762,122.5068359375,0.7594480840489268,4999,0.012804916128516197,0.014033387042582033,0.014683670159429311,experimental_observation_only_no_exclusive_window
2,GW,direct_evaluation,5000,0.2760770762092124,0.4050166924280931,0.2726163662352952,0.27352147499770435,0,5000,70.7026296807453,70.71872747275859,122.5068359375,1.2870318070054054,4999,0.012789638247340918,0.014038339117541909,0.014971604347229002,experimental_observation_only_no_exclusive_window
2,GZ,direct_evaluation,5000,0.2765038823106165,0.4056196941670798,0.27268082817831146,0.27368070387445276,0,5000,69.73076272243634,71.70436411118183,122.5068359375,0.7490171799436212,4999,0.012731997296214104,0.013948218477889894,0.014692074367776512,experimental_observation_only_no_exclusive_window
