epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
22,4139.83,1.6656,2.47465,0.02283,0.99724,15.646,0.38475,0.34995,0.31093,0.17793,1.65732,2.20663,0.02893,0,0,15.646,0,15.646,0,0.0732464,0.193065,3.34277,3.34277,0,1,0.00948025,0.00948025,0.00948025,0.00474013,0.0189605
23,4326.15,1.65484,2.44376,0.02269,0.99729,15.5381,0.42327,0.34489,0.32301,0.18627,1.65468,2.18736,0.02882,0,0,15.538,0,15.538,0,0.0727421,0.193675,3.34277,3.34277,0,1,0.0094555,0.0094555,0.0094555,0.00472775,0.018911
24,4511.86,1.65349,2.41996,0.02264,0.99741,15.5235,0.42461,0.3615,0.34193,0.19985,1.63739,2.12369,0.02839,0,0,15.5235,0,15.5235,0,0.0726682,0.194699,3.34277,3.34277,0,1,0.00943075,0.00943075,0.00943075,0.00471537,0.0188615
25,4696.39,1.63853,2.39011,0.02253,0.99729,15.5139,0.42343,0.36489,0.34053,0.20153,1.61547,2.13429,0.02798,0,0,15.5139,0,15.5139,0,0.0726247,0.197106,3.34277,3.34277,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
26,4880.2,1.6423,2.38731,0.02242,0.99757,15.3722,0.44381,0.3672,0.35022,0.20572,1.62811,2.104,0.02821,0,0,15.3722,0,15.3722,0,0.0719622,0.195266,3.34277,3.34277,0,1,0.00938125,0.00938125,0.00938125,0.00469063,0.0187625
27,5065.99,1.63165,2.35401,0.0222,0.99795,15.3514,0.45892,0.36579,0.36381,0.21633,1.61583,2.05371,0.02793,0,0,15.3513,0,15.3513,0,0.0718677,0.197304,3.34277,3.34277,0,1,0.0093565,0.0093565,0.0093565,0.00467825,0.018713
28,5250.64,1.62829,2.35071,0.02221,0.99799,15.3023,0.43676,0.38155,0.37023,0.22234,1.5945,2.04004,0.02747,0,0,15.3023,0,15.3023,0,0.071633,0.19709,3.34277,3.34277,0,1,0.00933175,0.00933175,0.00933175,0.00466587,0.0186635
29,5436.03,1.62849,2.33065,0.02207,0.99802,15.2558,0.45555,0.38386,0.3754,0.22533,1.59023,2.0326,0.02724,0,0,15.2558,0,15.2558,0,0.071415,0.197571,3.34277,3.34277,0,1,0.009307,0.009307,0.009307,0.0046535,0.018614
30,5621.51,1.61383,2.32379,0.02198,0.99796,15.2374,0.46525,0.39164,0.38641,0.23271,1.5676,2.00389,0.02687,0,0,15.2374,0,15.2374,0,0.0713379,0.198411,3.34277,3.34277,0,1,0.00928225,0.00928225,0.00928225,0.00464113,0.0185645
31,5806.56,1.61472,2.30679,0.02181,0.99818,15.1718,0.46669,0.40862,0.39315,0.2375,1.56218,1.96644,0.02678,0,0,15.1718,0,15.1718,0,0.0710259,0.198345,3.34277,3.34277,0,1,0.0092575,0.0092575,0.0092575,0.00462875,0.018515
