epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,40.2232,5.2223,5.6788,4.5361,3,0,0,0,0,5.86206,5.48537,4.16034,0,0.000232195,0.000232195,0.000232195,0.000116098,0.00046439
2,61.713,5.14285,5.43775,4.24551,2.99005,0,0,0,0,5.86172,5.50245,4.18474,0,0.000315031,0.000315031,0.000315031,0.000157515,0.000630061
3,81.0912,4.75892,4.93135,3.85382,2.65778,2e-05,0.00015,0,0,5.62046,5.47204,4.0906,0,0.000240786,0.000240786,0.000240786,0.000120393,0.000481573
