mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.668,2.685,0.44051,0.19594,0.0,155.7,25.5,0,1.0,0.0
int8,2.271,2.277,0.41175,0.17674,-0.01919,511.6,13.1,169,1.17,14.9
