analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison,expert,fdr_q_value,layer,mean_diff_high_minus_low,mean_high,mean_low,metric,n_pairs,n_sequences,paired_hedges_g,permutation_p_value_two_sided,significant_after_fdr
video_sequence,0.003636969204022174,0.0014882584107781748,True,occlusion_0_to_1+,DeformableTransformer,0.0009816218574466924,model.14.m.0,0.002591501646364361,0.30485768132773927,0.3022661796813749,inside_probability,12296,76,0.5296260367692602,0.0001999600079984003,True
video_sequence,0.0011215115952066279,-0.0007513050547914115,False,occlusion_0_to_1+,DeformableTransformer,1.0,model.14.m.0,8.159146114579207e-05,0.0016319230997913117,0.0015503316386455198,inside_top1_share,12296,76,0.019554568994530813,0.8904219156168767,False
video_sequence,0.0027003898332608666,0.0005853049437186005,True,occlusion_0_to_1+,DeformableTransformer,0.0047240551889622074,model.14.m.0,0.001696549987375706,-0.0031369754119815805,-0.004833525399357286,inside_minus_ring_probability,12296,76,0.3543159055215645,0.0013997200559888023,True
video_sequence,0.009682490636826685,0.004095952274894504,True,occlusion_0_to_1+,LocalConvTransformer,0.0009816218574466924,model.14.m.0,0.006932201004678833,0.3340016976100517,0.3270694966053729,inside_probability,12296,76,0.5487183368292456,0.0001999600079984003,True
video_sequence,0.10358742717203348,0.04425399843712919,True,occlusion_0_to_1+,LocalConvTransformer,0.0009816218574466924,model.14.m.0,0.07449263261751436,0.45687354245864115,0.3823809098411268,inside_top1_share,12296,76,0.5519947317492275,0.0001999600079984003,True
video_sequence,0.005388260072669735,0.0010212414889893401,True,occlusion_0_to_1+,LocalConvTransformer,0.01295740851829634,model.14.m.0,0.0032293838372844086,-0.001803089767358539,-0.005032473604642948,inside_minus_ring_probability,12296,76,0.3234823268786299,0.004799040191961607,True
video_sequence,-0.005738615755445269,-0.01303413451394696,True,occlusion_0_to_1+,WindowTransformer,0.0016612062202944027,model.14.m.0,-0.009523703401260056,0.3611406204274655,0.3706643238287255,inside_probability,12296,76,-0.5834400580779503,0.0003999200159968006,True
video_sequence,-0.04545675945711273,-0.1059834826385382,True,occlusion_0_to_1+,WindowTransformer,0.0009816218574466924,model.14.m.0,-0.0745742232170209,0.5414945370412095,0.6160687602582305,inside_top1_share,12296,76,-0.5565763746160944,0.0001999600079984003,True
video_sequence,-0.0018303424072942608,-0.007743887251195435,True,occlusion_0_to_1+,WindowTransformer,0.00599880023995201,model.14.m.0,-0.004925933269096152,0.0049400659936652295,0.009865999262761384,inside_minus_ring_probability,12296,76,-0.3729227492000578,0.001999600079984003,True
video_sequence,0.0020791125767055216,0.0001737088646840501,True,occlusion_0_to_1+,DeformableTransformer,0.0674865026994601,model.14.m.1,0.001050224279586149,0.3520698676324501,0.351019643352864,inside_probability,12296,76,0.24460690638028904,0.029394121175764846,False
video_sequence,0.0595364562840538,-0.0029730500625743143,False,occlusion_0_to_1+,DeformableTransformer,0.17507926986031364,model.14.m.1,0.02774740940571743,0.675151837517905,0.6474044281121875,inside_top1_share,12296,76,0.1958735595467158,0.09078184363127374,False
video_sequence,0.0003212241856583492,-0.0007451027402065434,False,occlusion_0_to_1+,DeformableTransformer,0.7547413594204235,model.14.m.1,-0.0001753999446665404,0.0019330393438006597,0.0021084392884672004,inside_minus_ring_probability,12296,76,-0.0704188318020103,0.5450909818036392,False
video_sequence,-6.793716297989951e-05,-0.001179815148169311,True,occlusion_0_to_1+,LocalConvTransformer,0.0674865026994601,model.14.m.1,-0.0006184967503747833,0.330366121763658,0.33098461851403277,inside_probability,12296,76,-0.24628360287599363,0.029994001199760048,False
video_sequence,0.013933541374885021,-0.05394193601535903,False,occlusion_0_to_1+,LocalConvTransformer,0.4227036945552066,model.14.m.1,-0.020066009145779114,0.28094436883573687,0.3010103779815159,inside_top1_share,12296,76,-0.13146547235842174,0.26614677064587083,False
video_sequence,0.00031508175806622697,-0.0005462994294403396,False,occlusion_0_to_1+,LocalConvTransformer,0.8044391121775645,model.14.m.1,-0.0001214664116813075,0.0004632093175780207,0.0005846757292593282,inside_minus_ring_probability,12296,76,-0.06208208315415581,0.595880823835233,False
video_sequence,3.4579932799576156e-05,-0.0009941409620261698,False,occlusion_0_to_1+,WindowTransformer,0.1779781974639555,model.14.m.1,-0.00043172834842656574,0.3175640081696338,0.3179957365180604,inside_probability,12296,76,-0.18505617229845495,0.09558088382323535,False
video_sequence,-0.0004635911189215632,-0.016593518457382838,True,occlusion_0_to_1+,WindowTransformer,0.1229292603017858,model.14.m.1,-0.007681400646142538,0.04390379541764757,0.0515851960637901,inside_top1_share,12296,76,-0.2122492619561829,0.0591881623675265,False
video_sequence,0.0007032137544713755,-5.348820069228047e-05,False,occlusion_0_to_1+,WindowTransformer,0.24655068986202758,model.14.m.1,0.0002968620715971339,-0.0023962528577480937,-0.0026931149293452274,inside_minus_ring_probability,12296,76,0.17401540151384176,0.13697260547890422,False
