mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.962,3.471,0.33862,0.19866,0.0,144.2,26.6,0,1.0,0.0
int8,2.358,2.911,0.19258,0.10226,-0.0964,640.9,13.5,195,1.26,20.4
