mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.396,2.741,0.59176,0.42859,0.0,150.2,26.3,0,1.0,0.0
int8,2.022,2.054,0.43546,0.29953,-0.12906,594.6,12.6,150,1.18,15.6
