layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.2/m.0/cv1/conv/Conv,Conv,/model.2/m.0/cv1/conv/Conv_output_0,12.9683,6.2196,2.085,2.5,2.7272
/model.8/m.0/m.0.0/Add_1,Add,/model.8/m.0/m.0.0/Add_1_output_0,9.8573,6.2861,1.568,4.2,2.7014
/model.3/m.0/cv2/act/Mul,Mul,/model.3/m.0/cv2/act/Mul_output_0,8.6862,4.651,1.868,2.9,2.6703
/model.8/m.1/m.1.1/Add,Add,/model.8/m.1/m.1.1/Add_output_0,13.579,7.4656,1.819,2.9,2.6154
/model.25/cv3.1/cv3.1.2/Conv,Conv,/model.25/cv3.1/cv3.1.2/Conv_output_0,40.7229,19.1468,2.127,2.1,2.6005
/model.8/m.1/m.1.0/Add_1,Add,/model.8/m.1/m.1.0/Add_1_output_0,11.1214,6.4953,1.712,3.2,2.5904
/model.5/m.0/cv1/act/Mul,Mul,/model.5/m.0/cv1/act/Mul_output_0,4.2464,2.1474,1.977,2.6,2.5897
/model.5/m.0/cv2/act/Mul,Mul,/model.5/m.0/cv2/act/Mul_output_0,5.255,3.3928,1.549,3.7,2.4975
/model.5/m.0/Add,Add,/model.5/m.0/Add_output_0,5.4578,3.6968,1.476,3.9,2.4401
/model.3/m.0/Add,Add,/model.3/m.0/Add_output_0,10.4245,6.3148,1.651,3.0,2.4165
/model.8/m.0/m.0.0/attn/MatMul,MatMul,/model.8/m.0/m.0.0/attn/MatMul_output_0,54.1025,22.8462,2.368,1.5,2.3498
/model.18/m.0/m/m.0/cv1/conv/Conv,Conv,/model.18/m.0/m/m.0/cv1/conv/Conv_output_0,4.8544,2.551,1.903,2.2,2.3143
/model.8/m.0/m.0.1/attn/MatMul,MatMul,/model.8/m.0/m.0.1/attn/MatMul_output_0,134.8157,57.4002,2.349,1.4,2.2912
/model.8/m.0/m.0.0/attn/Mul,Mul,/model.8/m.0/m.0.0/attn/Mul_output_0,9.5641,4.0387,2.368,1.5,2.2672
/model.8/m.0/m.0.1/attn/Mul,Mul,/model.8/m.0/m.0.1/attn/Mul_output_0,23.8323,10.147,2.349,1.4,2.2062
/model.5/m.0/cv2/conv/Conv,Conv,/model.5/m.0/cv2/conv/Conv_output_0,5.7061,3.5339,1.615,2.6,2.1836
/model.6/routing/router/router.3/Conv,Conv,/model.6/routing/router/router.3/Conv_output_0,1.6478,1.0444,1.578,2.8,2.1536
/model.5/m.0/cv1/conv/Conv,Conv,/model.5/m.0/cv1/conv/Conv_output_0,4.3038,2.4261,1.774,2.2,2.1496
/model.3/m.0/cv1/act/Mul,Mul,/model.3/m.0/cv1/act/Mul_output_0,7.609,4.7093,1.616,2.4,2.0879
/model.25/cv3.0/cv3.0.2/Conv,Conv,/model.25/cv3.0/cv3.0.2/Conv_output_0,34.3534,18.4525,1.862,1.8,2.0814
/model.25/cv3.2/cv3.2.2/Conv,Conv,/model.25/cv3.2/cv3.2.2/Conv_output_0,30.0682,17.8826,1.681,2.1,2.0643
/model.18/m.0/cv1/act/Mul,Mul,/model.18/m.0/cv1/act/Mul_output_0,0.8689,0.7457,1.165,4.4,2.007
/model.8/m.0/m.0.1/attn/MatMul_1,MatMul,/model.8/m.0/m.0.1/attn/MatMul_1_output_0,8.2776,4.0749,2.031,1.5,1.9889
/model.3/m.0/cv1/conv/Conv,Conv,/model.3/m.0/cv1/conv/Conv_output_0,7.6128,4.7991,1.586,2.1,1.9044
/model.8/m.0/m.0.0/attn/MatMul_1,MatMul,/model.8/m.0/m.0.0/attn/MatMul_1_output_0,6.5403,3.9342,1.662,1.8,1.8025
/model.12/routing/router/router.3/Conv,Conv,/model.12/routing/router/router.3/Conv_output_0,3.1581,2.0647,1.53,1.1,1.1974
