seed,comparison_type,a_key,b_key,metric,field,old_value,new_value,delta_new_minus_old,note
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,ci_low,-0.00022034253274427762,-0.0003805501100694886,-0.00016020757732521096,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,ci_high,4.945420379295906e-05,1.889504384999796e-05,-3.05591599429611e-05,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP,prob_gt_0,0.139,0.034,-0.10500000000000001,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,point_official,-0.00020738766520950191,-0.00020738766520950191,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,mean_bootstrap,-0.00010740703932360226,-0.00028415382494858366,-0.0001767467856249814,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,ci_low,-0.00031620741887611326,-0.0005062624600137289,-0.00019005504113761562,CI sign changed: old(0) new(-)
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,ci_high,9.582689953041568e-05,-5.681245543304181e-05,-0.00015263935496345749,CI sign changed: old(0) new(-)
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__zero,AP50,prob_gt_0,0.156,0.014,-0.142,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP,point_official,0.0013533307457855304,0.0013533307457855304,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP,mean_bootstrap,0.0006179579182901256,0.0014163069216646758,0.0007983490033745502,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP,ci_low,0.0004425602399711903,0.0011129922390821223,0.000670431999110932,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP,ci_high,0.000876222699395468,0.0017570751798154927,0.0008808524804200246,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP,prob_gt_0,1.0,1.0,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP50,point_official,0.0016417541121635515,0.0016417541121635515,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP50,mean_bootstrap,0.0007534945166797832,0.0017036956326265242,0.0009502011159467409,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP50,ci_low,0.0005032595613336521,0.0013164683135100663,0.0008132087521764142,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP50,ci_high,0.0010469291139844072,0.0021114101995489687,0.0010644810855645614,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__true-new17,seed1__true-text__wrong-new,AP50,prob_gt_0,1.0,1.0,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP,point_official,0.0015424499650262824,0.0015424499650262824,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP,mean_bootstrap,0.0006974312132112046,0.0016170507304049335,0.0009196195171937288,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP,ci_low,0.0004677857003466124,0.0012542547745571508,0.0007864690742105385,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP,ci_high,0.0009803634989669352,0.002017254400857482,0.001036890901890547,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP,prob_gt_0,1.0,1.0,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP50,point_official,0.0018491417773730534,0.0018491417773730534,0.0,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP50,mean_bootstrap,0.0008609015560033859,0.0019878494575751057,0.0011269479015717197,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP50,ci_low,0.0005471951828473209,0.0015378382943201374,0.0009906431114728165,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP50,ci_high,0.0012124445302046927,0.0024592302288636847,0.001246785698658992,
seed1,text_counterfactual_same_checkpoint,seed1__true-text__zero,seed1__true-text__wrong-new,AP50,prob_gt_0,1.0,1.0,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP,point_official,-0.00019847561129399116,-0.00019847561129399116,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP,mean_bootstrap,-8.439540576169252e-05,-0.0001969694644568954,-0.00011257405869520288,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP,ci_low,-0.00014536901099682087,-0.0002956365966640395,-0.00015026758566721865,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP,ci_high,-2.7664907257946014e-05,-0.00011617070436747978,-8.850579710953377e-05,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP,prob_gt_0,0.004,0.0,-0.004,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP50,point_official,-0.0001722974707665803,-0.0001722974707665803,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP50,mean_bootstrap,-0.0001014197200451535,-0.00022275518015442812,-0.00012133546010927462,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP50,ci_low,-0.00018225975086266777,-0.000346864284007653,-0.00016460453314498524,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP50,ci_high,-2.8564926281310354e-05,-0.00012991591541877678,-0.00010135098913746643,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__zero,AP50,prob_gt_0,0.006,0.0,-0.006,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP,point_official,0.0001840370466438257,0.0001840370466438257,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP,mean_bootstrap,8.011991581633987e-05,0.00017915654929891823,9.903663348257836e-05,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP,ci_low,3.586702266722419e-05,9.955733564609437e-05,6.369031297887018e-05,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP,ci_high,0.0001414481522601374,0.0002948084937744455,0.0001533603415143081,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP,prob_gt_0,1.0,1.0,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP50,point_official,0.0001927088260326726,0.0001927088260326726,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP50,mean_bootstrap,0.00010018356260140498,0.00020840306845349555,0.00010821950585209056,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP50,ci_low,3.018414750344256e-05,9.646210702196623e-05,6.627795951852367e-05,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP50,ci_high,0.00019654682384065425,0.00035312966567591086,0.00015658284183525661,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__true-new17,seed2__true-text__wrong-new,AP50,prob_gt_0,0.998,0.998,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP,point_official,0.00038251265793781686,0.00038251265793781686,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP,mean_bootstrap,0.00016451532157803233,0.0003761260137558136,0.00021161069217778128,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP,ci_low,9.799181228281606e-05,0.00026055434730781757,0.0001625625350250015,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP,ci_high,0.0002389300884239054,0.0005276707043318507,0.0002887406159079453,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP,prob_gt_0,1.0,1.0,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP50,point_official,0.0003650062967992529,0.0003650062967992529,0.0,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP50,mean_bootstrap,0.0002016032826465585,0.0004311582486079237,0.0002295549659613652,
seed2,text_counterfactual_same_checkpoint,seed2__true-text__zero,seed2__true-text__wrong-new,AP50,ci_low,0.00010438781200555747,0.0002814774852799018,0.00017708967327434433,
