seed,comparison_type,label,a_key,b_key,new17_ap_a,new17_ap_b,delta_ap,bootstrap_mean_ap,ci95_low_ap,ci95_high_ap,p_delta_ap_gt_0,new17_ap50_a,new17_ap50_b,delta_ap50,bootstrap_mean_ap50,ci95_low_ap50,ci95_high_ap50,p_delta_ap50_gt_0,resamples
0,text_counterfactual_same_checkpoint,true_new17_minus_zero_routing_text_intervention,seed0__true-text__true-new17,seed0__true-text__zero,0.2783302748300107,0.27821193949782025,0.00011833533219046677,0.00012158625948975166,5.729287043948483e-05,0.0002064772965575945,0.998,0.40606909089559096,0.4059193344546151,0.00014975644097586782,0.00015322115047833912,7.460912288165256e-05,0.0002728439644218428,1.0,1000
0,text_counterfactual_same_checkpoint,true_new17_minus_wrong_new_routing_text_intervention,seed0__true-text__true-new17,seed0__true-text__wrong-new,0.2783302748300107,0.2775830746906665,0.0007472001393442063,0.0006756517691376438,0.0004934220844107218,0.0008841736177300219,1.0,0.40606909089559096,0.4051849274588519,0.0008841634367390827,0.000821023253639789,0.0005945041225686176,0.0010565761121649753,1.0,1000
0,text_counterfactual_same_checkpoint,zero_minus_wrong_new_routing_text_intervention,seed0__true-text__zero,seed0__true-text__wrong-new,0.27821193949782025,0.2775830746906665,0.0006288648071537395,0.000554065509647892,0.00039098831652117916,0.0007471766514312583,1.0,0.4059193344546151,0.4051849274588519,0.0007344069957632149,0.0006678021031614501,0.00046039305834377764,0.0009053720372172447,1.0,1000
1,text_counterfactual_same_checkpoint,true_new17_minus_zero_routing_text_intervention,seed1__true-text__true-new17,seed1__true-text__zero,0.28355339629283643,0.2837425155120772,-0.00018911921924075203,-0.00020074380874025554,-0.0003805501100694886,1.889504384999796e-05,0.034,0.413344570466799,0.4135519581320085,-0.00020738766520950191,-0.00028415382494858366,-0.0005062624600137289,-5.681245543304181e-05,0.014,1000
1,text_counterfactual_same_checkpoint,true_new17_minus_wrong_new_routing_text_intervention,seed1__true-text__true-new17,seed1__true-text__wrong-new,0.28355339629283643,0.2822000655470509,0.0013533307457855304,0.0014163069216646758,0.0011129922390821223,0.0017570751798154927,1.0,0.413344570466799,0.41170281635463546,0.0016417541121635515,0.0017036956326265242,0.0013164683135100663,0.0021114101995489687,1.0,1000
1,text_counterfactual_same_checkpoint,zero_minus_wrong_new_routing_text_intervention,seed1__true-text__zero,seed1__true-text__wrong-new,0.2837425155120772,0.2822000655470509,0.0015424499650262824,0.0016170507304049335,0.0012542547745571508,0.002017254400857482,1.0,0.4135519581320085,0.41170281635463546,0.0018491417773730534,0.0019878494575751057,0.0015378382943201374,0.0024592302288636847,1.0,1000
2,text_counterfactual_same_checkpoint,true_new17_minus_zero_routing_text_intervention,seed2__true-text__true-new17,seed2__true-text__zero,0.27629259539238443,0.2764910710036784,-0.00019847561129399116,-0.0001969694644568954,-0.0002956365966640395,-0.00011617070436747978,0.0,0.4051804289989792,0.4053527264697458,-0.0001722974707665803,-0.00022275518015442812,-0.000346864284007653,-0.00012991591541877678,0.0,1000
2,text_counterfactual_same_checkpoint,true_new17_minus_wrong_new_routing_text_intervention,seed2__true-text__true-new17,seed2__true-text__wrong-new,0.27629259539238443,0.2761085583457406,0.0001840370466438257,0.00017915654929891823,9.955733564609437e-05,0.0002948084937744455,1.0,0.4051804289989792,0.40498772017294654,0.0001927088260326726,0.00020840306845349555,9.646210702196623e-05,0.00035312966567591086,0.998,1000
2,text_counterfactual_same_checkpoint,zero_minus_wrong_new_routing_text_intervention,seed2__true-text__zero,seed2__true-text__wrong-new,0.2764910710036784,0.2761085583457406,0.00038251265793781686,0.0003761260137558136,0.00026055434730781757,0.0005276707043318507,1.0,0.4053527264697458,0.40498772017294654,0.0003650062967992529,0.0004311582486079237,0.0002814774852799018,0.0006116231175701259,1.0,1000
0,routing_descriptive_mixed,native_random_minus_true_text_mixed_descriptive,seed0__deterministic-random-routing__native-random,seed0__true-text__true-new17,0.2753658734648927,0.2783302748300107,-0.002964401365117997,-0.0025807392277996774,-0.005607636300911711,0.0006585029282969446,0.055,0.40315030010440683,0.40606909089559096,-0.0029187907911841227,-0.002514970766337354,-0.006157148140487734,0.0012852578800168768,0.097,1000
