mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,5.128,5.202,0.66253,0.48857,0.0,118.0,70.3,0,1.0,0.0
fp16,2.354,2.868,0.6625,0.48868,0.00011,376.1,33.9,0,2.18,54.1
int8-naive,2.224,2.711,0.60672,0.44206,-0.04651,860.0,29.1,0,2.31,56.6
