layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/Concat_2,Concat,/model.25/Concat_2_output_0,29.6586,16.2529,1.825,22.0,5.8915
/model.24/m.0/cv3/conv/Conv,Conv,/model.24/m.0/cv3/conv/Conv_output_0,11.4951,5.062,2.271,11.2,5.8049
/model.8/cv1/conv/Conv,Conv,/model.8/cv1/conv/Conv_output_0,19.1027,6.7117,2.846,6.1,5.723
/model.8/cv2/conv/Conv,Conv,/model.8/cv2/conv/Conv_output_0,9.9433,3.8467,2.585,7.7,5.7218
/model.8/m.1/m.1.1/attn/MatMul_1,MatMul,/model.8/m.1/m.1.1/attn/MatMul_1_output_0,11.8909,4.3437,2.738,6.6,5.6853
/model.18/m.0/m/m.1/cv1/conv/Conv,Conv,/model.18/m.0/m/m.1/cv1/conv/Conv_output_0,9.8549,3.3283,2.961,5.5,5.6658
/model.8/m.1/m.1.1/mlp/mlp.1/conv/Conv,Conv,/model.8/m.1/m.1.1/mlp/mlp.1/conv/Conv_output_0,8.4931,3.5058,2.423,8.9,5.6597
/model.8/m.0/m.0.1/attn/pe/conv/Conv,Conv,/model.8/m.0/m.0.1/attn/pe/conv/Conv_output_0,6.128,2.8238,2.17,11.9,5.6511
/model.11/m.0/m.0.1/attn/proj/conv/Conv,Conv,/model.11/m.0/m.0.1/attn/proj/conv/Conv_output_0,5.6221,2.3475,2.395,9.1,5.6245
/model.21/m.0/m/m.1/cv2/conv/Conv,Conv,/model.21/m.0/m/m.1/cv2/conv/Conv_output_0,16.0115,6.1257,2.614,7.1,5.6239
/model.8/m.1/m.1.0/attn/pe/conv/Conv,Conv,/model.8/m.1/m.1.0/attn/pe/conv/Conv_output_0,7.4366,3.595,2.069,13.1,5.583
/model.5/Concat,Concat,/model.5/Concat_output_0,5.7252,3.1397,1.824,18.9,5.5504
/model.11/m.1/m.1.1/mlp/mlp.0/conv/Conv,Conv,/model.11/m.1/m.1.1/mlp/mlp.0/conv/Conv_output_0,10.5216,4.8813,2.155,11.0,5.4709
/model.3/cv1/act/Mul,Mul,/model.3/cv1/act/Mul_output_0,5.8712,2.4314,2.415,8.0,5.4114
/model.11/m.0/m.0.1/mlp/mlp.0/conv/Conv,Conv,/model.11/m.0/m.0.1/mlp/mlp.0/conv/Conv_output_0,11.0594,4.9948,2.214,9.8,5.4
/model.9/shared_expert/shared_expert.0/Conv,Conv,/model.9/shared_expert/shared_expert.0/Conv_output_0,13.8493,5.2231,2.652,6.2,5.3694
/model.21/m.0/cv1/act/Mul,Mul,/model.21/m.0/cv1/act/Mul_output_0,2.7541,1.2407,2.22,9.9,5.3668
/model.15/cv2/conv/Conv,Conv,/model.15/cv2/conv/Conv_output_0,12.231,4.5554,2.685,6.0,5.3503
/model.11/m.1/m.1.1/attn/proj/conv/Conv,Conv,/model.11/m.1/m.1.1/attn/proj/conv/Conv_output_0,9.6473,4.2755,2.256,8.8,5.2723
/model.6/experts.1/conv/conv.0/Conv,Conv,/model.6/experts.1/conv/conv.0/Conv_output_0,11.4987,4.2937,2.678,5.8,5.2646
/model.25/cv2.2/cv2.2.0/conv/Conv,Conv,/model.25/cv2.2/cv2.2.0/conv/Conv_output_0,11.695,5.612,2.084,10.6,5.2312
/model.25/cv2.0/cv2.0.2/Conv,Conv,/model.25/cv2.0/cv2.0.2/Conv_output_0,17.8184,8.1193,2.195,8.8,5.1649
/model.8/m.1/m.1.1/attn/proj/conv/Conv,Conv,/model.8/m.1/m.1.1/attn/proj/conv/Conv_output_0,11.0276,3.9912,2.763,5.2,5.1474
/model.21/m.0/cv1/conv/Conv,Conv,/model.21/m.0/cv1/conv/Conv_output_0,5.1144,2.118,2.415,7.1,5.1441
/model.21/m.0/m/m.0/cv1/conv/Conv,Conv,/model.21/m.0/m/m.0/cv1/conv/Conv_output_0,9.6095,3.6415,2.639,5.7,5.1302
/model.15/m.0/m/m.1/Add,Add,/model.15/m.0/m/m.1/Add_output_0,16.4903,6.0047,2.746,5.1,5.1132
/model.9/experts.1/conv/conv.0/Conv,Conv,/model.9/experts.1/conv/conv.0/Conv_output_0,11.3029,4.6948,2.408,6.9,5.112
/model.8/m.1/m.1.0/attn/Add,Add,/model.8/m.1/m.1.0/attn/Add_output_0,7.8887,3.4418,2.292,7.9,5.1078
/model.24/m.0/m/m.1/cv2/conv/Conv,Conv,/model.24/m.0/m/m.1/cv2/conv/Conv_output_0,14.0957,6.0668,2.323,7.5,5.0974
/model.18/cv1/conv/Conv,Conv,/model.18/cv1/conv/Conv_output_0,6.9651,2.8115,2.477,6.2,4.993
/model.8/m.0/m.0.0/attn/Add,Add,/model.8/m.0/m.0.0/attn/Add_output_0,7.8374,3.5283,2.221,7.9,4.9733
/model.11/m.1/m.1.0/mlp/mlp.1/conv/Conv,Conv,/model.11/m.1/m.1.0/mlp/mlp.1/conv/Conv_output_0,6.2927,2.7963,2.25,7.6,4.9471
/model.8/m.0/m.0.0/Add_1,Add,/model.8/m.0/m.0.0/Add_1_output_0,14.3934,6.8651,2.097,8.8,4.9288
/model.2/m.0/cv1/conv/Conv,Conv,/model.2/m.0/cv1/conv/Conv_output_0,23.1669,8.8896,2.606,5.2,4.9284
/model.8/m.1/m.1.0/Add_1,Add,/model.8/m.1/m.1.0/Add_1_output_0,17.9732,7.4514,2.412,6.1,4.8752
/model.8/m.0/m.0.0/attn/pe/conv/Conv,Conv,/model.8/m.0/m.0.0/attn/pe/conv/Conv_output_0,8.0161,3.6918,2.171,7.8,4.8304
/model.11/m.0/m.0.1/attn/MatMul,MatMul,/model.11/m.0/m.0.1/attn/MatMul_output_0,141.6717,54.2786,2.61,4.8,4.816
/model.12/shared_expert/shared_expert.0/Conv,Conv,/model.12/shared_expert/shared_expert.0/Conv_output_0,11.0512,5.3766,2.055,8.7,4.8008
/model.25/cv2.1/cv2.1.0/conv/Conv,Conv,/model.25/cv2.1/cv2.1.0/conv/Conv_output_0,12.65,5.7974,2.182,7.5,4.7962
/model.11/m.0/m.0.0/mlp/mlp.0/conv/Conv,Conv,/model.11/m.0/m.0.0/mlp/mlp.0/conv/Conv_output_0,9.1572,4.5788,2.0,9.4,4.7946
/model.8/m.0/m.0.1/attn/Add,Add,/model.8/m.0/m.0.1/attn/Add_output_0,5.2688,2.1607,2.438,5.9,4.7891
/model.11/m.1/m.1.0/attn/proj/conv/Conv,Conv,/model.11/m.1/m.1.0/attn/proj/conv/Conv_output_0,7.0791,3.3978,2.083,8.4,4.7716
/model.24/m.0/m/m.0/cv2/conv/Conv,Conv,/model.24/m.0/m/m.0/cv2/conv/Conv_output_0,9.2804,4.1735,2.224,7.1,4.7681
/model.18/m.0/m/m.1/Add,Add,/model.18/m.0/m/m.1/Add_output_0,17.8875,6.1313,2.917,3.9,4.7644
/model.8/m.0/m.0.1/Add,Add,/model.8/m.0/m.0.1/Add_output_0,14.7769,6.9253,2.134,7.7,4.7433
/model.11/m.0/m.0.1/attn/Mul,Mul,/model.11/m.0/m.0.1/attn/Mul_output_0,25.0442,9.5952,2.61,4.8,4.731
/model.3/cv2/conv/Conv,Conv,/model.3/cv2/conv/Conv_output_0,9.6664,4.2381,2.281,6.5,4.7256
/model.24/m.0/m/m.1/cv1/conv/Conv,Conv,/model.24/m.0/m/m.1/cv1/conv/Conv_output_0,10.3877,4.3602,2.382,5.9,4.7199
/model.8/m.0/m.0.1/attn/proj/conv/Conv,Conv,/model.8/m.0/m.0.1/attn/proj/conv/Conv_output_0,4.6662,2.1211,2.2,7.2,4.7158
/model.18/m.0/m/m.0/cv2/conv/Conv,Conv,/model.18/m.0/m/m.0/cv2/conv/Conv_output_0,9.9298,3.2565,3.049,3.5,4.6836
/model.11/m.0/m.0.1/attn/MatMul_1,MatMul,/model.11/m.0/m.0.1/attn/MatMul_1_output_0,9.1464,4.1723,2.192,7.0,4.6621
/model.15/m.0/cv2/conv/Conv,Conv,/model.15/m.0/cv2/conv/Conv_output_0,9.5111,3.9691,2.396,5.4,4.571
/model.8/m.0/m.0.1/attn/MatMul_1,MatMul,/model.8/m.0/m.0.1/attn/MatMul_1_output_0,8.2783,3.5932,2.304,5.8,4.5386
/model.15/m.0/m/m.1/cv2/conv/Conv,Conv,/model.15/m.0/m/m.1/cv2/conv/Conv_output_0,13.0472,5.3547,2.437,5.0,4.5095
/model.8/m.1/m.1.0/Add,Add,/model.8/m.1/m.1.0/Add_output_0,16.3839,7.2999,2.244,5.8,4.4561
/model.21/m.0/m/m.0/cv2/conv/Conv,Conv,/model.21/m.0/m/m.0/cv2/conv/Conv_output_0,9.2817,3.9744,2.335,5.4,4.451
