layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.11/m.1/m.1.1/attn/qkv/conv/Conv,Conv,/model.11/m.1/m.1.1/attn/qkv/conv/Conv_output_0,9.3437,4.5078,2.073,22.9,6.6967
/model.11/m.0/m.0.1/Add,Add,/model.11/m.0/m.0.1/Add_output_0,17.3149,6.211,2.788,9.4,6.6851
/model.11/m.0/m.0.0/attn/proj/conv/Conv,Conv,/model.11/m.0/m.0.0/attn/proj/conv/Conv_output_0,6.4687,2.8469,2.272,16.8,6.6401
/model.11/m.1/m.1.1/attn/pe/conv/Conv,Conv,/model.11/m.1/m.1.1/attn/pe/conv/Conv_output_0,5.7434,3.1396,1.829,33.0,6.544
/model.24/m.0/m/m.1/cv1/act/Mul,Mul,/model.24/m.0/m/m.1/cv1/act/Mul_output_0,5.5404,2.4219,2.288,15.4,6.4962
/model.11/m.0/m.0.0/attn/pe/conv/Conv,Conv,/model.11/m.0/m.0.0/attn/pe/conv/Conv_output_0,10.494,4.8588,2.16,17.2,6.387
/model.11/m.1/m.1.0/attn/pe/conv/Conv,Conv,/model.11/m.1/m.1.0/attn/pe/conv/Conv_output_0,8.0503,3.7559,2.143,17.0,6.3084
/model.11/m.0/m.0.1/Add_1,Add,/model.11/m.0/m.0.1/Add_1_output_0,15.4504,6.3538,2.432,11.5,6.2847
/model.18/cv2/act/Mul,Mul,/model.18/cv2/act/Mul_output_0,4.9391,2.2554,2.19,15.9,6.2819
/model.21/m.0/m/m.0/cv2/act/Mul,Mul,/model.21/m.0/m/m.0/cv2/act/Mul_output_0,6.2028,2.8132,2.205,15.4,6.2723
/model.24/m.0/cv2/conv/Conv,Conv,/model.24/m.0/cv2/conv/Conv_output_0,8.5807,3.0866,2.78,8.1,6.2636
/model.18/m.0/cv2/act/Mul,Mul,/model.18/m.0/cv2/act/Mul_output_0,7.1206,2.5619,2.779,8.0,6.2238
/model.3/Concat,Concat,/model.3/Concat_output_0,10.0118,5.9013,1.697,33.7,6.1373
/model.24/m.0/m/m.1/Add,Add,/model.24/m.0/m/m.1/Add_output_0,16.3802,6.4619,2.535,9.6,6.1198
/model.22/conv/Conv,Conv,/model.22/conv/Conv_output_0,16.002,5.6296,2.842,7.2,6.11
/model.24/m.0/m/m.1/cv2/conv/Conv,Conv,/model.24/m.0/m/m.1/cv2/conv/Conv_output_0,16.8106,6.5598,2.563,9.0,6.0414
/model.5/cv2/act/Mul,Mul,/model.5/cv2/act/Mul_output_0,6.0482,2.5208,2.399,10.6,5.9757
/model.10/conv/Conv,Conv,/model.10/conv/Conv_output_0,11.706,4.3126,2.714,7.2,5.8352
/model.11/m.1/m.1.1/attn/Add,Add,/model.11/m.1/m.1.1/attn/Add_output_0,6.1511,2.6758,2.299,11.0,5.8197
/model.25/cv3.2/cv3.2.1/cv3.2.1.1/conv/Conv,Conv,/model.25/cv3.2/cv3.2.1/cv3.2.1.1/conv/Conv_output_0,37.6002,15.1977,2.474,8.6,5.788
/model.7/conv/Conv,Conv,/model.7/conv/Conv_output_0,10.0481,3.8712,2.596,7.8,5.7583
/model.18/cv2/conv/Conv,Conv,/model.18/cv2/conv/Conv_output_0,7.9131,3.2646,2.424,9.1,5.7159
/model.18/m.0/cv3/act/Mul,Mul,/model.18/m.0/cv3/act/Mul_output_0,5.33,2.2026,2.42,9.1,5.6857
/model.2/m.0/cv2/act/Mul,Mul,/model.2/m.0/cv2/act/Mul_output_0,21.6985,8.0105,2.709,6.7,5.6728
/model.11/m.0/m.0.1/attn/Add,Add,/model.11/m.0/m.0.1/attn/Add_output_0,7.4383,3.2488,2.29,10.2,5.6429
/model.24/cv1/conv/Conv,Conv,/model.24/cv1/conv/Conv_output_0,10.0352,4.0956,2.45,8.3,5.5901
/model.11/m.1/m.1.0/attn/Add,Add,/model.11/m.1/m.1.0/attn/Add_output_0,5.7097,2.5854,2.208,10.9,5.5646
/model.21/m.0/cv2/conv/Conv,Conv,/model.21/m.0/cv2/conv/Conv_output_0,12.0467,3.8027,3.168,4.5,5.5318
/model.11/m.1/m.1.0/attn/MatMul,MatMul,/model.11/m.1/m.1.0/attn/MatMul_output_0,135.0222,51.9519,2.599,6.6,5.5295
/model.21/m.0/cv1/act/Mul,Mul,/model.21/m.0/cv1/act/Mul_output_0,1.8994,0.7531,2.522,7.7,5.4974
/model.15/cv1/conv/Conv,Conv,/model.15/cv1/conv/Conv_output_0,9.4197,3.67,2.567,7.1,5.487
/model.8/m.1/m.1.1/mlp/mlp.1/conv/Conv,Conv,/model.8/m.1/m.1.1/mlp/mlp.1/conv/Conv_output_0,8.3391,3.3413,2.496,7.5,5.4606
/model.12/shared_expert/shared_expert.0/Conv,Conv,/model.12/shared_expert/shared_expert.0/Conv_output_0,10.7812,5.0227,2.147,11.0,5.4498
/model.11/m.1/m.1.0/attn/Mul,Mul,/model.11/m.1/m.1.0/attn/Mul_output_0,23.8688,9.1839,2.599,6.6,5.4446
/model.25/cv2.0/cv2.0.2/Conv,Conv,/model.25/cv2.0/cv2.0.2/Conv_output_0,20.1205,8.7751,2.293,9.0,5.4226
/model.21/m.0/m/m.1/Add,Add,/model.21/m.0/m/m.1/Add_output_0,13.0808,5.3938,2.425,7.7,5.3693
/model.11/cv1/conv/Conv,Conv,/model.11/cv1/conv/Conv_output_0,15.2373,5.6597,2.692,6.0,5.3676
/model.8/m.0/m.0.0/mlp/mlp.0/conv/Conv,Conv,/model.8/m.0/m.0.0/mlp/mlp.0/conv/Conv_output_0,10.5425,4.3485,2.424,7.7,5.3609
/model.11/m.0/m.0.1/attn/pe/conv/Conv,Conv,/model.11/m.0/m.0.1/attn/pe/conv/Conv_output_0,7.6576,3.3046,2.317,8.5,5.3283
/model.21/m.0/m/m.0/Add,Add,/model.21/m.0/m/m.0/Add_output_0,6.0407,2.7564,2.192,9.7,5.2909
/model.8/m.1/m.1.0/attn/proj/conv/Conv,Conv,/model.8/m.1/m.1.0/attn/proj/conv/Conv_output_0,7.1172,3.5624,1.998,12.1,5.2418
/model.18/m.0/cv3/conv/Conv,Conv,/model.18/m.0/cv3/conv/Conv_output_0,8.6244,2.7893,3.092,4.2,5.2192
/model.25/cv2.1/cv2.1.0/conv/Conv,Conv,/model.25/cv2.1/cv2.1.0/conv/Conv_output_0,14.1106,5.8453,2.414,7.1,5.1748
/model.12/Add_1,Add,/model.12/Add_1_output_0,3.6987,1.5505,2.385,7.4,5.1579
/model.15/m.0/cv1/act/Mul,Mul,/model.15/m.0/cv1/act/Mul_output_0,2.5146,1.0491,2.397,7.3,5.1477
/model.8/cv2/conv/Conv,Conv,/model.8/cv2/conv/Conv_output_0,8.9671,3.6401,2.463,6.6,5.127
/model.25/Concat,Concat,/model.25/Concat_output_0,33.8636,18.4122,1.839,13.6,5.1051
/model.11/m.1/m.1.0/attn/proj/conv/Conv,Conv,/model.11/m.1/m.1.0/attn/proj/conv/Conv_output_0,6.1342,2.6521,2.313,7.6,5.0791
/model.8/m.0/m.0.0/attn/pe/conv/Conv,Conv,/model.8/m.0/m.0.0/attn/pe/conv/Conv_output_0,7.994,3.3333,2.398,6.9,5.077
/model.12/experts.1/conv/conv.0/Conv,Conv,/model.12/experts.1/conv/conv.0/Conv_output_0,10.9183,5.022,2.174,8.8,5.0754
/model.3/cv1/act/Mul,Mul,/model.3/cv1/act/Mul_output_0,5.0665,3.0221,1.676,18.2,5.0435
/model.21/m.0/m/m.1/cv2/conv/Conv,Conv,/model.21/m.0/m/m.1/cv2/conv/Conv_output_0,13.3964,5.2839,2.535,5.9,5.032
/model.25/cv2.2/cv2.2.0/conv/Conv,Conv,/model.25/cv2.2/cv2.2.0/conv/Conv_output_0,12.3717,5.3831,2.298,7.4,5.0229
/model.12/experts.0/conv/conv.3/Conv,Conv,/model.12/experts.0/conv/conv.3/Conv_output_0,6.227,2.6796,2.324,7.3,5.0201
/model.8/m.0/m.0.1/attn/proj/conv/Conv,Conv,/model.8/m.0/m.0.1/attn/proj/conv/Conv_output_0,4.464,2.0653,2.161,8.7,4.9959
/model.12/Mul_1,Mul,/model.12/Mul_1_output_0,3.1289,1.3518,2.315,7.4,4.987
/model.12/Add,Add,/model.12/Add_output_0,3.1289,1.3518,2.315,7.4,4.987
/model.8/m.0/m.0.0/attn/Add,Add,/model.8/m.0/m.0.0/attn/Add_output_0,7.4907,3.3252,2.253,7.4,4.9064
/model.12/experts.0/conv/conv.0/Conv,Conv,/model.12/experts.0/conv/conv.0/Conv_output_0,10.6456,4.9461,2.152,8.2,4.8904
/model.21/cv1/conv/Conv,Conv,/model.21/cv1/conv/Conv_output_0,8.7517,3.6629,2.389,6.3,4.86
/model.5/Concat,Concat,/model.5/Concat_output_0,5.5186,3.422,1.613,17.9,4.8306
/model.11/m.1/m.1.0/Add,Add,/model.11/m.1/m.1.0/Add_output_0,15.4226,6.7479,2.286,6.7,4.8044
/model.11/m.1/m.1.0/mlp/mlp.1/conv/Conv,Conv,/model.11/m.1/m.1.0/mlp/mlp.1/conv/Conv_output_0,6.8675,3.0541,2.249,6.9,4.7608
/model.3/m.0/cv2/conv/Conv,Conv,/model.3/m.0/cv2/conv/Conv_output_0,14.6363,5.7548,2.543,5.1,4.7244
/model.11/cv2/conv/Conv,Conv,/model.11/cv2/conv/Conv_output_0,10.0236,5.1042,1.964,9.0,4.6483
/model.3/cv2/conv/Conv,Conv,/model.3/cv2/conv/Conv_output_0,9.9791,4.4138,2.261,6.3,4.6251
/model.8/m.0/m.0.0/attn/proj/conv/Conv,Conv,/model.8/m.0/m.0.0/attn/proj/conv/Conv_output_0,4.7569,2.2972,2.071,7.9,4.6238
/model.5/cv2/conv/Conv,Conv,/model.5/cv2/conv/Conv_output_0,8.384,3.9403,2.128,7.2,4.5941
/model.11/m.1/m.1.0/Add_1,Add,/model.11/m.1/m.1.0/Add_1_output_0,15.5899,7.1896,2.168,6.8,4.5883
/model.15/cv2/conv/Conv,Conv,/model.15/cv2/conv/Conv_output_0,7.8811,3.4203,2.304,6.0,4.5789
