mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.417,2.732,0.59181,0.42858,0.0,181.2,26.4,0,1.0,0.0
int8,2.075,2.439,0.55879,0.40381,-0.02477,1363.4,12.4,150,1.16,14.1
