fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),variant
0.08742865572997083,0.16463057583208054,0.08742865572997083,0.27231817033394257,0.20913754460264208,baseline_fixed_k
0.08699568607241791,0.16435947230962508,0.08699568607241791,0.27172929343775787,0.20929293227617923,utility_fixed_k
0.0869490844898861,0.16301556040453974,0.0869490844898861,0.29256107191387104,0.2041201236815991,utility_adaptive_k_0.35
0.08706585252241705,0.16374191710015268,0.08706585252241705,0.2777574582231246,0.2070433963291265,utility_adaptive_k_0.36
0.08697472971010402,0.16434090323709089,0.08697472971010402,0.27178913928632564,0.20929293227617923,utility_adaptive_k_0.38
