expert_sample_saving_vs_dense,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,mean_expert_sample_calls,mean_selected_k,order,round,variant
0.0,37.037253539892845,37.07115165889263,37.65674801543355,39.96984701603652,3.0,2.0,1,1,baseline_fixed_k
0.0,39.267388798180036,39.07106630504131,40.82081355154514,42.05432025715709,3.0,2.0,2,1,utility_fixed_k
0.5052083333333333,38.35032507777214,37.44993731379509,39.93990710005164,50.62374196946626,1.484375,1.2421875,3,1,utility_adaptive_k_0.35
0.27083333333333337,38.52379211457446,39.15134724229574,40.217043831944466,42.806632071733475,2.1875,1.59375,4,1,utility_adaptive_k_0.36
0.015625,39.277114483411424,39.25276454538107,39.53826166689396,41.35684790089727,2.953125,1.9765625,5,1,utility_adaptive_k_0.38
0.0,30.17932377406396,27.814959175884724,38.49531840533018,38.6887695081532,3.0,2.0,1,2,utility_fixed_k
0.5052083333333333,26.607216088450514,26.479958556592464,28.324875608086586,28.472393285483122,1.484375,1.2421875,2,2,utility_adaptive_k_0.35
0.27083333333333337,26.944144337903708,27.49555930495262,27.76234382763505,28.72890444472432,2.1875,1.59375,3,2,utility_adaptive_k_0.36
0.015625,27.933145873248577,28.134684078395367,28.384267631918192,28.92734007909894,2.953125,1.9765625,4,2,utility_adaptive_k_0.38
0.0,26.93555795121938,26.876740157604218,27.234254404902458,28.17877683788538,3.0,2.0,5,2,baseline_fixed_k
0.5052083333333333,28.574109586770646,28.24412379413843,30.72288604453206,47.27338986471301,1.484375,1.2421875,1,3,utility_adaptive_k_0.35
0.27083333333333337,29.768046864774078,30.43363895267248,30.671018920838833,30.7215853407979,2.1875,1.59375,2,3,utility_adaptive_k_0.36
0.015625,27.82736995141022,27.644035406410694,29.369178041815758,31.173166204243902,2.953125,1.9765625,3,3,utility_adaptive_k_0.38
0.0,26.342775745433755,26.267596520483494,26.426452957093716,28.044793941080577,3.0,2.0,4,3,baseline_fixed_k
0.0,30.293962510768324,30.519443564116955,32.05347210168838,47.38659758120777,3.0,2.0,5,3,utility_fixed_k
