mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.911,3.015,0.57103,0.41271,0.0,155.6,28.7,0,1.0,0.0
int8,2.364,2.924,0.41884,0.28578,-0.12693,620.1,15.0,195,1.23,18.8
