domain,dominant_expert_agreement_rate,jensen_shannon_divergence_mean,jensen_shannon_divergence_p95,l1_distance_mean,n_images,normalized_entropy_delta_mean,perturbation
COCO128,0.9986979166666667,1.7306229351787716e-07,4.742062075157111e-07,0.0005186222260817885,128,-1.9451913734277092e-05,brightness_high
COCO128,0.9921875,2.5956631300756777e-07,9.220461758469153e-07,0.0006361446576192975,128,1.614517532289028e-05,brightness_low
COCO128,0.9908854166666667,4.248429708105189e-07,1.2927192355983535e-06,0.0008753996808081865,128,1.9573296109835293e-06,hflip
VisDrone,0.9908854166666667,2.076455117305402e-07,9.46521750386326e-07,0.00047954936356594163,128,-8.862543230255445e-06,brightness_high
VisDrone,0.9869791666666666,2.397322948692619e-07,1.3382259030801848e-06,0.0005253648851066828,128,4.661269485950469e-06,brightness_low
VisDrone,0.9739583333333335,5.235567003715216e-07,2.0973024207873363e-06,0.0008819243715455135,128,-6.8766530603170395e-06,hflip
brain-tumor,0.984375,2.1007611696474287e-07,9.310702936424116e-07,0.00046175241004675627,128,-4.455144517123699e-05,brightness_high
brain-tumor,0.9830729166666667,2.488155253838323e-07,1.051506328981078e-06,0.0004998943380390604,128,3.588323791821797e-05,brightness_low
brain-tumor,0.9674479166666667,5.291407251181632e-07,1.8710012205954516e-06,0.000879069169362386,128,5.454601099093754e-06,hflip
