domain,effective_experts_mean,effective_experts_std,expert,layer,mean_probability_mean,mean_probability_std,n_images,normalized_entropy_mean,normalized_entropy_std,top1_margin_mean,top1_margin_std,top1_share_mean,top1_share_std
COCO128,2.981314893811941,0.0036747320146543173,DeformableTransformer,model.14.m.0,0.31727855280041695,0.0016338737258112955,128,0.9943122817203403,0.0011221039935145284,0.05432830363861285,0.005489092881437804,0.0040576171875,0.005113738403418764
COCO128,2.981314893811941,0.0036747320146543173,LocalConvTransformer,model.14.m.0,0.33490307722240686,0.001189790790226388,128,0.9943122817203403,0.0011221039935145284,0.05432830363861285,0.005489092881437804,0.4780419921875,0.03587612407819376
COCO128,2.981314893811941,0.0036747320146543173,WindowTransformer,model.14.m.0,0.3478183459956199,0.0021472452795783074,128,0.9943122817203403,0.0011221039935145284,0.05432830363861285,0.005489092881437804,0.5179003906249999,0.035734759289797295
COCO128,2.998471463099122,0.00045672897505761077,DeformableTransformer,model.14.m.1,0.33624738827347755,0.0011908244773649866,128,0.9995361012406647,0.00013866020897637148,0.012398289210977964,0.0019578200761303766,0.4744384765625,0.05768115079052369
COCO128,2.998471463099122,0.00045672897505761077,LocalConvTransformer,model.14.m.1,0.3309971056878567,0.0007228039699657134,128,0.9995361012406647,0.00013866020897637148,0.012398289210977964,0.0019578200761303766,0.157412109375,0.041333184912888836
COCO128,2.998471463099122,0.00045672897505761077,WindowTransformer,model.14.m.1,0.3327554843854159,0.0012072671953709375,128,0.9995361012406647,0.00013866020897637148,0.012398289210977964,0.0019578200761303766,0.3681494140625,0.06174770680692374
COCO128,2.9915397204458714,0.0018185623002486655,DeformableTransformer,model.20.m.0,0.3412170286756009,0.00296987845271912,128,0.9974292516708374,0.0005533568049011929,0.03283602731244173,0.0036920778228037186,0.5364306640625001,0.05221862592836858
COCO128,2.9915397204458714,0.0018185623002486655,LocalConvTransformer,model.20.m.0,0.33422317053191364,0.0030240496212310592,128,0.9974292516708374,0.0005533568049011929,0.03283602731244173,0.0036920778228037186,0.4191796875,0.053901701208854826
COCO128,2.9915397204458714,0.0018185623002486655,WindowTransformer,model.20.m.0,0.32455977983772755,0.0005254881926466405,128,0.9974292516708374,0.0005533568049011929,0.03283602731244173,0.0036920778228037186,0.0443896484375,0.02243585904168643
COCO128,2.999057302251458,0.0003520508144488148,DeformableTransformer,model.20.m.1,0.3377951600123197,0.00201184370859827,128,0.9997139284387231,0.00010685507248091712,0.009603133672499098,0.0021374076308852065,0.5012792968750001,0.09990401580078635
COCO128,2.999057302251458,0.0003520508144488148,LocalConvTransformer,model.20.m.1,0.33059731568209827,0.0008326049981135931,128,0.9997139284387231,0.00010685507248091712,0.009603133672499098,0.0021374076308852065,0.20362792968750001,0.04608150960815705
COCO128,2.999057302251458,0.0003520508144488148,WindowTransformer,model.20.m.1,0.3316075033508241,0.0012083454720319938,128,0.9997139284387231,0.00010685507248091712,0.009603133672499098,0.0021374076308852065,0.2950927734375,0.08192132900045161
COCO128,3.0,0.0,DeformableTransformer,model.23.m.0,0.33334942208603024,2.206869511038838e-07,128,1.0,0.0,7.077476942640715e-05,1.1905226020301423e-07,0.0,0.0
COCO128,3.0,0.0,LocalConvTransformer,model.23.m.0,0.33323035784997046,5.225085182138371e-07,128,1.0,0.0,7.077476942640715e-05,1.1905226020301423e-07,0.0,0.0
COCO128,3.0,0.0,WindowTransformer,model.23.m.0,0.33342019631527364,3.053613704468587e-07,128,1.0,0.0,7.077476942640715e-05,1.1905226020301423e-07,1.0,0.0
COCO128,3.0,0.0,DeformableTransformer,model.23.m.1,0.33332563610747457,1.6579461545010988e-07,128,1.0,0.0,4.610333442656156e-05,1.7877336696345528e-07,0.0,0.0
COCO128,3.0,0.0,LocalConvTransformer,model.23.m.1,0.3333717400673777,1.1666663964764286e-07,128,1.0,0.0,4.610333442656156e-05,1.7877336696345528e-07,1.0,0.0
COCO128,3.0,0.0,WindowTransformer,model.23.m.1,0.3333026149775833,2.2142090978996415e-07,128,1.0,0.0,4.610333442656156e-05,1.7877336696345528e-07,0.0,0.0
VisDrone,2.982736250385642,0.0032750374520609535,DeformableTransformer,model.14.m.0,0.3167863499838859,0.001798112434204693,128,0.9947462817654014,0.000999362541993329,0.051151533698430285,0.005260927909534699,0.00912109375,0.0061913773841045724
VisDrone,2.982736250385642,0.0032750374520609535,LocalConvTransformer,model.14.m.0,0.33897013147361577,0.0016623722008178115,128,0.9947462817654014,0.000999362541993329,0.051151533698430285,0.005260927909534699,0.522158203125,0.03700774845837578
VisDrone,2.982736250385642,0.0032750374520609535,WindowTransformer,model.14.m.0,0.34424349665641785,0.00271650283615697,128,0.9947462817654014,0.000999362541993329,0.051151533698430285,0.005260927909534699,0.468720703125,0.039184905411397235
VisDrone,2.9978308770805597,0.0006917962146936888,DeformableTransformer,model.14.m.1,0.3369293143041432,0.0010504440566170188,128,0.9993416098877788,0.0002100525915374535,0.01442972119548358,0.002574817823593089,0.4632666015625,0.043276985604876896
VisDrone,2.9978308770805597,0.0006917962146936888,LocalConvTransformer,model.14.m.1,0.3306453253608197,0.0007037168648469966,128,0.9993416098877788,0.0002100525915374535,0.01442972119548358,0.002574817823593089,0.15533203125,0.03066288407855275
VisDrone,2.9978308770805597,0.0006917962146936888,WindowTransformer,model.14.m.1,0.3324253379832953,0.0008083104118648539,128,0.9993416098877788,0.0002100525915374535,0.01442972119548358,0.002574817823593089,0.38140136718749995,0.050301548001863684
VisDrone,2.991868682205677,0.00151037792277358,DeformableTransformer,model.20.m.0,0.340098028536886,0.002073868046997842,128,0.9975293935276568,0.00045954107400486506,0.03213948823395185,0.0034160786353406203,0.5167773437500001,0.047921708463924545
VisDrone,2.991868682205677,0.00151037792277358,LocalConvTransformer,model.20.m.0,0.3348361949902028,0.002136187792720006,128,0.9975293935276568,0.00045954107400486506,0.03213948823395185,0.0034160786353406203,0.4028710937500001,0.052613852779530436
VisDrone,2.991868682205677,0.00151037792277358,WindowTransformer,model.20.m.0,0.32506575412116945,0.00035742072159571764,128,0.9975293935276568,0.00045954107400486506,0.03213948823395185,0.0034160786353406203,0.0803515625,0.03556790648813645
VisDrone,2.9990918207913637,0.0003676364615660555,DeformableTransformer,model.20.m.1,0.33710627630352974,0.0017003660564031905,128,0.9997244044207036,0.00011158459013404923,0.009127962417551316,0.0019907064241760832,0.4436279296875,0.073540760607163
VisDrone,2.9990918207913637,0.0003676364615660555,LocalConvTransformer,model.20.m.1,0.3307977025397122,0.000772826655516923,128,0.9997244044207036,0.00011158459013404923,0.009127962417551316,0.0019907064241760832,0.1822314453125,0.040764764395268
VisDrone,2.9990918207913637,0.0003676364615660555,WindowTransformer,model.20.m.1,0.33209599484689534,0.000954473797977537,128,0.9997244044207036,0.00011158459013404923,0.009127962417551316,0.0019907064241760832,0.37414062500000006,0.06766275217204856
VisDrone,3.0,0.0,DeformableTransformer,model.23.m.0,0.33334955014288425,1.9650643924402096e-07,128,1.0,0.0,7.074123186612269e-05,9.414569364214125e-08,0.0,0.0
VisDrone,3.0,0.0,LocalConvTransformer,model.23.m.0,0.33323013852350414,4.6954293600057685e-07,128,1.0,0.0,7.074123186612269e-05,9.414569364214125e-08,0.0,0.0
VisDrone,3.0,0.0,WindowTransformer,model.23.m.0,0.3334202899131924,2.7664873858772636e-07,128,1.0,0.0,7.074123186612269e-05,9.414569364214125e-08,1.0,0.0
VisDrone,3.0,0.0,DeformableTransformer,model.23.m.1,0.333325833780691,1.6329678946922453e-07,128,1.0,0.0,4.598212575501748e-05,2.0309362100045584e-07,0.0,0.0
VisDrone,3.0,0.0,LocalConvTransformer,model.23.m.1,0.3333718185313046,1.1312799358637475e-07,128,1.0,0.0,4.598212575501748e-05,2.0309362100045584e-07,1.0,0.0
VisDrone,3.0,0.0,WindowTransformer,model.23.m.1,0.3333023488521576,1.8714593921806804e-07,128,1.0,0.0,4.598212575501748e-05,2.0309362100045584e-07,0.0,0.0
brain-tumor,2.9816489461809397,0.004846377241973137,DeformableTransformer,model.14.m.0,0.32009940850548446,0.0017882814233796337,128,0.9944137600250542,0.0014799941803149083,0.047742912982357666,0.006713538305908397,0.006708984375000001,0.006679386209936225
brain-tumor,2.9816489461809397,0.004846377241973137,LocalConvTransformer,model.14.m.0,0.33480016933754086,0.0012315269109371754,128,0.9944137600250542,0.0014799941803149083,0.047742912982357666,0.006713538305908397,0.5447705078125,0.04111166489560022
brain-tumor,2.9816489461809397,0.004846377241973137,WindowTransformer,model.14.m.0,0.34510040166787803,0.0017999851089690328,128,0.9944137600250542,0.0014799941803149083,0.047742912982357666,0.006713538305908397,0.44852050781249997,0.03886301394247302
brain-tumor,2.9991808757185936,0.00020089844415397665,DeformableTransformer,model.14.m.1,0.3346098931506276,0.0006636110085646225,128,0.9997514383867383,6.097407369040819e-05,0.01012240071213455,0.0012101857161458448,0.393740234375,0.053231914439603484
brain-tumor,2.9991808757185936,0.00020089844415397665,LocalConvTransformer,model.14.m.1,0.3310644414741546,0.0005330371204588122,128,0.9997514383867383,6.097407369040819e-05,0.01012240071213455,0.0012101857161458448,0.1003173828125,0.03205834410505029
brain-tumor,2.9991808757185936,0.00020089844415397665,WindowTransformer,model.14.m.1,0.3343256404623389,0.0005689056382041426,128,0.9997514383867383,6.097407369040819e-05,0.01012240071213455,0.0012101857161458448,0.5059423828125,0.06202159402640914
