layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.5/m.0/Add,Add,/model.5/m.0/Add_output_0,5.6674,3.7205,1.523,5.9,3.0359
/model.8/m.1/m.1.0/Add,Add,/model.8/m.1/m.1.0/Add_output_0,11.2841,6.5091,1.734,4.4,3.0339
/model.8/m.1/m.1.1/Add,Add,/model.8/m.1/m.1.1/Add_output_0,15.2015,7.4492,2.041,3.1,3.0276
/model.8/m.1/m.1.1/Add_1,Add,/model.8/m.1/m.1.1/Add_1_output_0,14.0471,7.4523,1.885,3.5,2.96
/model.11/m.1/m.1.1/attn/MatMul,MatMul,/model.11/m.1/m.1.1/attn/MatMul_output_0,81.9439,40.202,2.038,2.8,2.9395
/model.8/m.0/m.0.0/attn/MatMul,MatMul,/model.8/m.0/m.0.0/attn/MatMul_output_0,63.026,23.444,2.688,1.7,2.8917
/model.8/m.0/m.0.1/attn/MatMul_1,MatMul,/model.8/m.0/m.0.1/attn/MatMul_1_output_0,10.7142,4.1826,2.562,1.9,2.8836
/model.11/m.1/m.1.1/attn/Mul,Mul,/model.11/m.1/m.1.1/attn/Mul_output_0,14.4858,7.1068,2.038,2.8,2.8555
/model.8/m.0/m.0.1/Add,Add,/model.8/m.0/m.0.1/Add_output_0,10.1196,6.1266,1.652,4.2,2.8504
/model.8/m.0/m.0.0/attn/Mul,Mul,/model.8/m.0/m.0.0/attn/Mul_output_0,11.1415,4.1444,2.688,1.7,2.8086
/model.8/m.0/m.0.0/attn/MatMul_1,MatMul,/model.8/m.0/m.0.0/attn/MatMul_1_output_0,7.9994,3.77,2.122,2.6,2.8001
/model.8/m.0/m.0.0/Add_1,Add,/model.8/m.0/m.0.0/Add_1_output_0,9.4504,6.248,1.513,4.8,2.7714
/model.8/m.1/m.1.0/attn/MatMul,MatMul,/model.8/m.1/m.1.0/attn/MatMul_output_0,67.5014,26.8371,2.515,1.7,2.738
/model.8/m.1/m.1.0/attn/Mul,Mul,/model.8/m.1/m.1.0/attn/Mul_output_0,11.9327,4.7442,2.515,1.7,2.6547
/model.3/m.0/cv2/act/Mul,Mul,/model.3/m.0/cv2/act/Mul_output_0,7.7693,4.6563,1.669,3.6,2.6396
/model.18/m.0/m/m.0/cv1/conv/Conv,Conv,/model.18/m.0/m/m.0/cv1/conv/Conv_output_0,5.2736,2.5748,2.048,2.4,2.6198
/model.5/m.0/cv1/act/Mul,Mul,/model.5/m.0/cv1/act/Mul_output_0,4.1196,2.1274,1.937,2.6,2.5773
/model.8/m.1/m.1.1/attn/MatMul_1,MatMul,/model.8/m.1/m.1.1/attn/MatMul_1_output_0,11.6975,4.7365,2.47,1.7,2.5702
/model.5/m.0/cv2/conv/Conv,Conv,/model.5/m.0/cv2/conv/Conv_output_0,6.56,3.5191,1.864,2.7,2.5167
/model.25/cv3.0/cv3.0.2/Conv,Conv,/model.25/cv3.0/cv3.0.2/Conv_output_0,41.6059,18.8723,2.205,1.9,2.5032
/model.3/m.0/cv1/act/Mul,Mul,/model.3/m.0/cv1/act/Mul_output_0,9.0118,4.7523,1.896,2.4,2.4555
/model.8/m.0/m.0.1/attn/MatMul,MatMul,/model.8/m.0/m.0.1/attn/MatMul_output_0,115.8389,57.1621,2.027,1.9,2.3736
