mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.379,2.406,0.59177,0.42859,0.0,151.2,25.9,0,1.0,0.0
int8,2.054,2.291,0.54949,0.39591,-0.03268,741.4,13.1,124,1.16,13.7
