layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.5/Mul_1,Mul,/model.5/Mul_1_output_0,3.0942,1.6255,1.904,11.1,4.8179
/model.5/Add,Add,/model.5/Add_output_0,3.0942,1.6255,1.904,11.1,4.8179
/model.7/m.0/m.0.0/attn/Mul,Mul,/model.7/m.0/m.0.0/attn/Mul_output_0,31.4725,8.1199,3.876,2.3,4.7865
/model.2/m.0/Add,Add,/model.2/m.0/Add_output_0,22.6439,8.3522,2.711,4.5,4.7851
/model.5/experts.0/conv/conv.4/Mul,Mul,/model.5/experts.0/conv/conv.4/Mul_output_0,6.0874,3.2346,1.882,10.9,4.7609
/model.20/m.0/m/m.0/cv2/conv/Conv,Conv,/model.20/m.0/m/m.0/cv2/conv/Conv_output_0,4.1413,1.8213,2.274,6.8,4.7509
/model.3/conv/Conv,Conv,/model.3/conv/Conv_output_0,9.7623,3.5271,2.768,4.3,4.7343
/model.17/m.0/m/m.0/cv1/act/Mul,Mul,/model.17/m.0/m/m.0/cv1/act/Mul_output_0,7.3053,3.0926,2.362,6.1,4.7316
/model.5/Add_1,Add,/model.5/Add_1_output_0,5.9942,3.2005,1.873,10.4,4.6566
/model.20/m.0/cv3/conv/Conv,Conv,/model.20/m.0/cv3/conv/Conv_output_0,4.4613,1.8878,2.363,5.8,4.6218
/model.17/cv1/conv/Conv,Conv,/model.17/cv1/conv/Conv_output_0,9.7166,3.5479,2.739,4.2,4.6122
/model.10/m.0/m.0.0/mlp/mlp.1/conv/Conv,Conv,/model.10/m.0/m.0.0/mlp/mlp.1/conv/Conv_output_0,5.5652,2.4617,2.261,6.3,4.5976
/model.23/m.0/m/m.1/cv1/conv/Conv,Conv,/model.23/m.0/m/m.1/cv1/conv/Conv_output_0,3.3659,1.7241,1.952,9.1,4.579
/model.7/m.0/m.0.0/attn/proj/conv/Conv,Conv,/model.7/m.0/m.0.0/attn/proj/conv/Conv_output_0,6.2927,2.876,2.188,6.7,4.5769
/model.24/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,/model.24/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul_output_0,2.5709,1.6424,1.565,16.8,4.5662
/model.10/m.1/m.1.0/attn/MatMul_1,MatMul,/model.10/m.1/m.1.0/attn/MatMul_1_output_0,7.3155,2.546,2.873,3.7,4.5527
/model.5/experts.1/conv/conv.4/Add,Add,/model.5/experts.1/conv/conv.4/Add_output_0,6.4888,3.2445,2.0,8.2,4.5293
/model.5/experts.1/conv/conv.4/Mul,Mul,/model.5/experts.1/conv/conv.4/Mul_output_0,6.4716,3.2579,1.986,8.3,4.5206
/model.10/m.1/m.1.1/attn/MatMul_1,MatMul,/model.10/m.1/m.1.1/attn/MatMul_1_output_0,8.4563,3.8431,2.2,6.4,4.5087
/model.5/Mul_3,Mul,/model.5/Mul_3_output_0,3.2356,1.6181,2.0,8.2,4.5001
/model.23/m.0/cv3/conv/Conv,Conv,/model.23/m.0/cv3/conv/Conv_output_0,3.492,1.8203,1.918,8.9,4.4781
/model.14/m.0/m/m.1/cv2/conv/Conv,Conv,/model.14/m.0/m/m.1/cv2/conv/Conv_output_0,12.3304,5.1522,2.393,5.1,4.467
/model.17/m.0/cv3/conv/Conv,Conv,/model.17/m.0/cv3/conv/Conv_output_0,11.7977,4.5065,2.618,4.2,4.4479
/model.11/routing/router/router.4/Mul,Mul,/model.11/routing/router/router.4/Mul_output_0,1.927,1.8481,1.043,64.1,4.4085
