mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,2.664,2.672,0.44023,0.19584,0.0,155.9,25.5,0,1.0,0.0
int8,2.229,2.235,0.44064,0.19455,-0.00129,172.2,12.9,775,1.2,16.3
