mode,lat_ms_median,lat_ms_p90,mAP50,mAP50_95,dmAP50_95,build_s,size_MB,n_pinned_fp16,speedup_vs_fp32,lat_cut_pct
fp32,3.331,3.344,0.44051,0.19586,0.0,110.5,26.4,0,1.0,0.0
fp16,2.115,2.121,0.44052,0.19583,-3e-05,377.9,13.7,0,1.57,36.5
