alpha,analysis_unit,bootstrap_ci95_high,bootstrap_ci95_low,ci_excludes_zero,comparison_design,comparison_valid,domain_a,domain_b,effect_size_type,expert,fdr_q_value,hedges_g,invalid_reason,mean_a,mean_b,mean_diff_b_minus_a,metric,n_a,n_b,n_clusters_a,n_clusters_b,n_images_a,n_images_b,n_paired_clusters,n_shared,permutation_p_value_two_sided,shared_fraction_min,significant_after_fdr
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.37315274202774207,0.36976108921421424,-0.0033916528135278234,top1_share,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.3337229710986954,0.3335970554383088,-0.00012591566038661073,mean_probability,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.3790851655226655,0.37960539557414563,0.0005202300514801084,top1_share,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.3335708669413573,0.3335156879805579,-5.5178960799373566e-05,mean_probability,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.24776209244959244,0.2506335152116401,0.0028714227620476873,top1_share,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.3327061471174915,0.3328872406062276,0.00018109348873607267,mean_probability,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,dense,irregular_occluded,,all_experts,nan,nan,shared_samples_require_distinct_images,0.9985392623714038,0.9985244654079597,-1.4796963444085875e-05,normalized_entropy,37,37,37,37,128,128,0,104,nan,0.8125,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.36672325352173696,0.36924814677028217,0.0025248932485452125,top1_share,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.3331070164259126,0.33329020140879007,0.000183184982877449,mean_probability,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.37350084175084175,0.3759358488572898,0.0024350071064480616,top1_share,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.33376883197082197,0.3337989086722908,3.007670146881747e-05,mean_probability,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.25977590472742124,0.254816004372428,-0.004959900354993219,top1_share,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.33312413243321964,0.33291087150054854,-0.0002132609326710999,mean_probability,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,large_objects,,all_experts,nan,nan,shared_samples_require_distinct_images,0.9985260118235838,0.9985636451628438,3.763333925999035e-05,normalized_entropy,34,36,34,36,128,128,0,76,nan,0.59375,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.36672325352173696,0.368375611750382,0.0016523582286450678,top1_share,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,LocalConvTransformer,nan,nan,shared_samples_require_distinct_images,0.3331070164259126,0.3334599143385858,0.00035289791267317794,mean_probability,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.37350084175084175,0.37754129596914526,0.004040454218303513,top1_share,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,WindowTransformer,nan,nan,shared_samples_require_distinct_images,0.33376883197082197,0.3335281747174887,-0.00024065725333327626,mean_probability,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.25977590472742124,0.25408309228047277,-0.00569281244694847,top1_share,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,DeformableTransformer,nan,nan,shared_samples_require_distinct_images,0.33312413243321964,0.33301189417902827,-0.0001122382541913769,mean_probability,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,nan,nan,False,invalid_shared_images,False,sparse,small_objects,,all_experts,nan,nan,shared_samples_require_distinct_images,0.9985260118235838,0.9985441491091602,1.8137285576425022e-05,normalized_entropy,34,44,34,44,128,128,0,22,nan,0.171875,False
0.05,sequence_cluster,0.004814188762626269,-0.002815243342516058,False,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,LocalConvTransformer,0.946123275344931,0.1270607896141515,,0.36991893365472905,0.3708462752525252,0.0009273415977961719,top1_share,11,11,34,37,128,128,11,0,0.6624675064987002,0.0,False
0.05,sequence_cluster,0.00036852688650893114,-0.00018466561957441956,False,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,LocalConvTransformer,0.7984864565548428,0.1918580247757232,,0.333417069806595,0.33351838221453656,0.00010131240794153396,mean_probability,11,11,34,37,128,128,11,0,0.4943011397720456,0.0,False
0.05,sequence_cluster,0.004764433755165274,-0.006348731634527137,False,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,WindowTransformer,0.946123275344931,-0.10318545983624136,,0.3764523071625344,0.3753467487373738,-0.0011055584251606354,top1_share,11,11,34,37,128,128,11,0,0.7208558288342332,0.0,False
0.05,sequence_cluster,-1.0611191528786751e-05,-0.000435556463377254,True,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,WindowTransformer,0.35944811037792446,-0.5336184241845231,,0.33375304845000103,0.3335369529748204,-0.00021609547518064431,mean_probability,11,11,34,37,128,128,11,0,0.07818436312737452,0.0,False
0.05,sequence_cluster,0.007601406106519717,-0.008153827335858593,False,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,DeformableTransformer,0.9782043591281744,0.01182827949637708,,0.2536287591827365,0.253806976010101,0.00017821682736451905,top1_share,11,11,34,37,128,128,11,0,0.9646070785842832,0.0,False
0.05,sequence_cluster,0.00042292874279075,-0.00016078334520641302,False,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,DeformableTransformer,0.7984864565548428,0.20532422859418623,,0.3328298599253125,0.33294465012020535,0.00011479019489285536,mean_probability,11,11,34,37,128,128,11,0,0.48410317936412717,0.0,False
0.05,sequence_cluster,0.00018589775482512496,-1.5706268230693138e-05,False,paired_sequence_clusters,True,sparse,irregular_occluded,paired_hedges_g,all_experts,0.5155635539558755,0.4108565552729842,,0.9984460997406335,0.9985231156752566,7.701593462317025e-05,normalized_entropy,11,11,34,37,128,128,11,0,0.1803639272145571,0.0,False
0.05,sequence_cluster,0.001769433276782934,-0.007153661620898366,False,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,LocalConvTransformer,0.5155635539558755,-0.2650111984445377,,0.3696271691546989,0.36670887104841937,-0.0029182981062795266,top1_share,21,21,36,44,128,128,21,0,0.21955608878224356,0.0,False
0.05,sequence_cluster,0.0001553794904397786,-0.0001586960967171662,False,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,LocalConvTransformer,0.9782043591281744,0.004855098893698342,,0.3333954026066908,0.3333973293823794,1.926775688609883e-06,mean_probability,21,21,36,44,128,128,21,0,0.9782043591281744,0.0,False
0.05,sequence_cluster,0.003652076056116875,-0.004712214555961277,False,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,WindowTransformer,0.9782043591281744,-0.014932990429961605,,0.3784793674414211,0.378322884014717,-0.00015648342670410154,top1_share,21,21,36,44,128,128,21,0,0.9548090381923615,0.0,False
0.05,sequence_cluster,-7.407981943515904e-05,-0.0003300729614940494,True,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,WindowTransformer,0.12597480503899222,-0.6430515343967997,,0.3338182016341182,0.3336148763534362,-0.0002033252806820096,mean_probability,21,21,36,44,128,128,21,0,0.00599880023995201,0.0,False
0.05,sequence_cluster,0.00872849562278614,-0.002892155039098985,False,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,DeformableTransformer,0.6735452909418116,0.21426731234765067,,0.2518934634038801,0.25496824493686365,0.0030747815329835726,top1_share,21,21,36,44,128,128,21,0,0.3207358528294341,0.0,False
0.05,sequence_cluster,0.0004295783390514905,-4.796755585558901e-06,False,paired_sequence_clusters,True,large_objects,small_objects,paired_hedges_g,DeformableTransformer,0.35944811037792446,0.3744051045399137,,0.33278637840533215,0.3329877788522057,0.0002014004468735564,mean_probability,21,21,36,44,128,128,21,0,0.08558288342331534,0.0,False
