layer,op,tensor,amax,p999,outlier_ratio,channel_range_ratio,hostility
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul_output_0,41.9353,3.5195,11.915,266.7,66.7903
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/conv/Conv_output_0,39.8621,3.242,12.295,70.8,52.7321
/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.1/cv3.1.1.0/conv/Conv_output_0,42.9558,5.3346,8.052,140.7,40.0761
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/act/Mul_output_0,131.3095,14.3235,9.167,33.8,32.7847
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/conv/Conv_output_0,21.2241,3.8275,5.545,114.6,26.4968
/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv,Conv,/model.25/cv3.0/cv3.0.1/cv3.0.1.1/conv/Conv_output_0,131.3095,14.6345,8.973,17.1,26.2136
/model.9/experts.0/conv/conv.2/Mul,Mul,/model.9/experts.0/conv/conv.2/Mul_output_0,5.1995,0.6302,8.25,18.7,24.6696
/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul,Mul,/model.25/cv3.0/cv3.0.1/cv3.0.1.0/act/Mul_output_0,17.6406,2.7178,6.491,40.8,24.3747
/model.2/cv1/conv/Conv,Conv,/model.2/cv1/conv/Conv_output_0,128.0713,22.7403,5.632,64.6,23.8012
/model.6/experts.0/conv/conv.2/Mul,Mul,/model.6/experts.0/conv/conv.2/Mul_output_0,5.1657,0.6666,7.749,18.6,23.1293
/model.9/experts.0/conv/conv.3/Conv,Conv,/model.9/experts.0/conv/conv.3/Conv_output_0,8.555,2.0502,4.173,134.6,20.601
/model.9/Mul_1,Mul,/model.9/Mul_1_output_0,5.9946,1.4579,4.112,134.6,20.286
/model.9/Add,Add,/model.9/Add_output_0,5.9946,1.4579,4.112,134.6,20.286
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/act/Mul_output_0,18.5755,4.5813,4.055,103.8,19.0091
/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv,Conv,/model.25/cv3.1/cv3.1.0/cv3.1.0.1/conv/Conv_output_0,25.3445,4.4089,5.748,23.4,18.5338
/model.6/experts.1/conv/conv.2/Mul,Mul,/model.6/experts.1/conv/conv.2/Mul_output_0,4.6937,0.7411,6.333,16.9,18.3409
/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul_output_0,73.2419,16.921,4.328,62.1,18.1531
/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul,Mul,/model.25/cv3.1/cv3.1.0/cv3.1.0.0/act/Mul_output_0,12.9528,3.5411,3.658,123.8,17.7862
/model.1/act/Mul,Mul,/model.1/act/Mul_output_0,112.0645,23.8937,4.69,39.3,17.5767
/model.10/act/Mul,Mul,/model.10/act/Mul_output_0,15.6225,3.6517,4.278,56.1,17.4449
/model.6/experts.1/conv/conv.3/Conv,Conv,/model.6/experts.1/conv/conv.3/Conv_output_0,8.69,1.9295,4.504,41.5,17.0048
/model.6/Mul_1,Mul,/model.6/Mul_1_output_0,4.9134,1.0952,4.487,41.5,16.9154
/model.6/Add,Add,/model.6/Add_output_0,4.9134,1.0952,4.487,41.5,16.9154
/model.11/m.0/m.0.0/mlp/mlp.0/act/Mul,Mul,/model.11/m.0/m.0.0/mlp/mlp.0/act/Mul_output_0,8.8584,1.8874,4.693,31.9,16.5049
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul,Mul,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/act/Mul_output_0,11.508,3.2255,3.568,67.3,15.1959
/model.1/conv/Conv,Conv,/model.1/conv/Conv_output_0,112.0645,28.032,3.998,36.2,14.6975
/model.2/cv2/act/Mul,Mul,/model.2/cv2/act/Mul_output_0,29.205,8.0006,3.65,52.3,14.6816
/model.2/cv2/conv/Conv,Conv,/model.2/cv2/conv/Conv_output_0,50.7474,10.7823,4.707,18.4,14.1416
/model.25/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv,Conv,/model.25/cv3.2/cv3.2.0/cv3.2.0.1/conv/Conv_output_0,22.0898,4.4505,4.963,15.7,14.1219
/model.21/cv2/act/Mul,Mul,/model.21/cv2/act/Mul_output_0,10.6181,2.7776,3.823,32.9,13.5916
/model.2/cv1/act/Mul,Mul,/model.2/cv1/act/Mul_output_0,37.9549,9.1544,4.146,23.7,13.4857
/model.6/routing/router/router.2/Mul,Mul,/model.6/routing/router/router.2/Mul_output_0,5.1414,2.3884,2.153,497.4,13.4616
/model.25/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv,Conv,/model.25/cv3.2/cv3.2.1/cv3.2.1.0/conv/Conv_output_0,18.801,5.3042,3.545,40.9,13.3859
/model.25/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv,Conv,/model.25/cv3.2/cv3.2.0/cv3.2.0.0/conv/Conv_output_0,15.6722,4.1563,3.771,32.0,13.3285
/model.12/routing/router/router.2/Mul,Mul,/model.12/routing/router/router.2/Mul_output_0,3.122,1.0688,2.921,89.6,13.233
/model.15/Concat,Concat,/model.15/Concat_output_0,9.1835,2.4298,3.78,29.8,13.0704
/model.0/act/Mul,Mul,/model.0/act/Mul_output_0,66.6922,20.3032,3.285,49.1,13.0697
/model.21/m.0/cv2/act/Mul,Mul,/model.21/m.0/cv2/act/Mul_output_0,12.6924,2.9268,4.337,18.6,13.034
/model.15/cv1/act/Mul,Mul,/model.15/cv1/act/Mul_output_0,9.1835,2.3573,3.896,26.3,13.0031
/model.12/experts.1/conv/conv.2/Mul,Mul,/model.12/experts.1/conv/conv.2/Mul_output_0,6.3854,1.6252,3.929,22.9,12.577
/model.9/Add_1,Add,/model.9/Add_1_output_0,6.8286,1.8305,3.73,26.7,12.4942
/model.23/Concat,Concat,/model.23/Concat_output_0,16.002,4.3273,3.698,27.1,12.4728
/model.25/cv3.1/cv3.1.0/cv3.1.0.1/act/Mul,Mul,/model.25/cv3.1/cv3.1.0/cv3.1.0.1/act/Mul_output_0,13.3894,3.7254,3.594,28.8,12.3308
