epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,446.607,5.5286,6.1177,4.34066,2.13329,3e-05,0.00072,0,0,5.73342,5.63206,4.23864,0,0.000237706,0.000237706,0.000237706,0.000118853,0.000475412
2,666.886,3.94068,3.76445,2.62386,1.89376,0.02641,0.07413,0.01302,0.00386,3.26068,2.72032,1.64897,0,0.000318723,0.000318723,0.000318723,0.000159361,0.000637446
3,882.577,3.0939,2.65816,1.63453,1.89337,0.37096,0.06918,0.02862,0.01049,2.79553,2.37104,1.44477,0,0.00024266,0.00024266,0.00024266,0.00012133,0.00048532
