idx,h_norm,q_max
391,0.692143,0.686818
392,0.680344,0.696921
393,0.676462,0.697215
394,0.667117,0.685265
395,0.689963,0.688140
396,0.690088,0.688118
397,0.691792,0.686768
398,0.657166,0.712779
399,0.709573,0.673183
400,0.701625,0.681051
401,0.580363,0.744825
402,0.670955,0.674589
403,0.739080,0.648777
404,0.683352,0.692534
405,0.711587,0.672126
406,0.674807,0.699200
407,0.694396,0.684417
408,0.717725,0.667380
409,0.625261,0.726351
410,0.584506,0.752064
411,0.698548,0.675234
412,0.686495,0.690258
413,0.694679,0.684821
414,0.703116,0.678732
415,0.701269,0.679683
416,0.678225,0.694855
417,0.688676,0.688614
418,0.692992,0.685229
419,0.683138,0.693397
420,0.664853,0.707662
421,0.662777,0.708054
422,0.731770,0.656990
423,0.685992,0.691423
424,0.646225,0.718657
425,0.660816,0.709762
426,0.656642,0.712917
427,0.672081,0.701693
428,0.686147,0.689663
429,0.663570,0.705991
430,0.618369,0.737879
431,0.679810,0.694993
432,0.692968,0.685622
433,0.688709,0.688525
434,0.691876,0.686387
435,0.656950,0.710801
436,0.664718,0.706116
437,0.682668,0.692956
438,0.679716,0.695644
439,0.692239,0.685984
440,0.730775,0.651433
441,0.699270,0.680321
442,0.707080,0.675139
443,0.662126,0.709921
444,0.792409,0.604008
445,0.731938,0.653612
446,0.574815,0.763549
447,0.682116,0.692642
448,0.338555,0.878186
449,0.344762,0.875952
450,0.541182,0.745264
451,0.427835,0.830909
452,0.446550,0.831063
453,0.385886,0.864785
454,0.352116,0.880550
455,0.332508,0.889306
456,0.795019,0.577972
457,0.353819,0.878854
458,0.728789,0.563295
459,0.171574,0.953113
460,0.482081,0.807089
461,0.892522,0.392488
462,0.501757,0.799299
463,0.564233,0.696544
464,0.791062,0.532384
465,0.625236,0.559630
466,0.803486,0.593557
467,0.359265,0.878364
468,0.391151,0.855354
469,0.796909,0.466714
470,0.571486,0.746703
471,0.693003,0.600788
472,0.990506,0.311329
473,0.296979,0.905413
474,0.613935,0.675284
475,0.672385,0.696003
476,0.797141,0.563149
477,0.787596,0.480778
478,0.784154,0.592115
479,0.720343,0.574193
480,0.354076,0.865337
481,0.640891,0.663410
482,0.700595,0.662599
483,0.620106,0.712200
484,0.792349,0.453145
485,0.866686,0.408143
486,0.496684,0.796327
487,0.802943,0.528827
488,0.120311,0.968391
489,0.625027,0.661083
490,0.714091,0.614166
491,0.320341,0.894119
492,0.799260,0.459512
493,0.389163,0.836704
494,0.934385,0.366862
495,0.611364,0.734035
496,0.688351,0.690746
497,0.654124,0.710637
498,0.652872,0.643488
499,0.490455,0.796262
500,0.686749,0.693078
501,0.296321,0.897084
502,0.441736,0.828884
503,0.422646,0.800350
504,0.329255,0.889104
505,0.310227,0.897583
506,0.281323,0.909218
507,0.339457,0.886260
508,0.644528,0.622625
509,0.181991,0.947324
510,0.251627,0.920745
511,0.454048,0.814337
512,0.762617,0.622708
513,0.343728,0.873826
514,0.652013,0.654158
515,0.615525,0.684957
516,0.539765,0.768195
517,0.771528,0.617524
518,0.752129,0.640173
519,0.725624,0.646072
520,0.192976,0.945219
521,0.627733,0.595999
522,0.828557,0.449593
523,0.817863,0.495098
524,0.485695,0.802353
525,0.666820,0.693091
526,0.868151,0.431853
527,0.635580,0.710312
528,0.760387,0.603159
529,0.098442,0.975745
530,0.210834,0.939834
531,0.218451,0.936164
532,0.781561,0.450807
533,0.366801,0.844364
534,0.715856,0.477602
535,0.919244,0.373031
