epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,1294.8,1.13985,1.19848,1.24555,1.07435,0.62509,0.47045,0.50742,0.35364,1.15721,1.26206,1.23023,0,0.0001,0.0001,0.0001,5e-05
2,2605.34,1.11731,1.14801,1.23036,0.99902,0.63742,0.48858,0.52928,0.37151,1.1243,1.20253,1.21209,0,7.75e-05,7.75e-05,7.75e-05,3.875e-05
3,3893.24,1.07085,1.04279,1.19522,0.99958,0.67053,0.50901,0.56002,0.3991,1.08633,1.11585,1.1844,0,3.25e-05,3.25e-05,3.25e-05,1.625e-05
