domain,dominant_expert_agreement_rate,jensen_shannon_divergence_mean,jensen_shannon_divergence_p95,l1_distance_mean,n_images,normalized_entropy_delta_mean,perturbation
COCO128,0.9934895833333333,2.7232457812068253e-07,9.286486624751587e-07,0.0006149580779795845,128,-2.368182564775149e-05,brightness_high
COCO128,0.9921875,2.2525497885157057e-07,8.036469568590897e-07,0.0006108791567385197,128,2.45246725777785e-05,brightness_low
COCO128,0.9856770833333333,4.482256196101792e-07,1.176398731548588e-06,0.0008756651853521664,128,2.2135442122817033e-05,hflip
VisDrone,0.9947916666666667,1.8320291347166294e-07,7.277632973168221e-07,0.00045013497583568096,128,-1.782854087650776e-05,brightness_high
VisDrone,0.9921875,3.74673243017631e-07,1.8317510773861435e-06,0.0006478941068053246,128,1.320522278547287e-05,brightness_low
VisDrone,0.9778645833333335,5.423315121883344e-07,2.20809502819997e-06,0.0008893579555054506,128,4.288585235675174e-06,hflip
brain-tumor,0.99609375,9.761286484332928e-08,1.9942841721023843e-07,0.0002953253764038285,128,-2.8297072276473045e-05,brightness_high
brain-tumor,0.9947916666666667,1.228807553299317e-07,6.445210146632392e-07,0.0003169812650109331,128,2.441112883388996e-05,brightness_low
brain-tumor,0.9895833333333334,4.5232218220092716e-07,1.5020810974064728e-06,0.000802102847956121,128,-9.145199631651241e-06,hflip
